META; english/championship/ipswich-v-brentford; 2017-08-15 20:20:06 GMT+3; 2017-08-19 15:00; e70300-dr003
Brentford; 6/4; 7/5; 29/20; 8/5; 6/4; 6/4; 29/20; 7/5; 6/4; 7/5; 29/20; ; 6/4; 6/4; 6/4; 16/11; 6/4; 31/21; 6/4; ; 15/11; 31/21; ; 6/4; 6/4; ; 6/4; ; 
Ipswich; 7/4; 9/5; 9/5; 6/4; 7/4; 37/20; 9/5; 9/5; 24/13; 7/4; 9/5; ; 7/4; 15/8; 9/5; 7/4; 17/10; 9/5; 24/13; ; 12/7; 9/5; ; 9/5; 9/5; ; 7/4; ; 
Draw; 23/10; 5/2; 49/20; 23/10; 23/10; 12/5; 5/2; 12/5; 40/17; ; 12/5; ; 12/5; 13/5; 12/5; 19/8; 23/10; ; 23/10; ; 5/2; 23/10; ; 12/5; 23/10; ; 23/10; ; 
META; english/championship/ipswich-v-brentford; 2017-08-16 20:06:33 GMT+3; 2017-08-19 15:00; e70300-dr003
Brentford; 6/4; 7/5; 29/20; 6/4; 6/4; 6/4; 29/20; 7/5; 6/4; 7/5; 29/20; ; 29/20; 6/4; 7/5; 16/11; 6/4; 31/21; 6/4; 13/8; 7/5; 31/21; 6/4; 6/4; 6/4; ; 7/5; ; 
Ipswich; 7/4; 7/4; 9/5; 8/5; 7/4; 20/11; 7/4; 9/5; 24/13; 7/4; 7/4; ; 7/4; 15/8; 15/8; 7/4; 17/10; 9/5; 9/5; 9/5; 28/17; 9/5; 9/5; 9/5; 7/4; ; 7/4; ; 
Draw; 23/10; 13/5; 5/2; 23/10; 23/10; 5/2; 13/5; 12/5; 40/17; 12/5; 5/2; ; 49/20; 13/5; 5/2; 19/8; 23/10; 23/10; 40/17; 51/20; 5/2; 23/10; 12/5; 5/2; 23/10; ; 23/10; ; 
META; english/championship/ipswich-v-brentford; 2017-08-18 16:47:36 GMT+3; 2017-08-19 15:00; e70300-dr003
Brentford; 29/20; 13/10; 27/20; 13/10; 6/4; 7/5; 7/5; 11/8; 16/11; 13/10; 13/10; ; 27/20; 29/20; 13/10; 11/8; 23/17; 7/5; 23/17; 147/100; 13/10; 7/5; 27/20; 13/10; 11/8; ; 11/8; 13/10; 11/8
Ipswich ; 19/10; 15/8; 15/8; 15/8; 9/5; 19/10; 19/10; 9/5; 24/13; 28/15; 15/8; ; 19/10; 19/10; 19/10; 19/10; 9/5; 9/5; 19/10; 19/10; 19/10; 9/5; 8/5; 15/8; 19/10; ; 19/10; 15/8; 19/10
Draw; 27/10; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; ; 53/20; 13/5; 11/4; 13/5; 5/2; 27/11; 5/2; 27/10; 27/10; 27/11; 3; 13/5; 5/2; ; 5/2; 5/2; 13/5
