META; english/championship/bristol-city-v-aston-villa; 2017-08-25 20:17:39 GMT+3; 2017-08-25 19:45; e70300-dr003
Bristol City; 11/8; 5/4; 27/20; 13/10; 13/10; 5/4; 7/5; 11/8; 23/17; 26/19; 11/8; 13/10; 27/20; 7/5; 7/5; 13/10; 5/4; 13/10; 5/4; 34/25; 4/3; 13/10; 6/5; 13/10; 11/8; ; 13/10; 13/10; 7/5
Aston Villa ; 11/5; 23/10; 21/10; 11/5; 9/4; 23/10; 85/40; 21/10; 11/5; 21/10; 21/10; 9/4; 21/10; 9/4; 11/5; 23/10; 23/10; 21/10; 11/5; 23/10; 39/19; 28/13; 23/10; 85/40; 21/10; ; 21/10; 21/10; 9/4
Draw; 12/5; 12/5; 47/20; 11/5; 12/5; 23/10; 12/5; 11/5; 9/4; 12/5; 12/5; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; 12/5; 12/5; 11/5; 9/4; 11/5; 23/10; ; 23/10; 12/5; 12/5
