META; english/championship/wolves-v-bolton; 2017-11-24 10:41:48 GMT+2; 2017-11-25 15:00; e70300-dr003
Wolves; 1/3; 4/11; 1/3; 4/11; 4/11; 1/3; 1/3; 3/10; 6/19; 4/11; 4/11; 1/3; 1/3; 4/11; 7/20; 1/3; 6/17; 6/19; 4/11; 4/11; 3/10; 1/3; 4/11; 1/3; 6/19; ; 1/3; 1/3; 4/11
Draw; 17/4; 18/5; 15/4; 4; 21/5; 4; 4; 4; 21/5; 15/4; 4; 15/4; 15/4; 37/10; 4; 4; 4; 77/19; 22/5; 4; 41/10; 4; 17/4; 4; 41/10; ; 4; 4; 22/5
Bolton; 11; 8; 17/2; 7; 7; 19/2; 17/2; 9; 9; 9; 7; 17/2; 9; 17/2; 8; 17/2; 27/4; 19/2; 44/5; 77/10; 9; 9; 19/2; 10; 19/2; ; 10; 48/5; 52/5
