META; english/championship/burton-v-brentford; 2018-03-05 10:24:10 GMT+2; 2018-03-06 19:45; e70300-dr003
Brentford; 17/20; 4/5; 5/6; 5/6; 9/10; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 4/5; 4/5; 5/6; 10/13; 10/13; 4/5; 4/5; 8/11; 
Draw; 14/5; 13/5; 13/5; 141/50; 27/10; 13/5; 5/2; 45/17; 13/5; 13/5; 13/5; 13/5; 11/4; 13/5; 28/11; 27/10; 5/2; 13/5; 14/5; 53/20; 13/5; 13/5; 5/2; 12/5
Burton; 7/2; 7/2; 16/5; 37/10; 7/2; 10/3; 10/3; 13/4; 10/3; 10/3; 10/3; 7/2; 100/30; 10/3; 33/10; 10/3; 37/13; 16/5; 18/5; 7/2; 57/17; 7/2; 3; 
META; english/championship/burton-v-brentford; 2018-03-05 20:17:48 GMT+2; 2018-03-06 19:45; e70300-dr003
Brentford; 17/20; 4/5; 4/5; 5/6; 5/6; 17/20; 4/5; 8/11; 4/5; 4/5; 4/5; 4/5; 5/6; 4/5; 4/5; 4/5; 3/4; 4/5; 7/9; 5/6; 4/5; 10/13; 4/5; 4/5; 8/11; 
Draw; 14/5; 13/5; 27/10; 12/5; 74/25; 29/10; 11/4; 13/5; 11/4; 27/10; 13/5; 13/5; 11/4; 27/10; 14/5; 13/5; 45/17; 27/10; 37/13; 27/10; 29/10; 57/20; 27/10; 11/4; 14/5; 13/5
Burton; 7/2; 16/5; 13/4; 7/2; 7/2; 7/2; 10/3; 10/3; 17/5; 10/3; 10/3; 10/3; 3; 17/5; 100/30; 10/3; 16/5; 17/5; 13/4; 57/17; 7/2; 10/3; 13/4; 10/3; 10/3; 3
META; english/championship/burton-v-brentford; 2018-03-06 10:10:31 GMT+2; 2018-03-06 19:45; e70300-dr003
Brentford; 17/20; 3/4; 4/5; 5/6; 41/50; 17/20; 4/5; 8/11; 4/5; 4/5; 4/5; 3/4; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 13/16; 7/9; 4/5; 4/5; 4/5; 5/6; 8/11; 5/6
Draw; 14/5; 14/5; 27/10; 12/5; 139/50; 29/10; 13/5; 13/5; 11/4; 11/4; 11/4; 14/5; 14/5; 27/10; 14/5; 13/5; 45/17; 27/10; 56/19; 27/10; 29/10; 11/4; 27/10; 14/5; 11/4; 13/5
Burton; 7/2; 7/2; 10/3; 7/2; 77/20; 7/2; 7/2; 10/3; 17/5; 7/2; 10/3; 10/3; 10/3; 17/5; 100/30; 10/3; 7/2; 17/5; 31/10; 57/17; 15/4; 7/2; 7/2; 10/3; 7/2; 3
META; english/championship/burton-v-brentford; 2018-03-06 15:03:45 GMT+2; 2018-03-06 19:45; e70300-dr003
Brentford; 4/5; 3/4; 3/4; 4/5; 79/00; 5/6; 4/5; 8/11; 4/5; 3/4; 4/5; 3/4; 3/4; 4/5; 4/5; 8/11; 10/13; 3/4; 10/13; 7/9; 10/13; 10/13; 8/11; 8/11; 8/11
Draw; 29/10; 11/4; 27/10; 13/5; 59/20; 14/5; 11/4; 13/5; 11/4; 27/10; 11/4; 13/5; 11/4; 27/10; 14/5; 13/5; 27/10; 27/10; 14/5; 27/10; 11/4; 11/4; 14/5; 14/5; 13/5
Burton; 18/5; 7/2; 7/2; 7/2; 19/5; 15/4; 7/2; 7/2; 17/5; 7/2; 18/5; 7/2; 7/2; 7/2; 100/0; 7/2; 39/11; 17/5; 7/2; 57/17; 15/4; 18/5; 7/2; 7/2; 3
