META; english/championship/sheffield-utd-v-bolton; 2017-12-26 12:48:06 GMT+2; 2017-12-30 15:00; e70300-dr003
Sheffield Utd; 4/7; 4/7; 4/6; ; 31/50; 4/6; 3/5; 8/13; 11/17; 8/13; 8/13; 8/13; ; ; 8/13; 8/13; 4/7; 11/17; 4/7; 7/11; 11/17; 8/13; 8/13; 8/13; 11/17; ; ; ; 
Draw; 3; 3; 14/5; ; 61/20; 31/10; 29/10; 11/4; 11/4; 11/4; 3; 3; ; ; 3; 3; 3; 14/5; 3; 3; 27/10; 3; 3; 59/20; 37/13; ; ; ; 
Bolton; 9/2; 19/4; 21/5; ; 27/5; 9/2; 9/2; 9/2; 21/5; 21/5; 5; 4; ; ; 9/2; 9/2; 9/2; 17/4; 9/2; 37/10; 41/10; 9/2; 9/2; 17/4; 17/4; ; ; ; 
