META; english/championship/hull-v-leeds; 2018-01-22 12:16:14 GMT+2; 2018-01-30 19:45; e70300-dr003
Hull; 5/4; 6/5; 5/4; ; ; 13/10; ; 5/4; 23/17; 5/4; ; 13/10; ; 5/4; 13/10; 13/10; 23/17; 5/4; 23/17; 6/5; 4/3; 13/10; 6/5; 13/10; 13/10; 6/5; 23/20; 
Leeds; 11/5; 9/4; 11/5; ; ; 23/10; ; 9/4; 2; 11/5; ; 11/5; ; 23/10; 11/5; 9/4; 2; 21/10; 2; 23/12; 37/19; 9/4; 23/10; 21/10; 21/10; 6/4; 19/10; 
Draw; 23/10; 12/5; 11/5; ; ; 23/10; ; 9/4; 12/5; 11/5; ; 11/5; ; 9/4; 23/10; 23/10; 11/5; 11/5; 11/5; 23/10; 40/17; 23/10; 12/5; 23/10; 11/5; 2; 2; 
META; english/championship/hull-v-leeds; 2018-01-23 02:15:45 GMT+2; 2018-01-30 19:45; e70300-dr003
Hull; 5/4; 6/5; 5/4; 5/4; 34/25; 13/10; ; 5/4; 23/17; 5/4; 5/4; 5/4; ; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 6/5; 4/3; 13/10; 5/4; 13/10; 5/4; 5/6; 23/20; 
Leeds; 11/5; 9/4; 11/5; 11/5; 23/10; 23/10; ; 9/4; 2; 11/5; 11/5; 11/5; ; 9/4; 11/5; 9/4; 21/10; 21/10; 21/10; 23/12; 37/19; 9/4; 23/10; 21/10; 28/13; 13/8; 19/10; 
Draw; 23/10; 23/10; 11/5; 23/10; 12/5; 23/10; ; 9/4; 12/5; 11/5; 9/4; 23/10; ; 9/4; 23/10; 23/10; 11/5; 11/5; 11/5; 23/10; 40/17; 23/10; 23/10; 23/10; 11/5; 2; 2; 
META; english/championship/hull-v-leeds; 2018-01-23 17:22:20 GMT+2; 2018-01-30 19:45; e70300-dr003
Hull; 11/10; 23/20; 15/13; 5/4; 123/ 100; 6/5; ; 6/5; 15/13; 23/20; 6/5; 6/5; ; 23/20; 6/5; 11/10; 6/5; 11/10; 6/5; 22/19; 8/7; 6/5; 23/20; 23/20; 15/13; 1/4; 21/20; 
Draw; 23/10; 12/5; 11/5; 23/10; 61/25; 23/10; ; 23/10; 12/5; 11/5; 23/10; 23/10; ; 23/10; 23/10; 23/10; 11/5; 9/4; 11/5; 23/10; 40/17; 23/10; 12/5; 23/10; 9/4; 2; 2; 
Leeds; 5/2; 23/10; 12/5; 11/5; 64/25; 12/5; ; 23/10; 12/5; 12/5; 23/10; 23/10; ; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 2; 40/17; 12/5; 12/5; 12/5; 12/5; 21/10; 21/10; 
META; english/championship/hull-v-leeds; 2018-01-24 12:17:47 GMT+2; 2018-01-30 19:45; e70300-dr003
Hull; 11/10; 23/20; 6/5; 5/4; 123/ 100; 6/5; ; ; 15/13; 6/5; 23/20; 6/5; ; 6/5; 6/5; 11/10; 6/5; 15/13; 6/5; 22/19; 8/7; 6/5; 23/20; 23/20; 15/13; ; 5/6; 23/20; 
Draw; 23/10; 12/5; 11/5; 23/10; 61/25; 23/10; ; ; 12/5; 11/5; 23/10; 11/5; ; 9/4; 23/10; 23/10; 11/5; 9/4; 11/5; 23/10; 40/17; 23/10; 12/5; 23/10; 9/4; ; 2; 2; 
Leeds; 5/2; 23/10; 23/10; 11/5; 64/25; 12/5; ; ; 12/5; 23/10; 12/5; 12/5; ; 12/5; 12/5; 12/5; 23/10; 40/17; 23/10; 2; 40/17; 12/5; 12/5; 12/5; 40/17; ; 21/10; 19/10; 
META; english/championship/hull-v-leeds; 2018-01-30 12:18:36 GMT+2; 2018-01-30 19:45; e70300-dr003
Hull; 6/5; 6/5; 6/5; 6/5; 123/ 100; 6/5; ; ; 6/5; 23/20; 6/5; 23/20; 5/4; 6/5; 5/4; 11/10; 15/13; 6/5; 15/13; 7/6; 22/19; 6/5; 5/4; 6/5; 6/5; ; 23/20; 6/5; 6/5
Draw; 12/5; 12/5; 12/5; 23/10; 63/25; 12/5; ; ; 40/17; 12/5; 12/5; 23/10; 11/5; 23/10; 23/10; 12/5; 23/10; 40/17; 23/10; 12/5; 23/10; 12/5; 12/5; 47/20; 40/17; ; 23/10; 23/10; 12/5
Leeds; 13/5; 9/4; 12/5; 23/10; 62/25; 13/5; ; ; 12/5; 12/5; 12/5; 23/10; 11/5; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 40/17; 40/17; 12/5; 5/2; 49/20; 12/5; ; 12/5; 12/5; 5/2
META; english/championship/hull-v-leeds; 2018-01-30 12:26:57 GMT+2; 2018-01-30 19:45; e70300-dr003
Hull; 6/5; 6/5; 6/5; 6/5; 5/4; 6/5; ; ; 6/5; 23/20; 6/5; 23/20; 5/4; 6/5; 5/4; 6/5; 15/13; 6/5; 15/13; 6/5; 22/19; 6/5; 5/4; 6/5; 6/5; ; 23/20; 6/5; 6/5
Draw; 12/5; 12/5; 12/5; 23/10; 123/ 50; 12/5; ; ; 40/17; 12/5; 12/5; 23/10; 11/5; 23/10; 23/10; 23/10; 23/10; 40/17; 23/10; 12/5; 23/10; 12/5; 12/5; 47/20; 40/17; ; 23/10; 23/10; 12/5
Leeds; 13/5; 9/4; 12/5; 23/10; 62/25; 13/5; ; ; 12/5; 12/5; 12/5; 23/10; 11/5; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 40/17; 12/5; 5/2; 49/20; 12/5; ; 12/5; 12/5; 5/2
META; english/championship/hull-v-leeds; 2018-01-30 12:35:02 GMT+2; 2018-01-30 19:45; e70300-dr003
Hull; 6/5; 6/5; 6/5; 6/5; 5/4; 6/5; ; ; 6/5; 23/20; 6/5; 23/20; 5/4; 6/5; 5/4; 6/5; 15/13; 6/5; 15/13; 6/5; 22/19; 6/5; 5/4; 6/5; 6/5; ; 23/20; 6/5; 6/5
