META; english/championship/sheffield-wednesday-v-burton; 2017-12-31 12:15:57 GMT+2; 2018-01-01 15:00; e70300-dr003
Sheffield Wednesday; 8/13; 8/13; 3/5; 4/7; 8/13; 8/13; 4/7; 4/7; 7/12; 6/10; 8/15; 4/7; 13/20; 8/13; 8/13; 8/13; 8/15; 10/17; 8/15; 3/5; 5/9; 4/7; 8/13; 3/5; 11/18; ; 4/7; 4/7; 4/7
Draw; 16/5; 14/5; 11/4; 3; 61/20; 31/10; 14/5; 11/4; 56/19; 14/5; 3; 14/5; 11/4; 14/5; 14/5; 3; 29/10; 37/13; 29/10; 58/19; 29/10; 14/5; 31/10; 29/10; 37/13; ; 11/4; 27/10; 3
Burton; 5; 19/4; 24/5; 9/2; 11/2; 11/2; 5; 5; 21/4; 5; 5; 5; 9/2; 19/4; 5; 5; 21/4; 51/10; 21/4; 47/10; 51/10; 5; 5; 5; 67/13; ; 24/5; 5; 11/2
