META; english/championship/aston-villa-v-bristol-city; 2017-12-31 12:16:02 GMT+2; 2018-01-01 17:30; e70300-dr003
Aston Villa; 23/20; 11/10; 11/10; 11/10; 117/ 100; 6/5; 11/10; 11/10; 15/13; 23/20; 6/5; 11/10; 13/10; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 19/17; 19/17; 11/10; 6/5; 23/20; 15/13; ; 23/20; 10/9; 23/20
Draw; 12/5; 12/5; 9/4; 23/10; 59/25; 12/5; 9/4; 9/4; 23/10; 9/4; 23/10; 23/10; 9/4; 9/4; 12/5; 12/5; 23/10; 9/4; 23/10; 12/5; 9/4; 23/10; 12/5; 23/10; 9/4; ; 23/10; 11/5; 23/10
Bristol City; 11/4; 12/5; 5/2; 5/2; 141/ 50; 11/4; 5/2; 13/5; 28/11; 13/5; 9/4; 13/5; 11/5; 5/2; 13/5; 13/5; 12/5; 13/5; 12/5; 5/2; 5/2; 13/5; 13/5; 53/20; 45/17; ; 5/2; 5/2; 14/5
