META; english/championship/millwall-v-birmingham; 2017-10-18 12:04:39 GMT+3; 2017-10-21 17:30; e70300-dr003
Millwall; 23/20; 11/10; 15/13; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 23/20; 6/5; ; 11/10; 11/10; 11/10; 21/20; 15/13; 121/100; 9/8; 11/10; 11/10; 23/20; 11/10; 6/5; ; 10/9; 21/20; 6/5
Draw ; 23/10; 23/10; 11/5; 9/4; 23/10; 12/5; 11/5; 23/10; 40/17; 11/5; 11/5; 11/5; ; 12/5; 9/4; 9/4; 23/10; 23/10; 123/50; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; ; 9/4; 21/10; 23/10
Birmingham; 12/5; 13/5; 5/2; 5/2; 5/2; 27/10; 12/5; 13/5; 13/5; 5/2; 13/5; 5/2; ; 13/5; 11/4; 5/2; 13/5; 27/11; 129/50; 23/10; 28/11; 13/5; 5/2; 5/2; 5/2; ; 21/10; 21/10; 5/2
