META; english/championship/fulham-v-ipswich; 2017-12-31 12:16:05 GMT+2; 2018-01-02 19:45; e70300-dr003
Fulham; 8/13; 8/13; 11/18; 13/20; 67/ 100; 4/6; 5/8; 8/13; 11/17; 8/13; 4/6; 8/13; 13/20; 13/20; 7/10; 4/6; 8/13; 11/17; 8/13; 11/17; 5/8; 8/13; 8/13; 13/20; 11/17; ; 4/7; 8/15; 8/13
Draw; 14/5; 3; 29/10; 3; 31/10; 16/5; 29/10; 3; 56/19; 3; 11/4; 14/5; 3; 3; 14/5; 3; 31/10; 29/10; 31/10; 41/13; 29/10; 3; 31/10; 29/10; 56/19; ; 14/5; 23/10; 3
Ipswich; 9/2; 17/4; 4; 4; 23/5; 9/2; 17/4; 4; 43/10; 21/5; 4; 4; 4; 17/4; 4; 9/2; 15/4; 74/17; 15/4; 39/10; 21/5; 17/4; 22/5; 9/2; 22/5; ; 4; 10/3; 9/2
