META; english/championship/hull-v-norwich; 2018-03-05 20:18:27 GMT+2; 2018-03-10 15:00; e70300-dr003
Hull; 7/5; 7/5; 6/4; 16/11; 6/4; 6/4; 7/5; 6/4; 7/5; 7/5; 7/5; 16/11; 6/4; 29/20; 7/5; 21/20
Norwich; 19/10; 19/10; 9/5; 24/13; 15/8; 19/10; 15/8; 7/4; 19/10; 24/13; 19/10; 24/13; 15/8; 15/8; 24/13; 9/5
Draw; 9/4; 23/10; 11/5; 23/10; 11/5; 21/10; 23/10; 23/10; 9/4; 9/4; 11/5; 9/4; 23/10; 23/10; 9/4; 19/10
META; english/championship/hull-v-norwich; 2018-03-06 15:04:28 GMT+2; 2018-03-10 15:00; e70300-dr003
Hull; 6/4; 6/4; 6/4; 6/4; 6/4; 16/11; 6/4; 8/5; 6/4; 7/5; 31/20; 6/4; 6/4; 16/11; 7/5; 16/11; 6/4; 16/11; 13/10
Norwich; 9/5; 15/8; 19/10; 15/8; 15/8; 24/13; 15/8; 19/10; 19/10; 15/8; 19/10; 15/8; 15/8; 24/13; 19/10; 24/13; 15/8; 24/13; 7/5
Draw; 9/4; 9/4; 21/10; 11/5; 11/5; 23/10; 21/10; 23/10; 21/10; 23/10; 43/20; 23/10; 11/5; 28/13; 11/5; 9/4; 11/5; 11/5; 21/10
META; english/championship/hull-v-norwich; 2018-03-08 10:15:42 GMT+2; 2018-03-10 15:00; e70300-dr003
Hull; 6/4; 6/4; 31/20; 6/4; 163/100; 6/4; 16/11; 31/20; 8/5; 31/20; 31/20; 6/4; 6/4; 17/11; 7/5; 17/12; 16/11; 31/20; 6/4; 17/11; 7/5; 7/5; 6/4; 8/5
Norwich; 9/5; 9/5; 9/5; 15/8; 99/50; 15/8; 24/13; 15/8; 19/10; 15/8; 15/8; 15/8; 15/8; 19/10; 19/10; 7/4; 24/13; 9/5; 15/8; 19/10; 13/8; 6/4; 19/10; 19/10
Draw; 9/4; 23/10; 21/10; 11/5; 57/25; 11/5; 23/10; 11/5; 23/10; 21/10; 11/5; 23/10; 11/5; 11/5; 11/5; 23/10; 9/4; 23/10; 11/5; 9/4; 21/10; 2; 11/5; 9/4
META; english/championship/hull-v-norwich; 2018-03-08 12:19:12 GMT+2; 2018-03-10 15:00; e70300-dr003
Hull; 6/4; 6/4; 31/20; 6/4; 163/00; 6/4; 17/11; 31/20; 8/5; 31/20; 31/20; 6/4; 6/4; 17/11; 7/5; 17/12; 17/11; 31/20; 6/4; 17/11; 7/5; 7/5; 6/4; 8/5
Norwich; 9/5; 9/5; 9/5; 15/8; 99/50; 15/8; 9/5; 15/8; 19/10; 15/8; 15/8; 15/8; 15/8; 24/13; 19/10; 7/4; 9/5; 9/5; 15/8; 19/10; 7/4; 17/10; 19/10; 19/10
Draw; 9/4; 23/10; 21/10; 11/5; 57/25; 11/5; 11/5; 11/5; 23/10; 21/10; 11/5; 23/10; 11/5; 11/5; 11/5; 23/10; 11/5; 23/10; 11/5; 9/4; 21/10; 2; 11/5; 9/4
META; english/championship/hull-v-norwich; 2018-03-09 12:18:24 GMT+2; 2018-03-10 15:00; e70300-dr003
Hull; 8/5; 6/4; 31/20; 6/4; 163/100; 17/10; 6/4; 17/11; 31/20; 8/5; 31/20; 87/50; 8/5; 6/4; 6/4; 17/11; 6/4; 17/11; 17/11; 6/4; 6/4; 6/4; 8/5; 6/4
Norwich; 15/8; 9/5; 9/5; 15/8; 99/50; 15/8; 15/8; 19/10; 15/8; 19/10; 9/5; 8/5; 37/20; 15/8; 9/5; 24/13; 9/5; 9/5; 24/13; 15/8; 9/5; 9/5; 19/10; 9/5
Draw; 12/5; 23/10; 21/10; 11/5; 57/25; 23/10; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 23/10; 11/5; 11/5; 11/5; 23/10; 28/13; 11/5; 11/5; 21/10; 11/5; 23/10
META; english/championship/hull-v-norwich; 2018-03-09 14:03:37 GMT+2; 2018-03-10 15:00; e70300-dr003
Hull; 8/5; 6/4; 31/20; 13/8; 13/8; 17/10; 6/4; 17/11; 31/20; 8/5; 31/20; 87/50; 8/5; 6/4; 6/4; 17/11; 6/4; 17/11; 17/11; 8/5; 6/4; 17/11; 6/4; 6/4; 8/5; 6/4
Norwich; 15/8; 9/5; 9/5; 9/5; 197/100; 15/8; 15/8; 19/10; 15/8; 19/10; 9/5; 8/5; 37/20; 15/8; 9/5; 24/13; 9/5; 9/5; 24/13; 19/10; 15/8; 19/10; 19/10; 9/5; 19/10; 19/10
Draw; 12/5; 23/10; 21/10; 21/10; 23/10; 23/10; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 23/10; 11/5; 11/5; 11/5; 23/10; 28/13; 12/5; 11/5; 9/4; 21/10; 21/10; 11/5; 9/4
META; english/championship/hull-v-norwich; 2018-03-10 12:18:57 GMT+2; 2018-03-10 15:00; e70300-dr003
Hull; 8/5; 6/4; 31/20; 13/8; 31/20; 13/8; 6/4; 6/4; 8/5; 8/5; 6/4; 6/4; 31/20; 6/4; 6/4; 17/11; 6/4; 6/4; 16/11; 8/5; 6/4; 17/11; 6/4; 13/8; 13/8; 13/8
Norwich; 15/8; 9/5; 19/10; 9/5; 52/25; 2; 19/10; 2; 19/10; 19/10; 15/8; 19/10; 15/8; 19/10; 24/13; 9/5; 21/11; 37/19; 19/10; 39/20; 19/10; 19/10; 2; 19/10; ; 
Draw; 12/5; 23/10; 11/5; 21/10; 23/10; 23/10; 11/5; 9/4; 11/5; 11/5; 21/10; 9/4; 43/20; 23/10; 11/5; 11/5; 11/5; 9/4; 28/13; 12/5; 9/4; 9/4; 21/10; 9/4; 9/4; 9/4
