META; english/championship/ipswich-v-millwall; 2018-03-26 12:18:13 GMT+3; 2018-04-02 15:00; e70300-dr003
Millwall; 11/8; 13/10; 6/4; 7/5; 7/5; 7/5; 11/8; 11/8; 23/17; 23/17; 7/5; 7/5; 
Ipswich; 15/8; 2; 49/25; 19/10; 19/10; 15/8; 19/10; 19/10; 24/13; 24/13; 19/10; 15/8; 
Draw; 12/5; 12/5; 127/50; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 40/17
META; english/championship/ipswich-v-millwall; 2018-03-27 08:17:59 GMT+3; 2018-04-02 15:00; e70300-dr003
Millwall; 11/8; 13/10; 6/4; 6/4; 7/5; 11/8; 7/5; 29/20; 11/8; 13/10; 11/8; 7/5; 23/17; 7/5; 7/5; 7/5; 7/5; 3/10
Ipswich; 15/8; 2; 49/25; 15/8; 15/8; 17/10; 19/10; 9/5; 19/10; 2; 15/8; 19/10; 24/13; 19/10; 15/8; 19/10; 1/50; 
Draw; 12/5; 12/5; 127/50; 12/5; 12/5; 11/5; 23/10; 23/10; 12/5; 12/5; 23/10; 40/17; 12/5; 23/10; 12/5; 40/17; 1/50; 
META; english/championship/ipswich-v-millwall; 2018-03-28 08:18:46 GMT+3; 2018-04-02 15:00; e70300-dr003
Millwall; 11/8; 13/10; 6/4; 6/4; 7/5; 11/8; 7/5; 29/20; 7/5; 13/10; 11/8; 7/5; 23/17; 7/5; 7/5; 7/5; 7/5; 7/5
Ipswich; 15/8; 2; 49/25; 15/8; 15/8; 17/10; 19/10; 9/5; 9/5; 2; 9/5; 19/10; 24/13; 19/10; 15/8; 19/10; 7/4; 19/10
Draw; 12/5; 12/5; 127/50; 12/5; 12/5; 11/5; 23/10; 23/10; 5/2; 12/5; 12/5; 40/17; 12/5; 23/10; 12/5; 40/17; 21/10; 12/5
META; english/championship/ipswich-v-millwall; 2018-03-29 08:18:27 GMT+3; 2018-04-02 15:00; e70300-dr003
Millwall; 11/8; 13/10; 6/4; 6/4; 7/5; 11/8; 7/5; 29/20; 7/5; 13/10; 11/8; 7/5; 23/17; 7/5; 7/5; 7/5; 7/5; 7/5
Ipswich; 15/8; 2; 49/25; 15/8; 15/8; 17/10; 19/10; 9/5; 9/5; 2; 9/5; 19/10; 24/13; 19/10; 15/8; 37/19; 7/4; 19/10
Draw; 12/5; 12/5; 127/50; 12/5; 12/5; 11/5; 23/10; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 21/10; 12/5
META; english/championship/ipswich-v-millwall; 2018-03-31 12:18:49 GMT+3; 2018-04-02 15:00; e70300-dr003
Millwall; 5/4; 13/10; 13/10; 11/8; 67/50; 7/5; 13/10; 13/10; 7/5; 13/10; 29/20; 13/10; 13/10; 11/8; 13/10; 23/17; 5/4; 13/10; 7/5; 13/10; 13/10; 23/17; 13/10; 7/5
Ipswich; 21/10; 21/10; 11/5; 2; 111/50; 21/10; 21/10; 2; 19/10; 11/5; 9/5; 21/10; 2; 21/10; 2; 28/13; 21/10; 11/5; 19/10; 11/5; 11/5; 11/5; 19/10; 2
Draw; 12/5; 23/10; 9/4; 127/50; 12/5; 9/4; 23/10; 21/10; 23/10; 9/4; 12/5; 9/4; 12/5; 9/4; 23/10; 9/4; 23/10; 23/10; 11/5; 9/4; 21/10; 9/4; ; 
