META; english/championship/sheffield-utd-v-cardiff; 2018-03-26 12:18:24 GMT+3; 2018-04-02 19:45; e70300-dr003
Sheffield Utd; 6/4; 3/2; 33/20; 6/4; 13/10; 29/20; 7/5; 7/5; 7/5; 6/4; 13/10; 29/20; 29/20; 7/5
Cardiff; 7/4; 17/10; 46/25; 9/5; 2; 9/5; 19/10; 9/5; 9/5; 17/10; 2; 15/8; 9/5; 9/5
Draw; 23/10; 12/5; 61/25; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 40/17; 12/5; 47/20; 
META; english/championship/sheffield-utd-v-cardiff; 2018-03-27 08:18:11 GMT+3; 2018-04-02 19:45; e70300-dr003
Sheffield Utd; 6/4; 6/4; 33/20; 6/4; 6/4; 11/8; 23/17; 7/5; 6/4; 6/4; 7/5; 16/11; 6/4; 23/17; 29/20; 29/20; 16/11; 1/50; 8/5
Cardiff; 7/4; 7/4; 46/25; 19/10; 7/4; 9/5; 19/10; 15/8; 9/5; 7/4; 9/5; 9/5; 17/10; 19/10; 15/8; 9/5; 24/13; 1/50; 9/5
Draw; 23/10; 12/5; 61/25; 23/10; 23/10; 11/5; 12/5; 23/10; 9/4; 12/5; 23/10; 40/17; 23/10; 40/17; 12/5; 47/20; 40/17; 1/50; 23/10
META; english/championship/sheffield-utd-v-cardiff; 2018-03-28 08:18:57 GMT+3; 2018-04-02 19:45; e70300-dr003
Sheffield Utd; 6/4; 6/4; 33/20; 6/4; 6/4; 11/8; 23/17; 29/20; 31/20; 6/4; 6/4; 16/11; 6/4; 23/17; 6/4; 29/20; 16/11; 11/8; 8/5
Cardiff; 7/4; 7/4; 46/25; 19/10; 7/4; 9/5; 19/10; 15/8; 9/5; 7/4; 7/4; 9/5; 17/10; 19/10; 9/5; 9/5; 24/13; 7/4; 9/5
Draw; 23/10; 12/5; 61/25; 23/10; 23/10; 11/5; 12/5; 9/4; 11/5; 12/5; 9/4; 40/17; 23/10; 40/17; 12/5; 47/20; 40/17; 2; 23/10
META; english/championship/sheffield-utd-v-cardiff; 2018-03-29 08:18:40 GMT+3; 2018-04-02 19:45; e70300-dr003
Sheffield Utd; 6/4; 6/4; 33/20; 6/4; 6/4; 11/8; 16/11; 6/4; 31/20; 6/4; 6/4; 6/4; 6/4; 10/7; 6/4; 29/20; 6/4; 11/8; 8/5
Cardiff; 7/4; 7/4; 46/25; 19/10; 7/4; 9/5; 24/13; 9/5; 9/5; 7/4; 7/4; 9/5; 17/10; 9/5; 9/5; 9/5; 9/5; 7/4; 9/5
Draw; 23/10; 12/5; 61/25; 23/10; 23/10; 11/5; 12/5; 9/4; 11/5; 12/5; 9/4; 40/17; 23/10; 40/17; 12/5; 47/20; 12/5; 2; 23/10
META; english/championship/sheffield-utd-v-cardiff; 2018-03-31 12:19:02 GMT+3; 2018-04-02 19:45; e70300-dr003
Sheffield Utd; 11/8; 7/5; 6/4; 6/4; 149/100; 6/4; 6/4; 7/5; 16/11; 6/4; 29/20; 6/4; 6/4; 29/20; 6/4; 7/5; 16/11; 7/5; 11/7; 10/7; 29/20; 6/4; 16/11; 6/4; 27/20
Cardiff; 19/10; 19/10; 19/10; 15/8; 101/50; 2; 19/10; 15/8; 24/13; 15/8; 15/8; 19/10; 7/4; 2; 19/10; 19/10; 37/19; 24/13; 35/19; 9/5; 2; 19/10; 37/19; 19/10; 21/10
Draw; 23/10; 11/5; 11/5; 62/25; 9/4; 9/4; 21/10; 12/5; 21/10; 9/4; 21/10; 12/5; 43/20; 9/4; 23/10; 9/4; 23/10; 9/4; 40/17; 23/10; 11/5; 23/10; 2; 11/5; 
