META; english/championship/brentford-v-hull; 2018-04-30 14:35:35 GMT+3; 2018-05-06 12:30; e70300-dr003
Brentford; 10/11; 1; 5/6; 47/50; 10/11; 9/10; 5/6; 11/13; 17/20; 20/23; 19/20; 9/10; 10/11; 10/11; 13/15; 9/10; 15/16; 11/13; 9/10; 10/11; 5/6; 5/6; 10/11
Hull; 14/5; 11/4; 13/5; 73/25; 14/5; 11/4; 13/5; 3; 13/5; 14/5; 5/2; 11/4; 13/5; 14/5; 11/4; 11/4; 11/5; 56/19; 11/4; 14/5; 13/5; 13/5; 14/5
Draw; 13/5; 12/5; 11/4; 3; 29/10; 11/4; 13/5; 45/17; 13/5; 11/4; 11/4; 14/5; 13/5; 11/4; 11/4; 13/5; 45/17; 13/5; 29/10; 14/5; 13/5; 5/2; 14/5
META; english/championship/brentford-v-hull; 2018-05-01 12:15:42 GMT+3; 2018-05-06 12:30; e70300-dr003
Brentford; 10/11; 17/20; 10/11; 4/5; 93/00; 9/10; 9/10; 5/6; 9/10; 20/23; 17/20; 10/11; 10/11; 9/10; 17/20; 10/11; 13/15; 9/10; 11/13; 9/10; 20/23; 10/11; 5/6; 10/11
Hull; 14/5; 13/5; 27/10; 5/2; 73/25; 29/10; 11/4; 13/5; 5/2; 27/10; 13/5; 14/5; 13/5; 11/4; 13/5; 11/4; 27/10; 11/4; 12/5; 5/2; 11/4; 27/10; 13/5; 14/5
Draw; 13/5; 3; 11/4; 3; 61/20; 29/10; 14/5; 13/5; 29/10; 11/4; 11/4; 13/5; 14/5; 29/10; 14/5; 14/5; 14/5; 13/5; 11/4; 37/13; 3; 37/13; 11/4; 3
META; english/championship/brentford-v-hull; 2018-05-02 11:06:40 GMT+3; 2018-05-06 12:30; e70300-dr003
Brentford; 3/4; 4/5; 4/5; 4/5; 21/25; 17/20; 4/5; 4/5; 4/5; 4/5; 3/4; 4/5; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; 11/14; 4/5; 4/5; 4/5; 8/11; 4/5; 4/5; 4/5
Draw; 11/4; 3; 29/10; 3; 16/5; 29/10; 29/10; 11/4; 29/10; 14/5; 11/4; 14/5; 14/5; 29/10; 14/5; 14/5; 56/19; 13/5; 14/5; 37/13; 3; 14/5; 14/5; 14/5; 3; 
Hull; 7/2; 3; 29/10; 5/2; 16/5; 3; 3; 29/10; 3; 14/5; 3; 14/5; 3; 31/10; 16/5; 28/11; 56/19; 31/10; 41/13; 14/5; 14/5; 14/5; 3; ; ; 
META; english/championship/brentford-v-hull; 2018-05-03 12:42:42 GMT+3; 2018-05-06 12:30; e70300-dr003
Brentford; 5/6; 5/6; 5/6; 4/5; 43/50; 17/20; 4/5; 4/5; 5/6; 4/5; 4/5; 5/6; 5/6; 4/5; 5/6; 4/5; 11/13; 11/14; 4/5; 5/6; 5/6; 4/5; 4/5; 5/6; 5/6; 
Hull; 3; 11/4; 14/5; 5/2; 31/10; 29/10; 14/5; 11/4; 3; 14/5; 11/4; 14/5; 11/4; 29/10; 13/5; 14/5; 56/19; 29/10; 28/11; 56/19; 29/10; 3; 14/5; 14/5; 14/5; 3
Draw; 11/4; 3; 29/10; 3; 16/5; 16/5; 29/10; 3; 29/10; 29/10; 11/4; 3; 14/5; 29/10; 3; 58/19; 27/10; 14/5; 37/13; 3; 31/10; 3; 14/5; 14/5; 3; 
META; english/championship/brentford-v-hull; 2018-05-05 12:17:02 GMT+3; 2018-05-06 12:30; e70300-dr003
Brentford; 5/6; 5/6; 5/6; 17/20; 43/50; 5/6; 5/6; 4/5; 9/11; 5/6; 5/6; 5/6; 5/6; 5/6; 4/5; 5/6; 5/6; 11/13; 5/6; 11/14; 5/6; 5/6; 4/5; 4/5; 5/6; 8/11; 5/6
Draw; 16/5; 3; 29/10; 13/5; 16/5; 16/5; 3; 41/13; 29/10; 3; 3; 29/10; 14/5; 3; 27/10; 16/5; 3; 16/5; 58/19; 3; 14/5; 3; 14/5; 3; ; ; 
Hull; 16/5; 11/4; 14/5; 3; 31/10; 3; 11/4; 3; 14/5; 3; 14/5; 11/4; 29/10; 14/5; 14/5; 29/10; 29/10; 27/10; 29/10; 31/10; 56/19; 14/5; 3; 11/4; 3; ; 
