META; english/championship/millwall-v-preston; 2017-12-31 12:16:38 GMT+2; 2018-01-13 15:00; e70300-dr003
Preston; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/millwall-v-preston; 2018-01-07 12:16:23 GMT+2; 2018-01-13 15:00; e70300-dr003
Millwall; 6/4; 7/5; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 31/21; 29/20; 29/20; 6/4; ; 31/20; 7/5; 6/4; 6/4; 16/11; 6/4; 17/12; 16/11; ; 29/20; 29/20; 16/11; ; 7/5; 7/5; 
Preston; 15/8; 2; 2; 19/10; 54/25; 2; 2; 15/8; 39/19; 19/10; 15/8; 19/10; ; 39/20; 21/10; 19/10; 24/13; 19/10; 24/13; 19/10; 39/19; ; 2; 2; 37/19; ; 13/8; 13/8; 
Draw; 11/5; 9/4; 21/10; 11/5; 11/5; 12/5; 21/10; 11/5; 21/10; 2; 11/5; 21/10; ; 21/10; 11/5; 21/10; 21/10; 39/19; 21/10; 12/5; 39/19; ; 9/4; 21/10; 21/10; ; 21/10; 19/10; 
META; english/championship/millwall-v-preston; 2018-01-10 12:22:37 GMT+2; ; e70300-dr003
Millwall; 7/5; 6/4; 17/11; 6/4; 42/25; 6/4; 6/4; 6/4; 31/21; 31/20; 6/4; 31/20; ; 31/20; 8/5; 6/4; 6/4; 17/11; 6/4; 53/35; 16/11; ; 6/4; 31/20; 17/11; ; 6/4; 7/5; 13/8
Preston; 19/10; 15/8; 28/15; 19/10; 199/100; 2; 15/8; 2; 39/19; 19/10; 19/10; 19/10; ; 39/20; 2; 19/10; 24/13; 19/10; 24/13; 23/12; 39/19; ; 19/10; 19/10; 37/19; ; 19/10; 19/10; 19/10
Draw; 11/5; 11/5; 21/10; 11/5; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; ; 21/10; 2; 21/10; 21/10; 28/13; 21/10; 9/4; 39/19; ; 9/4; 21/10; 28/13; ; 21/10; 21/10; 21/10
META; english/championship/millwall-v-preston; 2018-01-10 13:43:55 GMT+2; 2018-01-13 15:00; e70300-dr003
Millwall; 7/5; 6/4; 17/11; 6/4; 42/25; 31/20; 6/4; 6/4; 31/21; 31/20; 6/4; 31/20; ; 31/20; 8/5; 6/4; 6/4; 17/11; 6/4; 53/35; 16/11; ; 6/4; 31/20; 17/11; 6/4; 6/4; 13/8
Preston; 19/10; 15/8; 28/15; 19/10; 199/ 100; 19/10; 15/8; 15/8; 39/19; 19/10; 15/8; 19/10; ; 39/20; 2; 19/10; 24/13; 19/10; 24/13; 23/12; 39/19; ; 19/10; 19/10; 37/19; 19/10; 19/10; 19/10
Draw; 11/5; 11/5; 21/10; 11/5; 11/5; 9/4; 21/10; 11/5; 21/10; 21/10; 21/10; 21/10; ; 21/10; 2; 21/10; 21/10; 28/13; 21/10; 9/4; 39/19; ; 9/4; 21/10; 28/13; 21/10; 21/10; 21/10
