META; english/championship/qpr-v-barnsley; 2018-01-30 12:19:08 GMT+2; 2018-02-03 15:00; e70300-dr003
QPR; 21/20; 11/10; 11/10; 23/20; 28/25; 11/10; ; ; 11/10; 11/10; 11/10; ; ; 23/20; 21/20; ; 11/10; 21/20; 11/10; 19/17; 11/10; 11/10; 23/20; 21/20; 11/10; ; 11/10; ; 
Draw; 12/5; 23/10; 23/10; 23/10; 5/2; 12/5; ; ; 5/2; 23/10; 23/10; ; ; 23/10; 12/5; 12/5; 23/10; 40/17; 23/10; 40/17; 27/11; 12/5; 12/5; 12/5; 40/17; ; 19/10; ; 
Barnsley; 13/5; 13/5; 5/2; 12/5; 14/5; 27/10; ; ; 40/17; 5/2; 5/2; ; ; 13/5; 11/4; 13/5; 12/5; 28/11; 12/5; 40/17; 23/10; 13/5; 5/2; 51/20; 13/5; ; 14/5; ; 
