META; english/championship/millwall-v-bristol-city; 2018-04-03 18:19:34 GMT+3; 2018-04-07 15:00; e70300-dr003
Millwall; 6/5; 6/5; 6/5; 23/20; 31/25; 6/5; 6/5; 11/10; 15/13; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 22/19; 15/13; 6/5; 6/5; 6/5; 10/9; 23/20; 6/5
Draw; 11/5; 23/10; 11/5; 23/10; 59/25; 23/10; 9/4; 11/5; 23/10; 11/5; 12/5; 23/10; 11/5; 21/10; 23/10; 9/4; 11/5; 40/17; 9/4; 23/10; 9/4; 9/4; 23/10; 21/10; 23/10
Bristol City; 12/5; 23/10; 12/5; 12/5; 131/50; 5/2; 12/5; 12/5; 12/5; 12/5; 11/5; 23/10; 49/20; 23/10; 12/5; 27/11; 23/10; 28/13; 40/17; 12/5; 12/5; 5/2; 23/10; 2; 5/2
META; english/championship/millwall-v-bristol-city; 2018-04-04 08:18:43 GMT+3; 2018-04-07 15:00; e70300-dr003
Millwall; 6/5; 6/5; 6/5; 23/20; 31/25; 5/4; 6/5; 6/5; 15/13; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 22/19; 15/13; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5
Draw; 11/5; 23/10; 11/5; 23/10; 59/25; 23/10; 9/4; 11/5; 23/10; 11/5; 12/5; 23/10; 11/5; 21/10; 23/10; 9/4; 11/5; 40/17; 9/4; 23/10; 9/4; 9/4; 21/10; 21/10; 23/10
Bristol City; 12/5; 23/10; 12/5; 12/5; 131/50; 12/5; 12/5; 9/4; 12/5; 12/5; 11/5; 23/10; 49/20; 23/10; 12/5; 27/11; 23/10; 28/13; 40/17; 12/5; 12/5; 27/11; 23/10; 19/10; 5/2
META; english/championship/millwall-v-bristol-city; 2018-04-04 18:20:05 GMT+3; 2018-04-07 15:00; e70300-dr003
Millwall; 11/10; 23/20; 6/5; 23/20; 123/00; 5/4; 6/5; 6/5; 15/13; 6/5; 6/5; 6/5; 6/5; 6/5; 11/10; 15/13; 6/5; 22/19; 15/13; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5
Draw; 11/5; 23/10; 11/5; 23/10; 59/25; 23/10; 9/4; 11/5; 23/10; 11/5; 11/5; 23/10; 11/5; 21/10; 23/10; 9/4; 11/5; 40/17; 9/4; 23/10; 9/4; 23/10; 21/10; 9/4; 23/10; 23/10
Bristol City; 13/5; 12/5; 12/5; 12/5; 53/20; 12/5; 12/5; 9/4; 12/5; 12/5; 12/5; 23/10; 5/2; 23/10; 5/2; 5/2; 23/10; 28/13; 40/17; 12/5; 12/5; 28/11; 12/5; 5/2; 13/5; 13/5
META; english/championship/millwall-v-bristol-city; 2018-04-05 13:13:37 GMT+3; 2018-04-07 15:00; e70300-dr003
Millwall; 11/10; 11/10; 6/5; 23/20; 123/100; 5/4; 6/5; 6/5; 15/13; 6/5; 6/5; 23/20; 23/20; 6/5; 23/20; 11/10; 15/13; 6/5; 8/7; 15/13; 23/20; 15/13; 23/20; 6/5; 6/5; 6/5
Draw; 11/5; 23/10; 11/5; 23/10; 59/25; 23/10; 9/4; 11/5; 23/10; 11/5; 11/5; 23/10; 12/5; 11/5; 21/10; 23/10; 9/4; 11/5; 40/17; 9/4; 23/10; 23/10; 21/10; 11/5; 23/10; 23/10
Bristol City; 13/5; 5/2; 12/5; 12/5; 53/20; 12/5; 12/5; 9/4; 12/5; 5/2; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 5/2; 23/10; 28/13; 40/17; 5/2; 28/11; 12/5; 23/10; 13/5; 13/5
META; english/championship/millwall-v-bristol-city; 2018-04-06 08:18:57 GMT+3; 2018-04-07 15:00; e70300-dr003
Millwall; 23/20; 11/10; 11/10; 23/20; 23/20; 5/4; 11/10; 6/5; 15/13; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 19/17; 23/20; 11/10; 10/9; 21/20; 10/9; 23/20
Draw; 23/10; 23/10; 11/5; 23/10; 117/50; 23/10; 11/5; 11/5; 9/4; 9/4; 23/10; 12/5; 23/10; 9/4; 21/10; 23/10; 9/4; 9/4; 40/17; 11/5; 23/10; 9/4; 11/5; 9/4; 23/10; 23/10
Bristol City; 29/10; 13/5; 13/5; 12/5; 73/25; 12/5; 13/5; 9/4; 13/5; 27/10; 13/5; 5/2; 5/2; 27/10; 5/2; 13/5; 27/10; 5/2; 13/5; 28/11; 14/5; 11/4; 11/4; 5/2; 14/5; 11/4
