META; english/championship/barnsley-v-wolves; 2017-12-31 12:16:17 GMT+2; 2018-01-13 15:00; e70300-dr003
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barnsley; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/barnsley-v-wolves; 2018-01-07 12:16:03 GMT+2; 2018-01-13 15:00; e70300-dr003
Wolves; 8/11; 3/4; 8/11; 3/4; 3/4; 7/10; 7/10; 4/6; 13/18; 7/10; 4/6; 8/11; ; 8/11; 8/11; 8/11; 13/18; 9/13; 13/18; 5/7; 7/10; ; 7/10; 7/10; 9/13; ; 4/7; 8/13; 
Draw; 14/5; 5/2; 5/2; 13/5; 14/5; 14/5; 13/5; 11/4; 45/17; 5/2; 11/4; 5/2; ; 5/2; 13/5; 13/5; 11/4; 13/5; 11/4; 14/5; 13/5; ; 27/10; 13/5; 13/5; ; 23/10; 9/4; 
Barnsley; 7/2; 4; 21/5; 19/5; 22/5; 4; 4; 4; 41/10; 4; 7/2; 4; ; 17/4; 17/4; 4; 7/2; 39/10; 7/2; 39/10; 41/10; ; 21/5; 4; 75/19; ; 7/2; 7/2; 
META; english/championship/barnsley-v-wolves; 2018-01-10 12:22:17 GMT+2; ; e70300-dr003
Wolves; 7/10; 7/10; 7/10; 4/6; 3/4; 8/11; 7/10; 4/6; 13/18; 7/10; 7/10; 7/10; ; 7/10; 7/10; 7/10; 4/6; 5/7; 4/6; 13/18; 7/10; ; 7/10; 7/10; 5/7; ; 4/6; 4/6; 4/6
Draw; 13/5; 13/5; 13/5; 13/5; 14/5; 11/4; 13/5; 13/5; 45/17; 13/5; 13/5; 13/5; ; 13/5; 14/5; 13/5; 27/10; 27/10; 27/10; 14/5; 13/5; ; 11/4; 27/10; 11/4; ; 27/10; 13/5; 14/5
Barnsley; 4; 17/4; 21/5; 9/2; 22/5; 4; 4; 4; 41/10; 21/5; 4; 4; ; 17/4; 4; 4; 4; 54/13; 4; 39/10; 41/10; ; 21/5; 4; 21/5; ; 21/5; 21/5; 21/5
META; english/championship/barnsley-v-wolves; 2018-01-10 13:43:34 GMT+2; 2018-01-13 15:00; e70300-dr003
Wolves; 7/10; 7/10; 7/10; 4/6; 3/4; 8/11; 7/10; 4/6; 13/18; 7/10; 7/10; 7/10; ; 7/10; 7/10; 7/10; 4/6; 5/7; 4/6; 13/18; 7/10; ; 7/10; 7/10; 5/7; 4/6; 4/6; 4/6
Draw; 13/5; 13/5; 13/5; 13/5; 14/5; 11/4; 13/5; 13/5; 45/17; 13/5; 13/5; 13/5; ; 13/5; 14/5; 13/5; 27/10; 27/10; 27/10; 14/5; 13/5; ; 11/4; 27/10; 27/10; 13/5; 13/5; 14/5
Barnsley; 4; 17/4; 21/5; 9/2; 22/5; 4; 4; 4; 41/10; 21/5; 4; 4; ; 17/4; 4; 4; 4; 54/13; 4; 39/10; 41/10; ; 21/5; 4; 21/5; 21/5; 21/5; 21/5
