META; english/championship/wolves-v-brentford; 2017-12-31 12:16:07 GMT+2; 2018-01-02 19:45; e70300-dr003
Wolves; 8/13; 4/6; 4/6; 11/20; 33/50; 8/13; 8/13; 4/7; 11/17; 4/6; 4/7; 8/13; 8/11; 4/6; 4/6; 4/6; 8/13; 11/17; 8/13; 11/17; 8/13; 8/13; 13/20; 13/20; 11/17; ; 4/7; 4/7; 
Draw; 3; 3; 29/10; 3; 16/5; 16/5; 29/10; 3; 56/19; 29/10; 11/4; 3; 3; 29/10; 3; 3; 11/4; 56/19; 11/4; 3; 29/10; 3; 3; 3; 3; ; 14/5; 21/10; 
Brentford; 4; 19/5; 4; 5; 23/5; 5; 17/4; 9/2; 22/5; 4; 5; 4; 7/2; 4; 4; 9/2; 9/2; 43/10; 9/2; 41/10; 43/10; 17/4; 21/5; 17/4; 43/10; ; 4; 10/3; 
