META; english/championship/sunderland-v-millwall; 2017-11-17 16:10:24 GMT+2; 2017-11-18 15:00; e70300-dr003
Sunderland; 13/10; 5/4; 5/4; 13/10; 127/100; 13/10; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 6/5; 5/4; 33/25; 23/18; 7/6; 5/4; 13/10; 6/5; 5/4; ; 5/4; 6/5; 13/10
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 23/10; 11/5; 9/4; 23/10; 11/5; 23/10; 11/5; 12/5; 9/4; 23/10; 23/10; 9/4; 9/4; 59/25; 23/10; 9/4; 12/5; 12/5; 47/20; 23/10; ; 9/4; 9/4; 23/10
Millwall; 12/5; 9/4; 9/4; 11/5; 23/10; 23/10; 9/4; 9/4; 12/5; 23/10; 23/10; 23/10; 11/5; 23/10; 23/10; 23/10; 11/5; 40/17; 121/50; 9/4; 40/17; 23/10; 12/5; 9/4; 40/17; ; 9/4; 11/5; 12/5
