META; english/championship/brentford-v-bolton; 2017-12-31 12:16:23 GMT+2; 2018-01-13 15:00; e70300-dr003
Brentford; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bolton; ; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/brentford-v-bolton; 2018-01-07 12:16:08 GMT+2; 2018-01-13 15:00; e70300-dr003
Brentford; 8/15; 4/7; 8/15; 11/20; 14/25; 8/15; 8/15; 1/2; 6/11; 8/15; 8/15; 11/20; ; 11/20; 4/7; 8/15; 8/15; 18/35; 8/15; 5/9; 8/15; ; 8/15; 8/15; 8/15; ; 4/9; 1/2; 
Draw; 16/5; 3; 16/5; 3; 7/2; 10/3; 16/5; 10/3; 57/17; 3; 16/5; 16/5; ; 31/10; 3; 16/5; 16/5; 31/10; 16/5; 38/11; 13/4; ; 10/3; 3; 41/13; ; 2; 5/2; 
Bolton; 19/4; 19/4; 24/5; 5; 27/5; 11/2; 5; 5; 24/5; 19/4; 9/2; 9/2; ; 5; 5; 5; 9/2; 24/5; 9/2; 22/5; 19/4; ; 5; 5; 63/13; ; 22/5; 23/5; 
META; english/championship/brentford-v-bolton; 2018-01-10 12:22:22 GMT+2; ; e70300-dr003
Brentford; 1/2; 4/7; 8/15; 11/20; 59/100; 11/20; 8/15; 8/15; 6/11; 4/7; 1/2; 11/20; ; 4/7; 11/20; 8/15; 8/15; 5/9; 8/15; 5/9; 8/15; ; 8/15; 11/20; 5/9; ; 8/15; 8/15; 
Draw; 10/3; 16/5; 16/5; 3; 69/20; 10/3; 16/5; 10/3; 57/17; 16/5; 10/3; 16/5; ; 16/5; 100/30; 16/5; 16/5; 13/4; 16/5; 7/2; 13/4; ; 17/5; 10/3; 33/10; ; 3; 3; 
Bolton; 5; 9/2; 19/4; 5; 5; 11/2; 19/4; 5; 24/5; 19/4; 5; 9/2; ; 19/4; 19/4; 5; 9/2; 24/5; 9/2; 43/10; 19/4; ; 19/4; 9/2; 63/13; ; 23/5; 23/5; 
META; english/championship/brentford-v-bolton; 2018-01-10 13:43:39 GMT+2; 2018-01-13 15:00; e70300-dr003
Brentford; 1/2; 4/7; 8/15; 11/20; 59/ 100; 11/20; 8/15; 8/15; 6/11; 4/7; 1/2; 11/20; ; 4/7; 11/20; 8/15; 8/15; 5/9; 8/15; 5/9; 8/15; ; 8/15; 11/20; 5/9; 8/15; 8/15; 
Draw; 10/3; 16/5; 16/5; 3; 69/20; 10/3; 16/5; 10/3; 57/17; 16/5; 10/3; 16/5; ; 16/5; 100/ 30; 16/5; 16/5; 13/4; 16/5; 7/2; 13/4; ; 17/5; 10/3; 33/10; 3; 3; 
Bolton; 5; 9/2; 19/4; 5; 5; 11/2; 19/4; 5; 24/5; 19/4; 5; 9/2; ; 19/4; 19/4; 5; 9/2; 24/5; 9/2; 43/10; 19/4; ; 19/4; 9/2; 63/13; 23/5; 23/5; 
