META; english/championship/fulham-v-bristol-city; 2017-10-30 12:10:53 GMT+2; 2017-10-31 19:45; e70300-dr003
Fulham; 1; 19/20; 19/20; 19/20; 10/11; ; 1; 10/11; 1; 19/20; 1; 20/21; 1; 1; 1; 19/20; 13/15; 1; 51/50; 19/20; 39/40; 10/11; 1; 10/11; 1; ; 1; 20/21; 1
Draw; 27/10; 11/4; 13/5; 11/4; 14/5; ; 13/5; 11/4; 11/4; 27/10; 5/2; 13/5; 13/5; 27/10; 11/4; 13/5; 27/10; 45/17; 72/25; 45/17; 45/17; 14/5; 11/4; 11/4; 27/10; ; 13/5; 5/2; 5/2
Bristol City; 29/10; 13/5; 13/5; 13/5; 29/10; ; 13/5; 13/5; 28/11; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 14/5; 13/5; 137/50; 5/2; 5/2; 13/5; 27/10; 53/20; 45/17; ; 13/5; 13/5; 27/10
