META; english/championship/leeds-v-burton; 2017-08-28 14:23:46 GMT+3; 2017-09-09 15:00; e70300-dr003
Leeds; 4/7; 2/3; 4/7; 8/13; 4/7; 4/7; 11/20; 8/15; 3/5; 8/15; 8/15; 6/10; ; ; 4/7; ; ; 4/7; 5/9; 29/50; 8/15; 3/5; ; ; 4/7; ; ; ; 
Draw; 3; 14/5; 29/10; 11/4; 11/4; 3; 3; 11/4; 14/5; 27/10; 27/10; 13/5; ; ; 3; ; ; 11/4; 14/5; 31/10; 3; 11/4; ; ; 14/5; ; ; ; 
Burton; 9/2; 18/5; 11/2; 5; 5; 5; 11/2; 11/2; 24/5; 5; 24/5; 5; ; ; 5; ; ; 23/5; 49/10; 6; 9/2; 19/4; ; ; 5; ; ; ; 
META; english/championship/leeds-v-burton; 2017-09-04 20:18:47 GMT+3; 2017-09-09 15:00; e70300-dr003
Leeds; 8/15; 4/7; 4/7; 11/20; 4/7; 4/7; 11/20; 8/15; 4/7; 4/7; 4/7; 4/7; 11/20; 8/15; 4/7; 8/15; 6/11; 4/7; 8/15; 14/25; 8/15; 4/7; ; 4/7; 5/9; ; 8/15; 8/15; 4/7
Draw; 3; 29/10; 29/10; 3; 11/4; 3; 3; 3; 14/5; 14/5; 29/10; 14/5; 59/20; 16/5; 3; 14/5; 29/10; 11/4; 29/10; 16/5; 3; 11/4; ; 3; 29/10; ; 14/5; 11/4; 3
Burton; 5; 5; 5; 5; 5; 5; 11/2; 11/2; 21/4; 5; 11/2; 5; 21/4; 11/2; 5; 5; 5; 26/5; 21/4; 61/10; 9/2; 21/4; ; 21/4; 5; ; 5; 24/5; 29/5
META; english/championship/leeds-v-burton; 2017-09-07 19:19:36 GMT+3; 2017-09-09 15:00; e70300-dr003
Leeds; 8/15; 4/7; 4/7; 11/20; 4/7; 4/7; 4/7; 8/15; 8/15; 8/15; 4/7; 4/7; 11/20; 4/7; 4/7; 4/7; ; 1/2; 5/9; 4/7; 4/7; 1/2; 8/15; 4/7; 5/9; ; 4/7; 8/15; 4/7
Draw; 3; 29/10; 29/10; 3; 11/4; 3; 3; 11/4; 3; 29/10; 29/10; 14/5; 59/20; 3; 3; 3; ; 3; 56/19; 63/20; 3; 3; 3; 3; 29/10; ; 14/5; 11/4; 3
Burton; 5; 5; 11/2; 5; 5; 5; 11/2; 11/2; 23/4; 11/2; 11/2; 5; 21/4; 11/2; 5; 5; ; 23/4; 60/11; 6; 5; 23/4; 11/2; 21/4; 5; ; 28/5; 26/5; 29/5
META; english/championship/leeds-v-burton; 2017-09-08 10:15:23 GMT+3; 2017-09-09 15:00; e70300-dr003
Leeds; 4/7; 4/7; 11/20; 11/20; 4/7; 4/7; 4/7; 8/15; 8/15; 8/15; 4/7; 4/7; 11/20; 8/15; 4/7; 4/7; ; 1/2; 8/15; 4/7; 4/7; 1/2; 8/15; 8/15; 5/9; ; 8/15; 8/15; 4/7
Draw; 3; 29/10; 29/10; 3; 11/4; 3; 3; 11/4; 3; 29/10; 29/10; 14/5; 59/20; 3; 3; 29/10; ; 3; 56/19; 63/20; 3; 3; 3; 3; 29/10; ; 14/5; 11/4; 3
Burton; 6; 5; 11/2; 5; 5; 5; 11/2; 11/2; 23/4; 11/2; 11/2; 5; 21/4; 11/2; 5; 11/2; ; 23/4; 11/2; 6; 5; 23/4; 11/2; 11/2; 5; ; 28/5; 26/5; 11/2
