META; english/championship/ipswich-v-hull; 2018-02-27 18:17:28 GMT+2; 2018-03-03 15:00; e70300-dr003
Ipswich; 29/20; 6/4; 6/4; 6/4; 159/100; 6/4; 6/4; 7/5; 6/4; ; 6/4; 7/5; ; 6/4; 6/4; 6/4; 16/11; 16/11; 15/11; 31/21; 29/20; 29/20; 16/11; ; 6/4; 27/20; 6/4
Hull; 19/10; 15/8; 2; 19/10; 52/25; 19/10; 19/10; 9/5; 37/19; ; 2; 2; ; 2; 19/10; 19/10; 19/10; 37/19; 30/17; 19/10; 2; 39/20; 19/10; ; 19/10; 9/5; 2
Draw; 11/5; 9/4; 21/10; 11/5; 56/25; 23/10; 21/10; 21/10; 11/5; ; 21/10; 21/10; ; 21/10; 9/4; 21/10; 21/10; 21/10; 11/5; 28/13; 9/4; ; 21/10; ; 21/10; 2; 11/5
META; english/championship/ipswich-v-hull; 2018-03-01 15:59:45 GMT+2; ; e70300-dr003
Ipswich l w d d l w; 6/4; 6/4; 8/5; 6/4; 42/25; 6/4; 8/5; 7/5; 6/4; 8/5; 8/5; 31/20; 27/20; 13/8; 8/5; 6/4; 6/4; 16/11; 14/9; 31/21; 8/5; 8/5; 6/4; 7/5; 7/5; 13/8
Hull l w l l w d; 15/8; 15/8; 9/5; 19/10; 97/50; 19/10; 15/8; 15/8; 37/19; 15/8; 15/8; 9/5; 11/5; 15/8; 19/10; 15/8; 37/19; 13/7; 19/10; 9/5; 37/20; 9/5; 19/10; 19/10; ; 
Draw; 11/5; 9/4; 21/10; 11/5; 9/4; 23/10; 21/10; 11/5; 11/5; 21/10; 9/4; 11/5; 11/5; 21/10; 21/10; 21/10; 21/10; 11/5; 28/13; 9/4; 21/10; 28/13; 9/4; 11/5; ; 
META; english/championship/ipswich-v-hull; 2018-03-02 01:01:09 GMT+2; 2018-03-03 15:00; e70300-dr003
Ipswich; 27/20; 7/5; 29/20; 6/4; 38/25; 31/20; 6/4; 7/5; 6/4; 29/20; 8/5; 29/20; 7/5; 29/20; 7/5; 7/5; 16/11; 16/11; 16/11; 6/4; 6/4; 7/5; 7/5; 7/5; 6/4
Hull; 21/10; 2; 19/10; 21/10; 21/10; 2; 2; 21/10; 15/8; 2; 19/10; 21/10; 21/10; 2; 37/19; 37/19; 2; 37/19; 85/40; 21/10; 37/19; 19/10; 19/10; ; 
Draw; 11/5; 9/4; 21/10; 11/5; 58/25; 23/10; 11/5; 21/10; 11/5; 21/10; 9/4; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 9/4; 28/13; 9/4; 21/10; 28/13; 21/10; 2; 9/4
META; english/championship/ipswich-v-hull; 2018-03-02 03:01:10 GMT+2; 2018-03-03 15:00; e70300-dr003
Ipswich; 27/20; 7/5; 29/20; 6/4; 38/25; 31/20; 6/4; 7/5; 6/4; 29/20; 8/5; 29/20; 7/5; 29/20; 7/5; 7/5; 16/11; 16/11; 16/11; 6/4; 6/4; 7/5; 7/5; 7/5; 6/4
Hull; 21/10; 2; 19/10; 21/10; 21/10; 2; 2; 21/10; 15/8; 2; 19/10; 21/10; 21/10; 2; 37/19; 37/19; 2; 37/19; 85/40; 21/10; 2; 19/10; ; ; 
Draw; 11/5; 9/4; 21/10; 11/5; 58/25; 23/10; 11/5; 21/10; 11/5; 21/10; 9/4; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 9/4; 28/13; 9/4; 21/10; 28/13; 21/10; 2; 9/4
META; english/championship/ipswich-v-hull; 2018-03-02 04:01:09 GMT+2; 2018-03-03 15:00; e70300-dr003
Ipswich; 27/20; 7/5; 29/20; 6/4; 38/25; 31/20; 6/4; 7/5; 6/4; 29/20; 8/5; 29/20; 7/5; 29/20; 7/5; 7/5; 16/11; 16/11; 16/11; 6/4; 6/4; 7/5; 7/5; 7/5; 6/4
Hull; 21/10; 2; 19/10; 21/10; 21/10; 2; 2; 21/10; 15/8; 2; 19/10; 21/10; 21/10; 2; 37/19; 37/19; 2; 37/19; 85/40; 21/10; 37/19; 2; 19/10; ; 
Draw; 11/5; 9/4; 21/10; 11/5; 58/25; 23/10; 11/5; 21/10; 11/5; 21/10; 9/4; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 9/4; 28/13; 9/4; 21/10; 28/13; 21/10; 2; 9/4
