META; english/championship/derby-v-brentford; 2018-01-30 12:18:54 GMT+2; 2018-02-03 15:00; e70300-dr003
Derby; 21/20; 11/10; 11/10; 23/20; 29/25; 11/10; 11/10; ; 6/5; 11/10; 11/10; ; ; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 10/9; 6/5; 11/10; 23/20; 11/10; 11/10; ; 10/11; ; 
Draw; 12/5; 12/5; 23/10; 23/10; 63/25; 5/2; 23/10; ; 23/10; 12/5; 12/5; ; ; 12/5; 12/5; ; 23/10; 40/17; 23/10; 27/11; 9/4; 5/2; 12/5; 49/20; 40/17; ; 2; ; 
Brentford; 5/2; 5/2; 12/5; 12/5; 133/ 50; 5/2; 5/2; ; 23/10; 5/2; 12/5; ; ; 5/2; 13/5; ; 12/5; 27/11; 12/5; 23/10; 9/4; 5/2; 5/2; 12/5; 5/2; ; 2; ; 
