META; english/championship/qpr-v-reading; 2017-06-26 14:25:12 GMT+3; 2017-08-05 15:00; e70300-dr003
Reading; 11/8; 9/5; ; 6/4; ; 27/20; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 31/20; 6/4; 7/4; ; 7/5; 16/11; 7/5; 7/5; 13/8; ; 7/5; ; 7/5; ; 6/5; ; 
QPR; 15/8; 6/4; ; 13/8; ; 37/20; 9/5; 6/4; 9/5; 8/5; 8/5; 7/4; 17/10; 6/4; 6/4; ; 9/5; 9/5; 19/10; 9/5; 19/10; ; 19/10; ; 19/10; ; 4/6; ; 
Draw; 12/5; 23/10; ; 11/5; ; 12/5; 12/5; 11/5; 12/5; 9/4; 9/4; 9/4; 47/20; 11/5; 12/5; ; 23/10; 9/4; 23/10; 23/10; 12/5; ; 23/10; ; 40/17; ; 21/10; ; 
META; english/championship/qpr-v-reading; 2017-07-21 16:28:32 GMT+3; 2017-08-05 15:00; e70300-dr003
Reading; 8/5; 6/4; ; 8/5; ; 27/20; 31/20; 6/4; 16/11; 8/5; 31/20; 31/20; 31/20; 6/4; 6/4; 6/4; 16/11; 7/5; 6/4; 13/8; 10/7; 16/11; ; 8/5; ; ; 1/16; ; 
QPR; 8/5; 7/4; ; 13/8; ; 37/20; 7/4; 17/10; 9/5; 28/17; 13/8; 9/5; 7/4; 17/10; 9/5; 13/8; 9/5; 9/5; 17/10; 19/10; 31/18; 9/5; ; 9/5; ; ; 1/14; ; 
Draw; 12/5; 23/10; ; 21/10; ; 12/5; 12/5; 23/10; 40/17; 11/5; 11/5; 11/5; 23/10; 23/10; 12/5; 11/5; 9/4; 23/10; 9/4; 12/5; 40/17; 40/17; ; 23/10; ; ; 21/10; ; 
META; english/championship/qpr-v-reading; 2017-07-24 13:31:01 GMT+3; 2017-08-05 15:00; e70300-dr003
Reading; 8/5; 6/4; ; 8/5; ; 31/20; 31/20; 6/4; 16/11; 8/5; 31/20; 31/20; 31/20; 6/4; 6/4; 6/4; 16/11; 7/5; 6/4; 13/8; 10/7; 16/11; ; 8/5; ; ; 7/5; ; 
QPR; 8/5; 7/4; ; 13/8; ; 20/11; 7/4; 17/10; 9/5; 28/17; 13/8; 9/5; 7/4; 17/10; 9/5; 13/8; 9/5; 9/5; 17/10; 19/10; 31/18; 9/5; ; 9/5; ; ; 13/8; ; 
Draw; 12/5; 23/10; ; 21/10; ; 12/5; 12/5; 23/10; 40/17; 11/5; 11/5; 11/5; 23/10; 23/10; 12/5; 11/5; 9/4; 23/10; 9/4; 12/5; 40/17; 40/17; ; 23/10; ; ; 21/10; ; 
META; english/championship/qpr-v-reading; 2017-07-27 14:45:27 GMT+3; 2017-08-05 15:00; e70300-dr003
Reading; 8/5; 6/4; ; 8/5; ; 31/20; 31/20; 6/4; 17/11; 8/5; 31/20; 31/20; 31/20; 6/4; 6/4; 6/4; 16/11; 6/4; 6/4; 13/8; 10/7; 17/11; ; 8/5; ; ; 7/5; ; 
QPR; 8/5; 7/4; ; 13/8; ; 20/11; 7/4; 17/10; 24/13; 28/17; 13/8; 9/5; 7/4; 17/10; 9/5; 13/8; 9/5; 9/5; 17/10; 19/10; 31/18; 9/5; ; 9/5; ; ; 13/8; ; 
Draw; 12/5; 23/10; ; 21/10; ; 12/5; 12/5; 23/10; 9/4; 11/5; 11/5; 11/5; 23/10; 23/10; 12/5; 11/5; 9/4; 11/5; 9/4; 12/5; 40/17; 11/5; ; 23/10; ; ; 11/5; ; 
META; english/championship/qpr-v-reading; 2017-07-31 12:01:21 GMT+3; 2017-08-05 15:00; e70300-dr003
Reading; 8/5; 6/4; ; 8/5; ; 31/20; 6/4; 6/4; 17/11; 8/5; 31/20; 31/20; 31/20; 6/4; 6/4; 6/4; 16/11; 6/4; 17/11; 33/20; 10/7; 17/11; ; 8/5; ; ; 6/4; ; 
QPR; 8/5; 7/4; ; 13/8; ; 20/11; 9/5; 9/5; 24/13; 28/17; 13/8; 9/5; 7/4; 7/4; 9/5; 13/8; 9/5; 9/5; 17/10; 93/50; 31/18; 9/5; ; 9/5; ; ; 7/4; ; 
Draw; 12/5; 23/10; ; 21/10; ; 12/5; 12/5; 23/10; 9/4; 21/10; 21/10; 9/4; 23/10; 9/4; 12/5; 11/5; 9/4; 11/5; 23/10; 12/5; 40/17; 11/5; ; 23/10; ; ; 23/10; ; 
