META; english/championship/reading-v-millwall; 2018-01-30 12:19:10 GMT+2; 2018-02-03 15:00; e70300-dr003
Reading; 13/10; 6/4; 6/4; 6/4; 39/25; 29/20; 6/4; ; 13/10; 31/20; 7/5; ; ; 31/20; 8/5; 7/5; 23/17; 16/11; 23/17; 13/9; 13/10; 6/4; 6/4; 29/20; 16/11; ; 5/4; ; 
Millwall; 21/10; 19/10; 28/15; 15/8; 52/25; 2; 19/10; ; 2; 19/10; 2; ; ; 19/10; 19/10; 2; 37/19; 37/19; 37/19; 20/11; 2; 2; 19/10; 39/20; 37/19; ; 17/10; ; 
Draw; 11/5; 11/5; 21/10; 11/5; ; 23/10; 11/5; ; 12/5; 21/10; 11/5; ; ; 43/20; 21/10; ; 9/4; 28/13; 9/4; 9/4; 40/17; 11/5; 23/10; 11/5; 28/13; ; 19/10; ; 
