META; english/championship/aston-villa-v-qpr; 2018-02-27 18:17:12 GMT+2; 2018-03-03 15:00; e70300-dr003
Aston Villa; 8/11; 3/4; 4/5; 4/5; 83/100; 3/4; ; 4/6; 13/18; 4/5; 3/4; 3/4; ; 4/5; 4/5; 4/5; 14/19; 7/10; 10/13; 13/18; ; 3/4; 10/13; ; 4/6; 8/11; 4/5
Draw; 11/4; 5/2; 12/5; 12/5; 27/10; 13/5; ; 12/5; 27/10; 5/2; 13/5; 13/5; ; 5/2; 5/2; 5/2; 5/2; 27/10; 27/11; 45/17; 27/10; 13/5; 28/11; ; 12/5; 12/5; 13/5
QPR; 18/5; 19/5; 15/4; 15/4; 39/10; 4; ; 4; 39/10; 15/4; 19/5; 15/4; ; 19/5; 15/4; 15/4; 18/5; 15/4; 3; 19/5; 19/5; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/aston-villa-v-qpr; 2018-03-01 15:59:26 GMT+2; ; e70300-dr003
Aston Villa w w w l d w; 8/11; 3/4; 3/4; 8/11; 4/5; 3/4; 4/6; 13/18; 3/4; 3/4; 3/4; 7/10; 4/5; 3/4; 8/11; 14/19; 7/10; 10/13; 13/18; 3/4; 14/19; 8/11; 8/11; 8/11; 
Draw; 11/4; 5/2; 5/2; 5/2; 68/25; 13/5; 5/2; 27/10; 5/2; 11/4; 13/5; 5/2; 5/2; 13/5; 13/5; 28/11; 13/5; 27/10; 45/17; 27/10; 13/5; 13/5; 5/2; 13/5; 13/5
QPR l w l w l l; 18/5; 19/5; 19/5; 4; 41/10; 4; 39/10; 19/5; 19/5; 15/4; 17/4; 19/5; 4; 15/4; 39/11; 4; 62/17; 19/5; 19/5; 15/4; 39/11; 4; 21/5; ; 
META; english/championship/aston-villa-v-qpr; 2018-03-02 01:00:50 GMT+2; 2018-03-03 15:00; e70300-dr003
Aston Villa; 8/11; 3/4; 3/4; 8/11; 81/100; 3/4; 4/6; 3/4; 4/5; 3/4; 3/4; 7/10; 4/5; 3/4; 8/11; 10/13; 7/10; 10/13; 8/11; 4/5; 3/4; 10/13; 8/11; 8/11; 4/5
Draw; 11/4; 5/2; 5/2; 5/2; 69/25; 13/5; 5/2; 45/17; 5/2; 11/4; 13/5; 5/2; 5/2; 13/5; 13/5; 28/11; 13/5; 27/10; 13/5; 11/4; 13/5; 13/5; 5/2; 13/5; 27/10
QPR; 18/5; 19/5; 15/4; 4; 79/20; 4; 39/10; 19/5; 19/5; 15/4; 17/4; 19/5; 4; 15/4; 38/11; 4; 62/17; 19/5; 4; 15/4; 7/2; 7/2; 7/2; 7/2; 
META; english/championship/aston-villa-v-qpr; 2018-03-02 03:00:51 GMT+2; 2018-03-03 15:00; e70300-dr003
Aston Villa; 8/11; 3/4; 3/4; 8/11; 81/100; 3/4; 4/6; 3/4; 4/5; 3/4; 3/4; 7/10; 4/5; 3/4; 8/11; 10/13; 7/10; 10/13; 8/11; 4/5; 3/4; 10/13; 8/11; 8/11; 4/5
Draw; 11/4; 5/2; 5/2; 5/2; 69/25; 13/5; 5/2; 45/17; 5/2; 11/4; 13/5; 5/2; 5/2; 13/5; 13/5; 28/11; 13/5; 27/10; 13/5; 11/4; 13/5; 13/5; 5/2; 13/5; 27/10
QPR; 18/5; 19/5; 15/4; 4; 79/20; 4; 39/10; 19/5; 19/5; 15/4; 17/4; 19/5; 4; 15/4; 38/11; 4; 62/17; 19/5; 4; 15/4; 38/11; 7/2; 7/2; 7/2; 
META; english/championship/aston-villa-v-qpr; 2018-03-02 04:00:51 GMT+2; 2018-03-03 15:00; e70300-dr003
Aston Villa; 8/11; 3/4; 3/4; 8/11; 81/100; 3/4; 4/6; 3/4; 4/5; 3/4; 3/4; 7/10; 4/5; 3/4; 8/11; 10/13; 7/10; 10/13; 8/11; 4/5; 3/4; 10/13; 8/11; 8/11; 4/5
Draw; 11/4; 5/2; 5/2; 5/2; 69/25; 13/5; 5/2; 45/17; 5/2; 11/4; 13/5; 5/2; 5/2; 13/5; 13/5; 28/11; 13/5; 27/10; 13/5; 11/4; 13/5; 13/5; 5/2; 13/5; 27/10
QPR; 18/5; 19/5; 15/4; 4; 79/20; 4; 39/10; 19/5; 19/5; 15/4; 17/4; 19/5; 4; 15/4; 38/11; 4; 62/17; 19/5; 4; 15/4; 7/2; 7/2; 7/2; 7/2; 
META; english/championship/aston-villa-v-qpr; 2018-03-02 05:00:52 GMT+2; 2018-03-03 15:00; e70300-dr003
Aston Villa; 8/11; 3/4; 3/4; 8/11; 81/100; 3/4; 4/6; 3/4; 4/5; 3/4; 3/4; 7/10; 4/5; 3/4; 8/11; 10/13; 7/10; 10/13; 8/11; 4/5; 3/4; 10/13; 8/11; 8/11; 4/5
Draw; 11/4; 5/2; 5/2; 5/2; 69/25; 13/5; 5/2; 45/17; 5/2; 11/4; 13/5; 5/2; 5/2; 13/5; 13/5; 28/11; 13/5; 27/10; 13/5; 11/4; 13/5; 13/5; 5/2; 13/5; 27/10
QPR; 18/5; 19/5; 15/4; 4; 79/20; 4; 39/10; 19/5; 19/5; 15/4; 17/4; 19/5; 4; 15/4; 38/11; 4; 62/17; 19/5; 4; 15/4; 7/2; 4; 7/2; ; 
META; english/championship/aston-villa-v-qpr; 2018-03-02 07:00:52 GMT+2; 2018-03-03 15:00; e70300-dr003
Aston Villa; 4/5; 3/4; 3/4; 8/11; 81/100; 3/4; 4/6; 3/4; 4/5; 3/4; 3/4; 7/10; 4/5; 3/4; 8/11; 10/13; 7/10; 10/13; 8/11; 4/5; 3/4; 10/13; 8/11; 8/11; 4/5
Draw; 13/5; 5/2; 5/2; 5/2; 137/50; 13/5; 5/2; 45/17; 5/2; 11/4; 13/5; 5/2; 5/2; 13/5; 13/5; 27/11; 13/5; 27/10; 13/5; 11/4; 13/5; 5/2; 5/2; 12/5; 27/10
QPR; 17/4; 19/5; 15/4; 4; 4; 39/10; 19/5; 19/5; 15/4; 17/4; 19/5; 4; 15/4; 18/5; 4; 62/17; 19/5; 4; 15/4; 62/17; 4; 7/2; 7/2; ; 
META; english/championship/aston-villa-v-qpr; 2018-03-02 08:20:39 GMT+2; 2018-03-03 15:00; e70300-dr003
Aston Villa; 4/5; 3/4; 3/4; 8/11; 81/100; 3/4; 4/6; 3/4; 4/5; 3/4; 3/4; 7/10; 4/5; 3/4; 8/11; 10/13; 7/10; 10/13; 8/11; 4/5; 3/4; 10/13; 8/11; 8/11; 4/5
Draw; 13/5; 5/2; 5/2; 5/2; 137/50; 13/5; 5/2; 45/17; 5/2; 11/4; 13/5; 5/2; 5/2; 13/5; 13/5; 27/11; 13/5; 27/10; 13/5; 11/4; 13/5; 5/2; 5/2; 13/5; 27/10
QPR; 17/4; 19/5; 15/4; 4; 4; 39/10; 19/5; 19/5; 15/4; 17/4; 19/5; 4; 15/4; 18/5; 4; 62/17; 19/5; 4; 15/4; 62/17; 4; 21/5; 7/2; ; 
META; english/championship/aston-villa-v-qpr; 2018-03-02 09:00:51 GMT+2; 2018-03-03 15:00; e70300-dr003
Aston Villa; 4/5; 3/4; 3/4; 8/11; 4/5; 3/4; 4/6; 3/4; 4/5; 3/4; 3/4; 7/10; 4/5; 3/4; 8/11; 10/13; 7/10; 10/13; 8/11; 4/5; 3/4; 10/13; 8/11; 8/11; 4/5
Draw; 13/5; 5/2; 5/2; 5/2; 68/25; 13/5; 5/2; 45/17; 5/2; 11/4; 13/5; 5/2; 5/2; 13/5; 13/5; 27/11; 13/5; 27/10; 13/5; 11/4; 13/5; 5/2; 5/2; 13/5; 27/10
