META; english/championship/middlesbrough-v-wolves; 2018-03-18 14:18:37 GMT+2; 2018-03-30 17:30; e70300-dr003
Middlesbrough; 8/5; 8/5; 17/10; 13/8; 17/10; 8/5; 17/10; 17/10; 17/10; 8/5; 6/4; 17/10; 17/10; 8/5; 27/20
Wolves; 9/5; 13/8; 9/5; 7/4; 8/5; 15/8; 7/4; 9/5; 9/5; 17/10; 8/5; 8/5; 7/4; 17/10; 7/5
Draw; 11/5; 23/10; 21/10; 21/10; 23/10; 9/4; 2; 21/10; 21/10; 21/10; 28/13; 9/4; 11/5; 21/10; 13/10
META; english/championship/middlesbrough-v-wolves; 2018-03-19 08:16:51 GMT+2; 2018-03-30 17:30; e70300-dr003
Middlesbrough; 13/8; 13/8; 33/20; 7/4; 17/10; 13/8; 17/10; 33/20; 13/8; 17/10; 17/10; 7/4; 8/5; 28/17; 8/5; 6/4; 17/10; 17/10; 33/20; 17/10; 6/4
Wolves; 7/4; 17/10; 7/4; 15/8; 9/5; 7/4; 8/5; 7/4; 7/4; 7/4; 7/4; 7/4; 7/4; 28/17; 7/4; 8/5; 8/5; 7/4; 7/4; 17/10; 13/8
Draw; 21/10; 11/5; 2; 56/25; 21/10; 21/10; 23/10; 2; 21/10; 2; 11/5; 21/10; 2; 21/10; 21/10; 28/13; 9/4; 11/5; 21/10; 21/10; 19/10
META; english/championship/middlesbrough-v-wolves; 2018-03-20 08:17:43 GMT+2; 2018-03-30 17:30; e70300-dr003
Wolves; 13/8; 13/8; 33/20; 13/8; 173/100; 6/4; 13/8; 7/5; 8/5; 33/20; 13/8; 13/8; 7/4; 7/4; 8/5; 28/17; 7/4; 23/15; 8/5; 17/10; 33/20; 17/10; 13/8
Middlesbrough; 7/4; 7/4; 7/4; 9/5; 189/100; 2; 7/4; 15/8; 17/10; 7/4; 7/4; 17/10; 17/10; 7/4; 17/10; 28/17; 8/5; 11/7; 17/10; 7/4; 7/4; 17/10; 13/8
Draw; 21/10; 11/5; 2; 21/10; 9/4; 9/4; 21/10; 21/10; 23/10; 2; 21/10; 11/5; 11/5; 21/10; 21/10; 21/10; 21/10; 28/13; 9/4; 11/5; 21/10; 21/10; 21/10
META; english/championship/middlesbrough-v-wolves; 2018-03-21 14:18:39 GMT+2; 2018-03-30 17:30; e70300-dr003
Wolves; 13/8; 13/8; 33/20; 13/8; 173/00; 6/4; 13/8; 7/5; 8/5; 33/20; 13/8; 13/8; 7/4; 8/5; 8/5; 17/10; 23/15; 8/5; 17/10; 33/20; 28/17; 23/20; 6/4
Middlesbrough; 7/4; 7/4; 7/4; 9/5; 189/00; 2; 9/5; 15/8; 17/10; 7/4; 7/4; 17/10; 7/4; 17/10; 17/10; 7/4; 11/7; 17/10; 7/4; 7/4; 7/4; 17/10; 13/8
Draw; 21/10; 11/5; 2; 21/10; 9/4; 9/4; 21/10; 21/10; 23/10; 2; 21/10; 11/5; 21/10; 21/10; 39/19; 37/19; 28/13; 9/4; 11/5; 21/10; 21/10; 21/10; 19/10
META; english/championship/middlesbrough-v-wolves; 2018-03-22 12:37:33 GMT+2; 2018-03-30 17:30; e70300-dr003
Wolves; 13/8; 13/8; 33/20; 13/8; 173/100; 6/4; 13/8; 7/5; 8/5; 33/20; 13/8; 13/8; 17/10; 8/5; 8/5; 17/10; 23/15; 8/5; 17/10; 33/20; 8/5; 23/20; 6/4
Middlesbrough; 7/4; 7/4; 7/4; 9/5; 189/100; 2; 9/5; 15/8; 17/10; 7/4; 9/5; 17/10; 9/5; 17/10; 7/4; 7/4; 11/7; 17/10; 7/4; 7/4; 7/4; 17/10; 13/8
Draw; 21/10; 11/5; 2; 21/10; 9/4; 9/4; 21/10; 21/10; 23/10; 2; 21/10; 11/5; 21/10; 21/10; 39/19; 37/19; 28/13; 9/4; 11/5; 21/10; 21/10; 21/10; 19/10
META; english/championship/middlesbrough-v-wolves; 2018-03-23 14:44:16 GMT+2; 2018-03-30 17:30; e70300-dr003
Wolves; 13/8; 13/8; 13/8; 171/00; 6/4; 13/8; 7/5; 8/5; 33/20; 13/8; 13/8; 17/10; 8/5; 8/5; 8/5; 17/10; 23/15; 8/5; 13/8; 33/20; 8/5; 6/4; 6/4
Middlesbrough; 7/4; 7/4; 9/5; 48/25; 2; 9/5; 15/8; 17/10; 7/4; 9/5; 17/10; 9/5; 17/10; 7/4; 7/4; 7/4; 11/7; 17/10; 9/5; 7/4; 7/4; 7/4; 13/8
Draw; 21/10; 11/5; 21/10; 56/25; 9/4; 21/10; 21/10; 23/10; 2; 21/10; 11/5; 21/10; 21/10; 21/10; 39/19; 37/19; 28/13; 9/4; 11/5; 21/10; 21/10; 21/10; 19/10
META; english/championship/middlesbrough-v-wolves; 2018-03-26 12:17:49 GMT+3; 2018-03-30 17:30; e70300-dr003
Wolves; 13/8; 13/8; 13/8; 173/100; 6/4; 13/8; 7/5; 8/5; 17/10; 13/8; 17/10; 17/10; 17/10; 8/5; 8/5; 28/17; 8/5; 23/15; 8/5; 17/10; 33/20; 28/17; 6/4; 13/8; 17/10
Middlesbrough; 7/4; 7/4; 9/5; 189/100; 2; 9/5; 15/8; 17/10; 9/5; 9/5; 9/5; 7/4; 9/5; 17/10; 7/4; 9/5; 24/13; 11/7; 17/10; 9/5; 7/4; 9/5; 15/8; 15/8; 9/5
Draw; 21/10; 21/10; 21/10; 9/4; 9/4; 21/10; 21/10; 23/10; 21/10; 21/10; 2; 21/10; 41/20; 21/10; 2; 28/13; 37/19; 28/13; 9/4; 85/40; 21/10; 28/13; 21/10; 11/5; 11/5
META; english/championship/middlesbrough-v-wolves; 2018-03-27 08:17:35 GMT+3; 2018-03-30 17:30; e70300-dr003
d; 13/8; 13/8; 33/20; 13/8; 173/100; 6/4; 13/8; 7/5; 8/5; 33/20; 13/8; 17/10; 9/5; 17/10; 8/5; 8/5; 28/17; 8/5; 48/29; 8/5; 17/10; 33/20; 28/17; 13/8; 6/4; 13/8; 13/8
Middlesbrough; 7/4; 7/4; 9/5; 9/5; 189/100; 2; 9/5; 15/8; 17/10; 9/5; 9/5; 9/5; 17/10; 9/5; 17/10; 7/4; 9/5; 24/13; 9/5; 17/10; 9/5; 7/4; 9/5; 15/8; 13/8; 15/8; 19/10
Draw; 21/10; 21/10; 2; 21/10; 9/4; 9/4; 21/10; 21/10; 23/10; 21/10; 21/10; 2; 41/20; 21/10; 2; 21/10; 37/19; 28/13; 9/4; 85/40; 21/10; 28/13; 21/10; 19/10; 11/5; 11/5; 
META; english/championship/middlesbrough-v-wolves; 2018-03-28 08:18:21 GMT+3; 2018-03-30 17:30; e70300-dr003
d; 13/8; 13/8; 33/20; 13/8; 181/100; 6/4; 17/10; 7/5; 28/17; 17/10; 17/10; 17/10; 9/5; 17/10; 8/5; 8/5; 17/10; 8/5; 17/10; 28/17; 17/10; 33/20; 7/4; 13/8; 7/4; 7/4
Middlesbrough; 7/4; 9/5; 7/4; 9/5; 46/25; 2; 7/4; 15/8; 17/10; 9/5; 9/5; 9/5; 17/10; 9/5; 17/10; 7/4; 7/4; 24/13; 7/4; 17/10; 9/5; 7/4; 9/5; 7/4; 9/5; 9/5
Draw; 21/10; 21/10; 2; 21/10; 11/5; 9/4; 21/10; 21/10; 11/5; 2; 2; 41/20; 21/10; 2; 21/10; 37/19; 28/13; 11/5; 85/40; 21/10; 21/10; 21/10; 11/5; 11/5; ; 
META; english/championship/middlesbrough-v-wolves; 2018-03-29 08:18:03 GMT+3; 2018-03-30 17:30; e70300-dr003
d; 13/8; 6/4; 31/20; 13/8; 33/20; 6/4; 8/5; 7/5; 17/10; 8/5; 8/5; 8/5; 9/5; 13/8; 6/4; 6/4; 8/5; 8/5; 17/11; 28/17; 13/8; 8/5; 8/5; 13/8; 8/5; 13/8; 17/10
Middlesbrough; 2; 9/5; 19/10; 15/8; 101/50; 2; 15/8; 15/8; 7/4; 19/10; 15/8; 15/8; 17/10; 19/10; 15/8; 15/8; 19/10; 24/13; 31/16; 17/10; 2; 39/20; 37/19; 15/8; 19/10; 19/10; 19/10
Draw; 11/5; 11/5; 2; 11/5; 23/10; 21/10; 11/5; 28/13; 2; 21/10; 2; 41/20; 2; 21/10; 37/19; 28/13; 21/10; 11/5; 21/10; 21/10; 2; 21/10; 21/10; ; ; ; 
META; english/championship/middlesbrough-v-wolves; 2018-03-29 09:14:35 GMT+3; 2018-03-30 17:30; e70300-dr003
d; 13/8; 6/4; 31/20; 13/8; 33/20; 6/4; 8/5; 7/5; 17/10; 8/5; 8/5; 8/5; 9/5; 13/8; 6/4; 6/4; 8/5; 8/5; 17/11; 28/17; 13/8; 8/5; 8/5; 13/8; 13/8; 13/8; 13/8
Middlesbrough; 2; 9/5; 19/10; 15/8; 101/50; 2; 15/8; 15/8; 7/4; 19/10; 15/8; 19/10; 17/10; 19/10; 15/8; 15/8; 19/10; 24/13; 31/16; 17/10; 2; 39/20; 37/19; 15/8; 19/10; 19/10; 19/10
Draw; 11/5; 11/5; 2; 11/5; 23/10; 21/10; 11/5; 28/13; 2; 2; 41/20; 2; 21/10; 37/19; 28/13; 21/10; 11/5; 21/10; 21/10; 2; 21/10; 21/10; ; ; ; ; 
META; english/championship/middlesbrough-v-wolves; 2018-03-29 15:18:02 GMT+3; 2018-03-30 17:30; e70300-dr003
d; 13/8; 6/4; 31/20; 13/8; 33/20; 13/8; 8/5; 8/5; 17/11; 31/20; 13/8; 31/20; 9/5; 8/5; 6/4; 6/4; 8/5; 8/5; 17/11; 6/4; 13/8; 8/5; 8/5; 8/5; 13/8; 13/8; 13/8
Middlesbrough; 2; 19/10; 15/8; 101/50; 19/10; 19/10; 15/8; 37/19; 19/10; 15/8; 19/10; 17/10; 39/20; 15/8; 15/8; 37/19; 24/13; 2; 19/10; 2; 39/20; 37/19; 19/10; 2; 19/10; 2; 
Draw; 11/5; 21/10; 2; 11/5; 21/10; 21/10; 2; 28/13; 2; 11/5; 21/10; 2; 41/20; 2; 21/10; 37/19; 21/10; 21/10; 11/5; 21/10; 21/10; 2; 21/10; 21/10; ; ; 
