META; english/championship/ipswich-v-leeds; 2017-12-31 12:16:32 GMT+2; 2018-01-13 15:00; e70300-dr003
Ipswich; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/ipswich-v-leeds; 2018-01-07 12:16:18 GMT+2; 2018-01-13 15:00; e70300-dr003
Leeds; 11/8; 7/5; 7/5; 13/10; 37/25; 6/4; 7/5; 7/5; 10/7; 11/8; 7/5; 7/5; ; 7/5; 11/8; 11/8; 7/5; 23/17; 7/5; 7/5; 7/5; ; 11/8; 7/5; 23/17; ; 7/5; 6/5; 
Ipswich; 2; 2; 21/10; 11/5; 11/5; 2; 2; 2; 39/19; 2; 15/8; 21/10; ; 21/10; 21/10; 2; 19/10; 2; 19/10; 45/23; 2; ; 21/10; 2; 39/19; ; 19/10; 15/8; 
Draw; 9/4; 11/5; 21/10; 11/5; 57/25; 11/5; 11/5; 21/10; 11/5; 21/10; 9/4; 21/10; ; 43/20; 9/4; 11/5; 11/5; 21/10; 11/5; 12/5; 28/13; ; 9/4; 11/5; 28/13; ; 21/10; 2; 
META; english/championship/ipswich-v-leeds; 2018-01-10 12:22:32 GMT+2; ; e70300-dr003
Leeds; 11/8; 6/4; 16/11; 7/5; 13/8; 6/4; 6/4; 7/5; 10/7; 29/20; 7/5; 29/20; ; 29/20; 7/5; 7/5; 7/5; 16/11; 7/5; 19/13; 7/5; ; 29/20; 29/20; 16/11; ; ; 7/5; 6/4
Ipswich; 2; 15/8; 2; 2; 2; 2; 2; 2; 39/19; 2; 19/10; 2; ; 41/20; 21/10; 2; 19/10; 2; 19/10; 133/67; 2; ; 2; 2; 2; ; ; 19/10; 2
Draw; 9/4; 9/4; 21/10; 11/5; 113/50; 11/5; 11/5; 21/10; 11/5; 21/10; 11/5; 21/10; ; 43/20; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 28/13; ; 9/4; 21/10; 11/5; ; ; 11/5; 11/5
META; english/championship/ipswich-v-leeds; 2018-01-10 13:43:50 GMT+2; 2018-01-13 15:00; e70300-dr003
Leeds; 11/8; 6/4; 16/11; 7/5; 13/8; 6/4; 6/4; 7/5; 10/7; 29/20; 29/20; 29/20; ; 29/20; 7/5; 7/5; 7/5; 16/11; 7/5; 19/13; 7/5; ; 29/20; 29/20; 16/11; ; 7/5; 6/4
Ipswich; 2; 15/8; 2; 2; 2; 2; 2; 2; 39/19; 2; 19/10; 2; ; 41/20; 21/10; 2; 19/10; 2; 19/10; 133/ 67; 2; ; 2; 2; 2; ; 19/10; 2
Draw; 9/4; 9/4; 21/10; 11/5; 113/ 50; 11/5; 11/5; 21/10; 11/5; 21/10; 21/10; 21/10; ; 43/20; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 28/13; ; 9/4; 21/10; 11/5; ; 2; 11/5
