META; english/championship/birmingham-v-reading; 2017-08-25 20:17:47 GMT+3; 2017-08-26 15:00; e70300-dr003
Birmingham; 23/20; 11/10; 23/20; 6/5; 23/20; 23/20; 23/20; 11/10; 8/7; 11/10; 23/20; 11/10; 23/20; 6/5; 23/20; 6/5; 11/10; 10/9; 15/13; 59/50; 9/8; 19/17; 11/10; 11/10; 11/10; ; 10/9; 23/20; 23/20
Draw; 12/5; 23/10; 11/5; 23/10; 12/5; 23/10; 12/5; 23/10; 11/5; 11/5; 11/5; 11/5; 23/10; 12/5; 9/4; 12/5; 9/4; 21/10; 9/4; 47/20; 40/17; 28/13; 11/5; 23/10; 11/5; ; 9/4; 11/5; 23/10
Reading; 27/10; 13/5; 13/5; 23/10; 13/5; 13/5; 27/10; 13/5; 27/10; 13/5; 13/5; 13/5; 5/2; 11/4; 13/5; 13/5; 5/2; 13/5; 5/2; 14/5; 28/11; 45/17; 11/4; 13/5; 5/2; ; 5/2; 23/10; 14/5
