META; english/championship/sheffield-wednesday-v-bristol-city; 2017-11-17 16:10:21 GMT+2; 2017-11-18 15:00; e70300-dr003
Sheffield Wednesday; 23/20; 11/10; 11/10; 23/20; 117/100; 11/10; 11/10; 1; 11/10; 11/10; 11/10; 11/10; 13/10; 23/20; 21/20; 11/10; 15/13; 15/13; 6/5; 22/19; 15/14; 11/10; 23/20; 11/10; 15/13; ; 10/9; 10/9; 23/20
Draw; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 49/20; 5/2; 5/2; 12/5; 27/11; 127/50; 28/11; 12/5; 5/2; 5/2; 51/20; 27/11; ; 12/5; 23/10; 5/2
Bristol City; 13/5; 12/5; 23/10; 23/10; 23/10; 13/5; 12/5; 5/2; 5/2; 12/5; 13/5; 12/5; 2; 47/20; 13/5; 5/2; 11/5; 12/5; 63/25; 23/10; 27/11; 5/2; 5/2; 5/2; 12/5; ; 5/2; 12/5; 5/2
