META; english/championship/nottingham-forest-v-aston-villa; 2017-12-31 12:16:40 GMT+2; 2018-01-13 17:30; e70300-dr003
Aston Villa; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Nottingham Forest; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/nottingham-forest-v-aston-villa; 2018-01-07 12:16:25 GMT+2; 2018-01-13 17:30; e70300-dr003
Aston Villa; 7/5; 7/5; 16/11; 6/4; 31/20; 6/4; 6/4; 6/4; 6/4; 29/20; 7/5; 6/4; ; 6/4; 6/4; 7/5; 6/4; 7/5; 6/4; 13/9; 16/11; ; 7/5; 29/20; 7/5; ; 5/4; 13/10; 
Nottingham Forest; 19/10; 19/10; 2; 15/8; 52/25; 19/10; 19/10; 15/8; 2; 19/10; 7/4; 19/10; ; 2; 19/10; 19/10; 7/4; 19/10; 7/4; 24/13; 37/19; ; 2; 39/20; 37/19; ; 9/5; 7/4; 
Draw; 23/10; 23/10; 21/10; 11/5; 23/10; 9/4; 11/5; 11/5; 9/4; 21/10; 9/4; 11/5; ; 43/20; 9/4; 9/4; 9/4; 28/13; 9/4; 27/11; 28/13; ; 23/10; 11/5; 28/13; ; 21/10; 2; 
META; english/championship/nottingham-forest-v-aston-villa; 2018-01-10 12:22:40 GMT+2; ; e70300-dr003
Aston Villa; 6/4; 6/4; 6/4; 7/5; 157/100; 6/4; 6/4; 6/4; 6/4; 6/4; 29/20; 29/20; ; 31/20; 6/4; 7/5; 6/4; 6/4; 6/4; 22/15; 16/11; ; 6/4; 6/4; 6/4; ; 7/5; 7/5; 6/4
Nottingham Forest; 9/5; 9/5; 19/10; 2; 21/10; 19/10; 19/10; 15/8; 2; 19/10; 15/8; 2; ; 19/10; 19/10; 19/10; 7/4; 37/19; 7/4; 2; 37/19; ; 15/8; 15/8; 37/19; ; 9/5; 13/8; 2
Draw; 9/4; 23/10; 21/10; 11/5; 9/4; 9/4; 11/5; 11/5; 9/4; 21/10; 23/10; 11/5; ; 43/20; 9/4; 11/5; 9/4; 28/13; 9/4; 11/5; 28/13; ; 23/10; 11/5; 11/5; ; 11/5; 2; 11/5
META; english/championship/nottingham-forest-v-aston-villa; 2018-01-10 13:43:57 GMT+2; 2018-01-13 17:30; e70300-dr003
Aston Villa; 6/4; 6/4; 6/4; 7/5; 157/ 100; 6/4; 6/4; 6/4; 6/4; 6/4; 29/20; 29/20; ; 31/20; 6/4; 7/5; 6/4; 6/4; 6/4; 22/15; 16/11; ; 6/4; 6/4; 6/4; 7/5; 7/5; 6/4
Nottingham Forest; 9/5; 9/5; 19/10; 2; 21/10; 19/10; 19/10; 15/8; 2; 19/10; 15/8; 2; ; 19/10; 19/10; 19/10; 7/4; 37/19; 7/4; 2; 37/19; ; 15/8; 15/8; 37/19; 9/5; 9/5; 2
Draw; 9/4; 23/10; 21/10; 11/5; 9/4; 9/4; 11/5; 11/5; 9/4; 21/10; 23/10; 11/5; ; 43/20; 9/4; 11/5; 9/4; 28/13; 9/4; 11/5; 28/13; ; 23/10; 11/5; 11/5; 11/5; 2; 11/5
