META; english/championship/brentford-v-sheffield-utd; 2018-03-18 14:18:22 GMT+2; 2018-03-30 15:00; e70300-dr003
Brentford; 11/10; 11/10; 11/10; 1; 23/20; 11/10; 11/10; 23/20; 21/20; 12/11; 1; 23/20; 11/10; 8/11; 
Draw; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; 12/5; 49/20; 12/5; 40/17; 12/5; 27/11; 12/5; 12/5; 19/10
Sheffield Utd; 12/5; 12/5; 5/2; 12/5; 13/5; 13/5; 5/2; 49/20; 12/5; 40/17; 39/19; 28/11; 5/2; 12/5; 7/4
META; english/championship/brentford-v-sheffield-utd; 2018-03-19 08:16:37 GMT+2; 2018-03-30 15:00; e70300-dr003
Brentford; 11/10; 11/10; 11/10; 57/50; 11/10; 1; 11/10; 11/10; 11/10; 23/20; 11/10; 11/10; 21/20; 11/10; 12/11; 1; 11/10; 11/10; 21/20; 20/21; 
Draw; 12/5; 13/5; 5/2; 51/20; 13/5; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 23/10; 12/5; 23/10; 12/5; 27/11; 13/5; 51/20; 12/5; 9/4
Sheffield Utd; 12/5; 23/10; 23/10; 67/25; 5/2; 12/5; 13/5; 23/10; 12/5; 12/5; 23/10; 47/20; 23/10; 40/17; 12/5; 39/19; 28/11; 12/5; 12/5; 12/5; 11/5
META; english/championship/brentford-v-sheffield-utd; 2018-03-20 08:17:20 GMT+2; 2018-03-30 15:00; e70300-dr003
Brentford; 11/10; 11/10; 11/10; 23/20; 28/25; 6/5; 11/10; 11/10; 1; 11/10; 11/10; 11/10; 23/20; 11/10; 11/10; 21/20; 11/10; 21/20; 1; 11/10; 11/10; 21/20; 21/20
Draw; 12/5; 13/5; 5/2; 5/2; 131/50; 12/5; 12/5; 23/10; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 23/10; 12/5; 23/10; 27/11; 27/11; 13/5; 51/20; 12/5; 2
Sheffield Utd; 12/5; 23/10; 23/10; 9/4; 133/50; 12/5; 12/5; 23/10; 13/5; 23/10; 23/10; 12/5; 23/10; 47/20; 23/10; 27/11; 12/5; 21/10; 28/11; 12/5; 12/5; 27/11; 21/10
META; english/championship/brentford-v-sheffield-utd; 2018-03-21 14:18:23 GMT+2; 2018-03-30 15:00; e70300-dr003
Brentford; 11/10; 11/10; 11/10; 23/20; 28/25; 6/5; 11/10; 11/10; 1; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 1; 11/10; 11/10; 21/20; 21/20; 21/20
Draw; 12/5; 13/5; 5/2; 5/2; 131/0; 12/5; 12/5; 23/10; 5/2; 12/5; 5/2; 5/2; 5/2; 23/10; 12/5; 23/10; 27/11; 27/11; 13/5; 51/20; 12/5; 21/10; 11/5
