META; english/championship/barnsley-v-bristol-city; 2018-03-18 14:18:19 GMT+2; 2018-03-30 15:00; e70300-dr003
Bristol City; 21/20; 13/10; 23/20; 11/10; 6/5; 6/5; 11/10; 6/5; 6/5; 11/10; 10/9; 6/5; 11/10; 15/13; 5/6
Draw; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 11/5; 23/10; 23/10; 9/4; 23/10; 40/17; 12/5; 23/10; 9/5
Barnsley; 13/5; 2; 5/2; 12/5; 11/5; 12/5; 13/5; 49/20; 12/5; 40/17; 21/10; 11/5; 13/5; 40/17; 17/10
META; english/championship/barnsley-v-bristol-city; 2018-03-19 08:16:34 GMT+2; 2018-03-30 15:00; e70300-dr003
Bristol City; 5/4; 5/4; 5/4; 13/10; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 5/4; 6/5; 17/14; 6/5; 5/4; 5/4; 5/4; 23/20
Draw; 9/4; 23/10; 21/10; 121/50; 23/10; 9/4; 12/5; 21/10; 9/4; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 40/17; 23/10; 9/4; 9/4; 2
Barnsley; 11/5; 9/4; 9/4; 121/50; 23/10; 9/4; 11/5; 11/5; 11/5; 9/4; 21/10; 23/10; 23/10; 28/13; 11/5; 23/12; 11/5; 23/10; 11/5; 28/13; 21/10
META; english/championship/barnsley-v-bristol-city; 2018-03-20 08:17:17 GMT+2; 2018-03-30 15:00; e70300-dr003
Bristol City; 5/4; 13/10; 27/20; 5/4; 11/8; 5/4; 13/10; 6/5; 6/5; 27/20; 5/4; 13/10; 13/10; 27/20; 13/10; 6/5; 6/5; 24/19; 6/5; 13/10; 5/4; 5/4; 6/5
Draw; 9/4; 23/10; 21/10; 9/4; 119/50; 23/10; 9/4; 11/5; 12/5; 21/10; 11/5; 21/10; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 40/17; 23/10; 9/4; 9/4; 2
Barnsley; 11/5; 21/10; 21/10; 9/4; 23/10; 12/5; 11/5; 23/10; 11/5; 21/10; 11/5; 9/4; 21/10; 21/10; 23/10; 11/5; 11/5; 35/19; 11/5; 11/5; 11/5; 28/13; 21/10
META; english/championship/barnsley-v-bristol-city; 2018-03-22 12:37:15 GMT+2; 2018-03-30 15:00; e70300-dr003
Bristol City; 5/4; 5/4; 27/20; 5/4; 11/8; 5/4; 13/10; 6/5; 6/5; 27/20; 13/10; 13/10; 27/20; 13/10; 5/4; 6/5; 24/19; 6/5; 13/10; 5/4; 13/10; 13/10; 13/10
Draw; 9/4; 11/5; 21/10; 9/4; 119/50; 23/10; 9/4; 11/5; 12/5; 21/10; 11/5; 21/10; 9/4; 12/5; 11/5; 23/10; 9/4; 40/17; 23/10; 9/4; 11/5; 2; 
Barnsley; 11/5; 23/10; 21/10; 9/4; 23/10; 12/5; 11/5; 23/10; 11/5; 21/10; 21/10; 9/4; 21/10; 23/10; 21/10; 11/5; 24/13; 11/5; 85/40; 11/5; 21/10; 21/10; 9/5
META; english/championship/barnsley-v-bristol-city; 2018-03-23 14:43:57 GMT+2; 2018-03-30 15:00; e70300-dr003
Bristol City; 5/4; 13/10; 5/4; 7/5; 5/4; 13/10; 6/5; 6/5; 27/20; 13/10; 13/10; 27/20; 13/10; 13/10; 13/10; 6/5; 24/19; 6/5; 13/10; 13/10; 13/10; 23/20; 13/10
Barnsley; 11/5; 21/10; 9/4; 9/4; 12/5; 21/10; 23/10; 11/5; 2; 21/10; 21/10; 21/10; 23/10; 21/10; 39/19; 11/5; 24/13; 11/5; 85/40; 21/10; 21/10; 21/10; 9/5
Draw; 9/4; 23/10; 9/4; 119/0; 23/10; 9/4; 11/5; 12/5; 21/10; 11/5; 9/4; 9/4; 12/5; 11/5; 11/5; 23/10; 9/4; 40/17; 23/10; 9/4; 11/5; 21/10; 2
META; english/championship/barnsley-v-bristol-city; 2018-03-26 12:17:30 GMT+3; 2018-03-30 15:00; e70300-dr003
Bristol City; 5/4; 5/4; 11/8; 5/4; 143/100; 5/4; 11/8; 6/5; 6/5; 11/8; 13/10; 11/8; 11/8; 11/8; 7/5; 13/10; 23/17; 5/4; 24/19; 6/5; 11/8; 27/20; 23/17; 5/4; 7/5; 7/5
Barnsley; 11/5; 11/5; 2; 9/4; 11/5; 12/5; 23/10; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; 24/13; 11/5; 21/10; 21/10; 28/13; 21/10; 21/10; 11/5; 
Draw; 9/4; 9/4; 11/5; 9/4; 23/10; 9/4; 11/5; 12/5; 11/5; 11/5; 11/5; 23/10; 11/5; 12/5; 11/5; 23/10; 9/4; 9/4; 40/17; 23/10; 9/4; 23/10; 11/5; 23/10; 23/10; 
META; english/championship/barnsley-v-bristol-city; 2018-03-27 08:17:17 GMT+3; 2018-03-30 15:00; e70300-dr003
Bristol City; 5/4; 11/8; 27/20; 11/8; 11/8; 5/4; 13/10; 6/5; 5/4; 27/20; 13/10; 13/10; 6/5; 27/20; 11/8; 13/10; 13/10; 5/4; 7/5; 5/4; 11/8; 27/20; 13/10; 13/10; 6/5; 27/20; 27/20
Barnsley; 11/5; 2; 2; 109/50; 12/5; 21/10; 23/10; 21/10; 21/10; 21/10; 2; 9/4; 21/10; 21/10; 2; 21/10; 21/10; 39/19; 21/10; 21/10; 21/10; 21/10; 2; 19/10; 21/10; 21/10; 
Draw; 9/4; 23/10; 9/4; 9/4; 5/2; 23/10; 23/10; 11/5; 12/5; 9/4; 9/4; 23/10; 12/5; 23/10; 5/2; 9/4; 40/17; 9/4; 9/4; 40/17; 23/10; 9/4; 40/17; 9/4; 21/10; 12/5; 12/5
META; english/championship/barnsley-v-bristol-city; 2018-03-28 08:18:03 GMT+3; 2018-03-30 15:00; e70300-dr003
Bristol City; 13/10; 11/8; 27/20; 11/8; 71/50; 5/4; 11/8; 6/5; 5/4; 27/20; 13/10; 13/10; 6/5; 7/5; 11/8; 13/10; 23/17; 5/4; 11/8; 5/4; 11/8; 27/20; 23/17; 13/10; 7/5; 7/5
Barnsley; 21/10; 2; 2; 21/10; 12/5; 2; 23/10; 21/10; 2; 21/10; 2; 9/4; 41/20; 21/10; 2; 21/10; 2; 21/10; 21/10; 2; 39/19; 2; 2; ; ; 
Draw; 9/4; 23/10; 9/4; 9/4; 63/25; 23/10; 23/10; 11/5; 12/5; 9/4; 11/5; 23/10; 12/5; 23/10; 5/2; 9/4; 40/17; 9/4; 40/17; 40/17; 23/10; 23/10; 40/17; 9/4; 12/5; 12/5
META; english/championship/barnsley-v-bristol-city; 2018-03-29 08:17:44 GMT+3; 2018-03-30 15:00; e70300-dr003
Bristol City; 7/5; 11/8; 27/20; 11/8; 29/20; 7/5; 11/8; 13/10; 23/17; 11/8; 11/8; 11/8; 6/5; 7/5; 11/8; 13/10; 7/5; 5/4; 11/8; 4/3; 29/20; 27/20; 7/5; 11/8; 7/5; 7/5
Barnsley; 11/5; 2; 2; 11/5; 11/5; 2; 21/10; 2; 2; 9/4; 2; 21/10; 2; 21/10; 39/19; 37/19; 21/10; 2; 2; 19/10; 2; ; ; ; ; 
Draw; 12/5; 23/10; 9/4; 9/4; 62/25; 23/10; 23/10; 11/5; 12/5; 9/4; 9/4; 9/4; 12/5; 23/10; 5/2; 9/4; 40/17; 9/4; 40/17; 40/17; 12/5; 23/10; 23/10; 11/5; 12/5; 12/5
META; english/championship/barnsley-v-bristol-city; 2018-03-29 09:14:18 GMT+3; 2018-03-30 15:00; e70300-dr003
Bristol City; 7/5; 11/8; 27/20; 11/8; 29/20; 7/5; 11/8; 13/10; 23/17; 11/8; 11/8; 11/8; 6/5; 7/5; 11/8; 13/10; 7/5; 5/4; 11/8; 4/3; 29/20; 27/20; 7/5; 11/8; 7/5; 7/5
Barnsley; 11/5; 2; 2; 11/5; 11/5; 2; 21/10; 2; 2; 9/4; 2; 21/10; 2; 21/10; 39/19; 37/19; 21/10; 2; 2; 19/10; 2; ; ; ; ; 
Draw; 12/5; 23/10; 9/4; 9/4; 62/25; 23/10; 23/10; 11/5; 12/5; 9/4; 9/4; 23/10; 12/5; 23/10; 5/2; 9/4; 40/17; 9/4; 40/17; 40/17; 12/5; 23/10; 23/10; 11/5; 12/5; 12/5
META; english/championship/barnsley-v-bristol-city; 2018-03-29 15:17:43 GMT+3; 2018-03-30 15:00; e70300-dr003
