META; english/championship/nottingham-forest-v-preston; 2018-01-22 12:16:22 GMT+2; 2018-01-30 19:45; e70300-dr003
Nottingham Forest; 8/5; 6/4; 8/5; ; ; ; ; 8/5; 8/5; 31/20; ; 31/20; ; 8/5; 8/5; 8/5; 17/11; 17/11; 17/11; 10/7; 17/11; 13/8; 31/20; 13/8; 17/11; ; 7/5; 
Preston; 7/4; 9/5; 9/5; ; ; ; ; 9/5; 24/13; 9/5; ; 9/5; ; 37/20; 9/5; 9/5; 24/13; 7/4; 24/13; 28/17; 9/5; 9/5; 15/8; 9/5; 9/5; ; 13/8; 
Draw; 11/5; 11/5; 21/10; ; ; ; ; 21/10; 11/5; 21/10; ; 11/5; ; 43/20; 11/5; 9/4; 21/10; 21/10; 21/10; 11/5; 28/13; 11/5; 11/5; 21/10; 21/10; ; 19/10; 
META; english/championship/nottingham-forest-v-preston; 2018-01-23 02:15:52 GMT+2; 2018-01-30 19:45; e70300-dr003
Nottingham Forest; 8/5; 6/4; 8/5; 6/4; 171/ 100; ; ; 8/5; 8/5; 8/5; 8/5; 31/20; ; 13/8; 8/5; 8/5; 17/11; 17/11; 17/11; 10/7; 17/11; 13/8; 8/5; 13/8; 8/5; 11/8; 7/5; 
Preston; 7/4; 15/8; 9/5; 15/8; 48/25; ; ; 9/5; 24/13; 9/5; 15/8; 9/5; ; 37/20; 9/5; 9/5; 24/13; 7/4; 24/13; 28/17; 9/5; 9/5; 9/5; 9/5; 9/5; 6/4; 13/8; 
Draw; 11/5; 11/5; 21/10; 11/5; 56/25; ; ; 21/10; 11/5; 21/10; 21/10; 11/5; ; 43/20; 11/5; 11/5; 21/10; 21/10; 21/10; 11/5; 28/13; 11/5; 11/5; 21/10; 21/10; 9/5; 19/10; 
META; english/championship/nottingham-forest-v-preston; 2018-01-23 17:22:27 GMT+2; 2018-01-30 19:45; e70300-dr003
Nottingham Forest; 31/20; 6/4; 8/5; 6/4; 42/25; ; ; 8/5; 8/5; 31/20; 8/5; 31/20; ; 13/8; 8/5; 6/4; 17/11; 17/11; 17/11; 10/7; 17/11; 13/8; 8/5; 13/8; 17/11; 10/9; 7/5; 
Preston; 9/5; 7/4; 9/5; 15/8; 39/20; ; ; 9/5; 24/13; 9/5; 9/5; 9/5; ; 37/20; 9/5; 15/8; 24/13; 9/5; 24/13; 28/17; 9/5; 9/5; 9/5; 9/5; 9/5; 13/10; 13/8; 
Draw; 11/5; 21/10; 21/10; 11/5; 56/25; ; ; 21/10; 11/5; 21/10; 11/5; 11/5; ; 43/20; 11/5; 21/10; 21/10; 21/10; 21/10; 11/5; 28/13; 11/5; 11/5; 21/10; 21/10; 19/10; 19/10; 
META; english/championship/nottingham-forest-v-preston; 2018-01-24 12:17:56 GMT+2; 2018-01-30 19:45; e70300-dr003
Nottingham Forest; 31/20; 6/4; 8/5; 6/4; 167/ 100; ; ; ; 8/5; 31/20; 8/5; 8/5; ; 13/8; 8/5; 6/4; 17/11; 17/11; 17/11; 10/7; 17/11; 13/8; 8/5; 13/8; 17/11; ; 10/9; 7/5; 
Preston; 9/5; 7/4; 9/5; 15/8; 193/ 100; ; ; ; 24/13; 9/5; 9/5; 15/8; ; 37/20; 9/5; 15/8; 24/13; 9/5; 24/13; 28/17; 9/5; 9/5; 9/5; 9/5; 9/5; ; 13/10; 13/8; 
Draw; 11/5; 21/10; 21/10; 11/5; 57/25; ; ; ; 11/5; 21/10; 11/5; 21/10; ; 43/20; 11/5; 21/10; 21/10; 21/10; 21/10; 11/5; 28/13; 11/5; 11/5; 21/10; 21/10; ; 19/10; 19/10; 
META; english/championship/nottingham-forest-v-preston; 2018-01-30 12:18:44 GMT+2; 2018-01-30 19:45; e70300-dr003
Nottingham Forest; 7/4; 8/5; 17/10; 13/8; 87/50; 7/4; ; ; 8/5; 33/20; 8/5; 13/8; 17/10; 33/20; 17/10; 17/10; 17/11; ; 17/11; 8/5; 17/11; 13/8; 17/10; 17/10; 28/17; ; 17/10; 7/4; 7/4
Preston; 9/5; 9/5; 28/15; 9/5; 37/20; 15/8; ; ; 15/8; 15/8; 15/8; 9/5; 13/8; 9/5; 9/5; 9/5; 24/13; 9/5; 24/13; 9/5; 24/13; 9/5; 19/10; 9/5; 9/5; ; 9/5; 9/5; 19/10
Draw; 9/4; 21/10; 11/5; 21/10; 57/25; 11/5; ; ; 11/5; 21/10; 11/5; 2; 11/5; 21/10; 21/10; 21/10; 21/10; 28/13; 21/10; 11/5; 28/13; 85/40; 11/5; 11/5; ; ; 21/10; 21/10; 11/5
META; english/championship/nottingham-forest-v-preston; 2018-01-30 12:35:10 GMT+2; 2018-01-30 19:45; e70300-dr003
Nottingham Forest; 7/4; 8/5; 17/10; 13/8; 87/50; 7/4; ; ; 8/5; 33/20; 8/5; 13/8; 17/10; 33/20; 17/10; 17/10; 17/11; ; 17/11; 8/5; 17/11; 13/8; 17/10; 17/10; 28/17; ; 17/10; 7/4; 7/4
Preston; 9/5; 9/5; 28/15; 9/5; 37/20; 15/8; ; ; 15/8; 15/8; 15/8; 9/5; 13/8; 9/5; 9/5; 9/5; 24/13; 9/5; 24/13; 9/5; 24/13; 9/5; 19/10; 9/5; 9/5; ; 9/5; 9/5; 19/10
Draw; 9/4; 21/10; 11/5; 21/10; 57/25; 11/5; ; ; 11/5; 21/10; 11/5; 2; 11/5; 21/10; 21/10; 21/10; 21/10; 28/13; 21/10; 11/5; 28/13; 85/40; 11/5; 11/5; ; ; 21/10; 21/10; 11/5
