META; english/championship/leeds-v-derby; 2017-10-30 12:10:59 GMT+2; 2017-10-31 19:45; e70300-dr003
Leeds; 7/5; 7/5; 7/5; 7/5; 29/20; 11/8; 6/4; 13/10; 16/11; 7/5; 5/4; 11/8; 11/8; 7/5; 7/5; 11/8; 7/5; 16/11; 157/100; 39/29; 10/7; 7/5; 29/20; 27/20; 16/11; ; 7/5; 27/20; 7/5
Derby; 11/5; 2; 2; 21/10; 21/10; 21/10; 2; 21/10; 19/10; 2; 2; 2; 2; 41/20; 21/10; 2; 2; 2; 21/10; 45/23; 24/13; 85/40; 21/10; 21/10; 39/19; ; 2; 19/10; 2
Draw; 12/5; 9/4; 21/10; 21/10; 11/5; 23/10; 11/5; 23/10; 40/17; 11/5; 12/5; 23/10; 23/10; 11/5; 11/5; 11/5; 21/10; 11/5; 56/25; 23/10; 23/10; 9/4; 12/5; 11/5; 11/5; ; 11/5; 21/10; 11/5
