META; english/championship/bristol-city-v-norwich; 2017-12-31 12:16:25 GMT+2; 2018-01-13 15:00; e70300-dr003
Bristol City; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Norwich; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/bristol-city-v-norwich; 2018-01-07 12:16:10 GMT+2; 2018-01-13 15:00; e70300-dr003
Bristol City; 6/5; 6/5; 5/4; 6/5; 33/25; 13/10; 5/4; 5/4; 13/10; 5/4; 6/5; 13/10; ; 13/10; 5/4; 5/4; 5/4; 6/5; 5/4; 19/16; 5/4; ; 5/4; 5/4; 5/4; ; 23/20; 23/20; 
Norwich; 11/5; 9/4; 11/5; 23/10; 117/50; 9/4; 11/5; 11/5; 9/4; 11/5; 2; 11/5; ; 11/5; 23/10; 11/5; 11/5; 21/10; 11/5; 11/5; 28/13; ; 11/5; 11/5; 28/13; ; 6/4; 19/10; 
Draw; 12/5; 12/5; 9/4; 23/10; 49/20; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; 11/5; ; 23/10; 23/10; 23/10; 11/5; 9/4; 11/5; 5/2; 9/4; ; 12/5; 47/20; 23/10; ; 21/10; 21/10; 
META; english/championship/bristol-city-v-norwich; 2018-01-10 12:22:25 GMT+2; ; e70300-dr003
Bristol City; 5/4; 6/5; 6/5; 6/5; 32/25; 6/5; 5/4; 6/5; 13/10; 5/4; 6/5; 5/4; ; 5/4; 5/4; 5/4; 6/5; 5/4; 6/5; 5/4; 5/4; ; 5/4; 5/4; 5/4; ; 6/5; 6/5; 13/10
Norwich; 21/10; 21/10; 11/5; 23/10; 119/50; 23/10; 11/5; 23/10; 9/4; 11/5; 11/5; 21/10; ; 11/5; 23/10; 21/10; 23/10; 9/4; 23/10; 11/5; 28/13; ; 11/5; 11/5; 9/4; ; 21/10; 2; 23/10
Draw; 12/5; 12/5; 23/10; 23/10; 5/2; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; ; 47/20; 23/10; 12/5; 9/4; 40/17; 9/4; 12/5; 9/4; ; 12/5; 47/20; 12/5; ; 23/10; 23/10; 12/5
META; english/championship/bristol-city-v-norwich; 2018-01-10 13:43:42 GMT+2; 2018-01-13 15:00; e70300-dr003
Bristol City; 5/4; 6/5; 6/5; 6/5; 32/25; 6/5; 5/4; 6/5; 13/10; 5/4; 6/5; 5/4; ; 5/4; 5/4; 5/4; 6/5; 5/4; 6/5; 5/4; 5/4; ; 5/4; 5/4; 5/4; 6/5; 6/5; 13/10
Norwich; 21/10; 21/10; 11/5; 23/10; 119/ 50; 23/10; 11/5; 23/10; 9/4; 11/5; 11/5; 21/10; ; 11/5; 23/10; 21/10; 23/10; 9/4; 23/10; 11/5; 28/13; ; 11/5; 11/5; 9/4; 21/10; 21/10; 23/10
Draw; 12/5; 12/5; 23/10; 23/10; 5/2; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; ; 47/20; 23/10; 12/5; 9/4; 40/17; 9/4; 12/5; 9/4; ; 12/5; 47/20; 12/5; 23/10; 23/10; 12/5
