META; english/championship/fulham-v-nottingham-forest; 2018-01-30 12:18:56 GMT+2; 2018-02-03 15:00; e70300-dr003
Fulham; 4/6; 8/13; 7/10; 7/10; 73/ 100; 4/6; 4/6; ; 7/10; 7/10; 8/13; ; ; 7/10; 4/6; ; 4/6; 9/13; 4/6; 5/7; 7/10; 4/6; 7/10; 7/10; 9/13; ; 4/7; ; 
Draw; 14/5; 16/5; 29/10; 3; 63/20; 16/5; 3; ; 11/4; 29/10; 3; ; ; 3; 16/5; 3; 11/4; 29/10; 11/4; 56/19; 27/10; 3; 31/10; 3; 29/10; ; 14/5; ; 
Nottingham Forest; 4; 15/4; 18/5; 7/2; 79/20; 15/4; 15/4; ; 37/10; 18/5; 4; ; ; 15/4; 15/4; ; 4; 15/4; 4; 33/10; 18/5; 7/2; 18/5; 7/2; 19/5; ; 7/2; ; 
