META; english/championship/cardiff-v-ipswich; 2017-10-30 12:10:51 GMT+2; 2017-10-31 19:45; e70300-dr003
Cardiff; 3/5; 4/7; 3/5; 6/10; 8/13; ; 4/7; 8/15; 4/7; 6/10; 4/7; 4/7; 6/10; 6/10; 4/7; 4/7; 3/5; 4/7; 29/50; 7/12; 4/7; 4/7; 8/13; 11/20; 4/7; ; 4/7; 4/7; 4/7
Draw; 3; 14/5; 11/4; 11/4; 29/10; ; 14/5; 11/4; 13/4; 14/5; 3; 14/5; 14/5; 14/5; 3; 14/5; 14/5; 29/10; 61/20; 14/5; 16/5; 3; 3; 59/20; 56/19; ; 14/5; 14/5; 14/5
Ipswich; 11/2; 5; 5; 5; 5; ; 5; 11/2; 22/5; 5; 9/2; 5; 9/2; 5; 5; 5; 9/2; 21/4; 61/10; 47/10; 43/10; 21/4; 11/2; 11/2; 53/10; ; 28/5; 26/5; 26/5
