META; english/championship/cardiff-v-sunderland; 2017-12-31 12:16:15 GMT+2; 2018-01-13 12:30; e70300-dr003
Draw; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sunderland; ; 18/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/cardiff-v-sunderland; 2018-01-07 12:16:00 GMT+2; 2018-01-13 12:30; e70300-dr003
Cardiff; 4/5; 3/4; 3/4; 4/5; 79/100; 4/5; 3/4; 8/11; 3/4; 8/11; 8/11; 3/4; ; 3/4; 3/4; 4/5; 7/9; 5/7; 7/9; 5/7; 13/18; ; 8/11; 8/11; 14/19; ; 4/6; 4/6; 
Draw; 5/2; 5/2; 12/5; 12/5; 133/50; 13/5; 5/2; 5/2; 28/11; 12/5; 13/5; 5/2; ; 5/2; 11/4; 5/2; 5/2; 27/11; 5/2; 11/4; 5/2; ; 27/10; 51/20; 5/2; ; ; 12/5; 
Sunderland; 7/2; 19/5; 4; 15/4; 43/10; 15/4; 4; 7/2; 41/10; 4; 7/2; 15/4; ; 4; 15/4; 15/4; 7/2; 50/13; 7/2; 4; 41/10; ; 4; 4; 39/10; ; 3; 3; 
META; english/championship/cardiff-v-sunderland; 2018-01-10 12:22:14 GMT+2; ; e70300-dr003
Cardiff; 3/4; 3/4; 3/4; 3/4; 79/100; 3/4; 3/4; 8/11; 3/4; 3/4; 8/11; 3/4; ; 3/4; 3/4; 8/11; 7/9; 14/19; 7/9; 14/19; 13/18; ; 8/11; 8/11; 10/13; ; ; 8/11; 8/11
Draw; 5/2; 5/2; 12/5; 5/2; 133/50; 5/2; 5/2; 5/2; 28/11; 5/2; 5/2; 5/2; ; 5/2; 11/4; 5/2; 5/2; 28/11; 5/2; 11/4; 5/2; ; 27/10; 51/20; 13/5; ; ; 5/2; 13/5
Sunderland; 15/4; 4; 4; 19/5; 43/10; 4; 4; 4; 41/10; 4; 19/5; 15/4; ; 4; 15/4; 4; 7/2; 4; 7/2; 19/5; 41/10; ; 4; 4; 77/19; ; ; 7/2; 21/5
META; english/championship/cardiff-v-sunderland; 2018-01-10 13:43:31 GMT+2; 2018-01-13 12:30; e70300-dr003
Cardiff; 3/4; 3/4; 3/4; 3/4; 79/ 100; 3/4; 3/4; 8/11; 3/4; 3/4; 8/11; 3/4; ; 3/4; 3/4; 8/11; 7/9; 14/19; 7/9; 14/19; 13/18; ; 8/11; 8/11; 10/13; ; 8/11; 8/11
Draw; 5/2; 5/2; 12/5; 5/2; 133/ 50; 13/5; 5/2; 13/5; 28/11; 5/2; 5/2; 5/2; ; 5/2; 11/4; 5/2; 5/2; 28/11; 5/2; 11/4; 5/2; ; 27/10; 51/20; 13/5; ; 5/2; 13/5
Sunderland; 15/4; 4; 4; 19/5; 43/10; 4; 4; 7/2; 41/10; 4; 19/5; 15/4; ; 4; 15/4; 4; 7/2; 4; 7/2; 19/5; 41/10; ; 4; 4; 77/19; ; 7/2; 21/5
