META; english/championship/cardiff-v-preston; 2017-12-26 12:47:35 GMT+2; 2017-12-29 19:45; e70300-dr003
Cardiff; 21/20; 1; ; ; 23/20; 11/10; 11/10; 11/10; 21/20; ; 11/10; 11/10; ; 23/20; 23/20; 11/10; 1; 11/10; 1; 21/20; 21/20; 11/10; 11/10; 21/20; 11/10; ; 5/6; ; 
Draw; 12/5; 23/10; ; ; 5/2; 5/2; 23/10; 23/10; 12/5; ; 5/2; 23/10; ; 47/20; 12/5; 12/5; 23/10; 12/5; 23/10; 5/2; 40/17; 12/5; 5/2; 12/5; 27/11; ; 9/5; ; 
Preston; 13/5; 29/10; ; ; 27/10; 14/5; 5/2; 13/5; 13/5; ; 13/5; 13/5; ; 5/2; 12/5; 13/5; 27/10; 5/2; 27/10; 12/5; 28/11; 13/5; 5/2; 13/5; 5/2; ; 2; ; 
