META; english/championship/millwall-v-qpr; 2017-12-26 12:47:37 GMT+2; 2017-12-29 19:45; e70300-dr003
Millwall; 11/10; 11/10; ; ; 6/5; 5/4; 6/5; 6/5; 6/5; ; 23/20; 6/5; ; 6/5; 6/5; 11/10; 6/5; 6/5; 6/5; 8/7; 6/5; 6/5; 23/20; 23/20; 6/5; ; 10/11; ; 
Draw; 23/10; 23/10; ; ; 12/5; 12/5; 9/4; 23/10; 12/5; ; 12/5; 9/4; ; 9/4; 12/5; 12/5; 11/5; 23/10; 11/5; 12/5; 40/17; 23/10; 12/5; 23/10; 40/17; ; 7/4; ; 
QPR; 5/2; 13/5; ; ; 27/10; 5/2; 12/5; 12/5; 11/5; ; 5/2; 12/5; ; 12/5; 23/10; 5/2; 9/4; 40/17; 9/4; 11/5; 11/5; 5/2; 12/5; 49/20; 40/17; ; 9/5; ; 
