META; english/championship/hull-v-reading; 2017-12-31 12:16:30 GMT+2; 2018-01-13 15:00; e70300-dr003
Hull; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Reading; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/hull-v-reading; 2018-01-07 12:16:15 GMT+2; 2018-01-13 15:00; e70300-dr003
Hull; 1; 1; 21/20; 21/20; 27/25; 23/20; 21/20; 1; 1; 21/20; 1; 1; ; 21/20; 21/20; 1; 1; 1; 1; 42/41; 28/29; ; 1; 1; 1; ; 20/21; 20/21; 
Draw; 12/5; 12/5; 23/10; 12/5; 64/25; 5/2; 12/5; 12/5; 27/11; 23/10; 12/5; 5/2; ; 12/5; 5/2; 12/5; 23/10; 40/17; 23/10; 13/5; 12/5; ; 5/2; 12/5; 12/5; ; 9/4; 11/5; 
Reading; 11/4; 11/4; 13/5; 13/5; 143/50; 27/10; 13/5; 13/5; 37/13; 13/5; 13/5; 13/5; ; 27/10; 13/5; 13/5; 27/10; 45/17; 27/10; 28/11; 14/5; ; 27/10; 14/5; 45/17; ; 5/2; 11/5; 
META; english/championship/hull-v-reading; 2018-01-10 12:22:30 GMT+2; ; e70300-dr003
Hull; 1; 21/20; 21/20; 21/20; 28/25; 21/20; 21/20; 1; 21/20; 11/10; 1; 21/20; ; 11/10; 21/20; 21/20; 1; 21/20; 1; 24/23; 42/41; ; 21/20; 21/20; 21/20; ; 1; 21/20; 23/20
Draw; 12/5; 12/5; 23/10; 12/5; 129/50; 5/2; 12/5; 12/5; 27/11; 12/5; 12/5; 12/5; ; 12/5; 5/2; 12/5; 23/10; 27/11; 23/10; 13/5; 12/5; ; 5/2; 12/5; 27/11; ; 12/5; 23/10; 5/2
Reading; 11/4; 13/5; 5/2; 13/5; 68/25; 11/4; 5/2; 13/5; 27/10; 13/5; 13/5; 13/5; ; 13/5; 13/5; 13/5; 27/10; 13/5; 27/10; 28/11; 45/17; ; 13/5; 13/5; 45/17; ; 5/2; 5/2; 13/5
META; english/championship/hull-v-reading; 2018-01-10 13:43:47 GMT+2; 2018-01-13 15:00; e70300-dr003
Hull; 1; 21/20; 21/20; 21/20; 28/25; 21/20; 21/20; 1; 21/20; 11/10; 1; 21/20; ; 11/10; 21/20; 21/20; 1; 21/20; 1; 24/23; 42/41; ; 21/20; 21/20; 21/20; 1; 21/20; 23/20
Draw; 12/5; 12/5; 23/10; 12/5; 129/ 50; 5/2; 12/5; 12/5; 27/11; 12/5; 12/5; 12/5; ; 12/5; 5/2; 12/5; 23/10; 27/11; 23/10; 13/5; 12/5; ; 5/2; 12/5; 27/11; 12/5; 23/10; 5/2
Reading; 11/4; 13/5; 5/2; 13/5; 68/25; 11/4; 5/2; 13/5; 27/10; 13/5; 13/5; 13/5; ; 13/5; 13/5; 13/5; 27/10; 13/5; 27/10; 28/11; 45/17; ; 13/5; 13/5; 45/17; 5/2; 5/2; 13/5
