META; english/championship/hull-v-qpr; 2018-04-03 18:19:25 GMT+3; 2018-04-07 15:00; e70300-dr003
Hull; 10/11; 19/20; 1; 103/100; 1; 10/11; 1; 11/10; 1; 21/20; 1; 1; 28/29; 1; 19/20; 1; 20/21; 21/20; ; ; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; 12/5; 131/50; 5/2; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 49/20; 13/5; 5/2; 27/11; 23/10; 40/17; 5/2; 49/20; 5/2; 5/2; 9/4; 12/5; 
QPR; 3; 14/5; 27/10; 11/4; 149/50; 14/5; 11/4; 13/5; 11/4; 11/4; 5/2; 11/4; 14/5; 14/5; 14/5; 14/5; 14/5; 5/2; 27/10; 14/5; 57/20; 37/13; 14/5; 12/5; 11/4
META; english/championship/hull-v-qpr; 2018-04-04 08:18:34 GMT+3; 2018-04-07 15:00; e70300-dr003
Hull; 10/11; 10/11; 19/20; 19/20; 101/100; 11/10; 20/21; 11/10; 1; 19/20; 11/10; 20/21; 19/20; 19/20; 19/20; 1; 19/20; 19/20; 1; 19/20; 10/11; 1; 20/21; 10/11; 20/21
Draw; 12/5; 5/2; 12/5; 12/5; 129/50; 12/5; 12/5; 23/10; 12/5; 12/5; 23/10; 12/5; 5/2; 11/4; 5/2; 27/11; 12/5; 40/17; 5/2; 5/2; 5/2; 23/10; 9/4; ; 
QPR; 3; 29/10; 14/5; 3; 31/10; 5/2; 14/5; 12/5; 11/4; 29/10; 5/2; 3; 29/10; 3; 14/5; 29/10; 14/5; 28/11; 27/10; 3; 59/20; 56/19; 14/5; 5/2; 3
META; english/championship/hull-v-qpr; 2018-04-04 18:19:55 GMT+3; 2018-04-07 15:00; e70300-dr003
Hull; 10/11; 19/20; 19/20; 19/20; 1; 11/10; 20/21; 11/10; 1; 19/20; 1; 20/21; 1; 19/20; 19/20; 19/20; 19/20; 19/20; 1; 20/21; 9/10; 1; 20/21; 20/21; 20/21; 20/21
Draw; 12/5; 5/2; 12/5; 12/5; 131/0; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 5/2; 11/4; 5/2; 27/11; 12/5; 40/17; 5/2; 5/2; 5/2; 23/10; 12/5; 13/5; 13/5; 
QPR; 3; 14/5; 14/5; 3; 31/10; 5/2; 29/10; 12/5; 11/4; 14/5; 11/4; 3; 29/10; 3; 29/10; 14/5; 28/11; 27/10; 3; 56/19; 14/5; 14/5; 3; ; ; 
META; english/championship/hull-v-qpr; 2018-04-05 13:13:28 GMT+3; 2018-04-07 15:00; e70300-dr003
Hull; 19/20; 1; 19/20; 21/20; 23/20; 1; 11/10; 1; 1; 1; 1; 1; 19/20; 22/23; 1; 1; 20/21; 1; 11/10; ; ; ; ; ; ; 
Draw; 5/2; 13/5; 12/5; 12/5; 67/25; 12/5; 5/2; 23/10; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; 11/4; 5/2; 5/2; 12/5; 40/17; 13/5; 28/11; 23/10; 12/5; 13/5; 12/5; 
QPR; 11/4; 13/5; 13/5; 3; 71/25; 13/5; 13/5; 12/5; 11/4; 27/10; 11/4; 13/5; 13/5; 27/10; 14/5; 11/4; 27/10; 11/4; 28/11; 27/10; 27/10; 11/4; 13/5; 13/5; 11/4; 13/5
META; english/championship/hull-v-qpr; 2018-04-06 08:18:49 GMT+3; 2018-04-07 15:00; e70300-dr003
Hull; 11/10; 1; 21/20; 1; 11/10; 23/20; 21/20; 11/10; 1; 21/20; 21/20; 1; 21/20; 21/20; 11/10; 1; 21/20; 1; 24/23; 28/29; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10
QPR; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 5/2; 12/5; 11/4; 13/5; 11/4; 13/5; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 28/11; 27/10; 27/10; 28/11; 5/2; 13/5; 5/2; 13/5
Draw; 27/10; 5/2; 12/5; 5/2; 69/25; 12/5; 5/2; 23/10; 28/11; 5/2; 5/2; 5/2; 5/2; 49/20; 13/5; 13/5; 28/11; 12/5; 13/5; 5/2; 27/10; 13/5; 5/2; 13/5; 27/10; 13/5
META; english/championship/hull-v-qpr; 2018-04-06 09:15:57 GMT+3; 2018-04-07 15:00; e70300-dr003
Hull; 11/10; 1; 21/20; 1; 11/10; 23/20; 21/20; 11/10; 1; 21/20; 21/20; 1; 21/20; 21/20; 11/10; 1; 21/20; 1; 24/23; 28/29; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10
QPR; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 5/2; 12/5; 11/4; 13/5; 11/4; 13/5; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 28/11; 27/10; 27/10; 5/2; 13/5; 13/5; 5/2; 13/5
Draw; 27/10; 5/2; 12/5; 5/2; 69/25; 12/5; 5/2; 23/10; 28/11; 5/2; 5/2; 5/2; 5/2; 49/20; 13/5; 13/5; 28/11; 12/5; 13/5; 5/2; 27/10; 13/5; 5/2; 13/5; 27/10; 13/5
META; english/championship/hull-v-qpr; 2018-04-06 16:26:41 GMT+3; 2018-04-07 15:00; e70300-dr003
Hull; 11/10; 1; 21/20; 11/10; 27/25; 21/20; 11/10; 1; 24/23; 11/10; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 1; 13/12; 42/41; 11/10; 11/10; 1; 21/20; 11/10; 11/10
QPR; 13/5; 13/5; 5/2; 12/5; 67/25; 13/5; 5/2; 5/2; 5/2; 5/2; 11/4; 5/2; 5/2; 5/2; 13/5; 13/5; 27/11; 13/5; 12/5; 27/11; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5
Draw; 27/10; 5/2; 12/5; 12/5; 69/25; 13/5; 13/5; 5/2; 45/17; 12/5; 5/2; 5/2; 5/2; 49/20; 13/5; 5/2; 28/11; 12/5; 13/5; 13/5; 27/10; 13/5; 5/2; 13/5; 12/5; 13/5
META; english/championship/hull-v-qpr; 2018-04-07 12:19:51 GMT+3; 2018-04-07 15:00; e70300-dr003
Hull; 21/20; 1; 21/20; 21/20; 11/10; 1; 21/20; 10/11; 1; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 1; 42/41; 42/41; 21/20; 21/20; 1; 21/20; 21/20; 1; 
Draw; 13/5; 12/5; 5/2; 12/5; 5/2; 13/5; 5/2; 5/2; 28/11; 5/2; 5/2; 12/5; 12/5; 12/5; 13/5; 12/5; 27/11; 13/5; 28/11; 13/5; 13/5; 5/2; 5/2; 13/5; 5/2; 13/5
QPR; 14/5; 14/5; 14/5; 13/5; 143/50; 14/5; 13/5; 13/5; 11/4; 29/10; 11/4; 11/4; 11/4; 11/4; 11/4; 13/5; 27/10; 27/10; 13/5; 27/11; 29/10; 11/4; 11/4; 11/4; 14/5; 14/5
META; english/championship/hull-v-qpr; 2018-04-07 13:22:38 GMT+3; 2018-04-07 15:00; e70300-dr003
Hull; 21/20; 1; 21/20; 21/20; 27/25; 1; 21/20; 10/11; 1; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 1; 30/29; 28/29; 21/20; 1; 21/20; 21/20; 21/20; ; 
Draw; 13/5; 12/5; 12/5; 5/2; 129/50; 5/2; 5/2; 12/5; 28/11; 5/2; 5/2; 12/5; 12/5; 12/5; 13/5; 12/5; 5/2; 13/5; 13/5; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5
QPR; 14/5; 14/5; 14/5; 5/2; 71/25; 14/5; 11/4; 11/4; 11/4; 14/5; 11/4; 11/4; 11/4; 11/4; 11/4; 13/5; 27/10; 27/10; 13/5; 27/10; 29/10; 27/10; 11/4; 11/4; 14/5; 14/5
