META; english/championship/reading-v-sheffield-utd; 2018-02-27 18:17:07 GMT+2; 2018-02-27 20:00; e70300-dr003
Sheffield Utd; 29/20; 7/5; 6/4; 7/5; 6/4; 31/20; 6/4; 7/5; 7/5; 6/4; 29/20; 29/20; 6/4; 6/4; 7/5; 7/5; 16/11; 16/11; 22/15; 23/17; 31/20; 29/20; ; ; 7/5; 6/4; 6/4
Reading; 11/5; 2; 21/10; 21/10; 11/5; 21/10; 21/10; 2; 28/13; 21/10; 2; 2; 2; 2; 21/10; 2; 39/19; 37/19; 39/19; 21/10; 21/10; 21/10; 39/19; ; 2; 21/10; 21/10
Draw; 9/4; 11/5; 21/10; 21/10; 9/4; 9/4; 11/5; 21/10; 9/4; 11/5; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 28/13; 21/10; 9/4; 11/5; 9/4; 11/5; 11/5; ; 21/10; 11/5; 11/5
