META; english/championship/birmingham-v-sunderland; 2018-01-22 12:16:09 GMT+2; 2018-01-30 19:45; e70300-dr003
Birmingham; 21/20; 5/4; 11/10; ; ; 1; ; 1; 21/20; 11/10; ; 21/20; ; 11/10; 21/20; 11/10; 1; 21/20; 1; 42/41; 24/23; 11/10; 21/20; 21/20; 21/20; 5/6; 1; 
Draw; 23/10; 9/4; 21/10; ; ; 23/10; ; 23/10; 12/5; 21/10; ; 21/10; ; 43/20; 23/10; 9/4; 9/4; 11/5; 9/4; 28/13; 40/17; 9/4; 9/4; 21/10; 9/4; 9/5; 2; 
Sunderland; 13/5; 23/10; 14/5; ; ; 3; ; 11/4; 11/4; 11/4; ; 3; ; 29/10; 14/5; 13/5; 14/5; 45/17; 14/5; 5/2; 45/17; 3; 29/10; 3; 27/10; 6/4; 9/4; 
META; english/championship/birmingham-v-sunderland; 2018-01-23 02:15:40 GMT+2; 2018-01-30 19:45; e70300-dr003
Birmingham; 1; 5/4; 11/10; 23/20; 111/ 100; 21/20; ; 1; 21/20; 11/10; 21/20; 21/20; ; 11/10; 21/20; 11/10; 1; 1; 1; 24/23; 24/23; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 
Draw; 12/5; 11/5; 21/10; 2; 23/10; 9/4; ; 11/5; 12/5; 2; 21/10; 21/10; ; 21/10; 11/5; 11/5; 9/4; 21/10; 9/4; 21/10; 40/17; 85/40; 9/4; 21/10; 21/10; 19/10; 2; 
Sunderland; 11/4; 23/10; 14/5; 14/5; 31/10; 3; ; 3; 11/4; 11/4; 3; 14/5; ; 29/10; 3; 14/5; 14/5; 29/10; 14/5; 5/2; 45/17; 3; 29/10; 3; 29/10; 7/4; 23/10; 
META; english/championship/birmingham-v-sunderland; 2018-01-23 17:22:15 GMT+2; 2018-01-30 19:45; e70300-dr003
Birmingham; 1; 5/4; 11/10; 23/20; 11/10; 21/20; ; 1; 21/20; 11/10; 21/20; 21/20; ; 11/10; 21/20; 11/10; 1; 1; 1; 15/14; 24/23; 11/10; 11/10; 21/20; 21/20; 10/9; 10/9; 
Draw; 12/5; 11/5; 21/10; 2; 58/25; 9/4; ; 11/5; 12/5; 2; 21/10; 21/10; ; 21/10; 11/5; 11/5; 9/4; 21/10; 9/4; 21/10; 40/17; 85/40; 11/5; 21/10; 21/10; 19/10; 2; 
Sunderland; 11/4; 23/10; 14/5; 14/5; 31/10; 3; ; 3; 11/4; 11/4; 11/4; 14/5; ; 29/10; 3; 11/4; 14/5; 37/13; 14/5; 12/5; 45/17; 3; 29/10; 3; 29/10; 14/5; 14/5; 
META; english/championship/birmingham-v-sunderland; 2018-01-24 12:17:42 GMT+2; 2018-01-30 19:45; e70300-dr003
Birmingham; 21/20; 5/4; 11/10; 23/20; 113/ 100; 11/10; ; ; 11/10; 11/10; 11/10; 11/10; ; 11/10; 23/20; 11/10; 1; 21/20; 1; 13/12; 13/12; 11/10; 11/10; 23/20; 21/20; ; 10/9; 10/9; 
Draw; 12/5; 11/5; 21/10; 2; 59/25; 11/5; ; ; 11/5; 2; 21/10; 21/10; ; 21/10; 21/10; 21/10; 9/4; 21/10; 9/4; 21/10; 28/13; 85/40; 11/5; 21/10; 21/10; ; 2; 2; 
Sunderland; 13/5; 23/10; 14/5; 14/5; 147/ 50; 3; ; ; 14/5; 11/4; 11/4; 14/5; ; 29/10; 14/5; 13/5; 14/5; 11/4; 14/5; 40/17; 11/4; 14/5; 14/5; 11/4; 11/4; ; 11/4; 11/4; 
META; english/championship/birmingham-v-sunderland; 2018-01-30 12:18:31 GMT+2; 2018-01-30 19:45; e70300-dr003
Birmingham; 23/20; 5/4; 15/13; 11/10; 59/50; 6/5; ; ; 13/11; 23/20; 23/20; 11/10; 6/5; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 9/8; 15/13; 11/10; 23/20; 23/20; 15/13; ; 23/20; 23/20; 6/5
Draw; 9/4; 21/10; 11/5; 11/5; 113/ 50; 9/4; ; ; 28/13; 11/5; 9/4; 21/10; 11/5; 21/10; 21/10; 21/10; 11/5; 28/13; 11/5; 28/13; 21/10; 85/40; 11/5; 11/5; 11/5; ; 21/10; 21/10; 11/5
Sunderland; 29/10; 12/5; 29/10; 11/4; 73/25; 29/10; ; ; 45/17; 29/10; 11/4; 14/5; 13/5; 11/4; 14/5; 11/4; 5/2; 27/10; 5/2; 37/13; 13/5; 14/5; 29/10; 11/4; 11/4; ; 14/5; 14/5; 14/5
META; english/championship/birmingham-v-sunderland; 2018-01-30 12:26:51 GMT+2; 2018-01-30 19:45; e70300-dr003
Birmingham; 23/20; 5/4; 15/13; 11/10; 59/50; 6/5; ; ; 13/11; 23/20; 23/20; 11/10; 6/5; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 9/8; 15/13; 11/10; 23/20; 23/20; 15/13; ; 10/9; 23/20; 23/20
Draw; 9/4; 21/10; 11/5; 11/5; 113/ 50; 9/4; ; ; 28/13; 11/5; 9/4; 21/10; 11/5; 21/10; 21/10; 21/10; 11/5; 28/13; 11/5; 28/13; 21/10; 85/40; 11/5; 11/5; 11/5; ; 21/10; 11/5; 9/4
Sunderland; 29/10; 12/5; 29/10; 11/4; 73/25; 29/10; ; ; 45/17; 29/10; 11/4; 14/5; 13/5; 11/4; 14/5; 11/4; 5/2; 27/10; 5/2; 37/13; 13/5; 14/5; 29/10; 11/4; 11/4; ; 14/5; 14/5; 14/5
META; english/championship/birmingham-v-sunderland; 2018-01-30 12:34:57 GMT+2; 2018-01-30 19:45; e70300-dr003
Birmingham; 23/20; 5/4; 15/13; 11/10; 59/50; 6/5; ; ; 13/11; 23/20; 23/20; 11/10; 6/5; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 9/8; 15/13; 11/10; 6/5; 23/20; 15/13; ; 10/9; 23/20; 23/20
