META; english/championship/sunderland-v-sheffield-wednesday; 2018-03-26 12:18:21 GMT+3; 2018-04-02 15:00; e70300-dr003
Sunderland; 6/4; 3/2; 33/20; 6/4; 7/5; 6/4; 6/4; 6/4; 16/11; 6/4; 7/5; 6/4; 6/4; 16/11
Sheffield Wednesday; 7/4; 17/10; 46/25; 7/4; 24/13; 9/5; 9/5; 7/4; 7/4; 17/10; 24/13; 9/5; 9/5; 9/5
Draw; 23/10; 12/5; 61/25; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 40/17; 12/5; 47/20; 
META; english/championship/sunderland-v-sheffield-wednesday; 2018-03-27 08:18:08 GMT+3; 2018-04-02 15:00; e70300-dr003
Sunderland; 6/4; 6/4; 33/20; 31/20; 6/4; 7/5; 7/5; 6/4; 31/20; 6/4; 6/4; 16/11; 6/4; 7/5; 31/20; 6/4; 16/11; 1/50; 8/5
Sheffield Wednesday; 7/4; 9/5; 46/25; 9/5; 7/4; 17/10; 24/13; 9/5; 7/4; 9/5; 7/4; 9/5; 17/10; 24/13; 9/5; 9/5; 9/5; 1/50; 9/5
Draw; 23/10; 23/10; 61/25; 23/10; 23/10; 21/10; 12/5; 9/4; 23/10; 23/10; 9/4; 40/17; 23/10; 40/17; 23/10; 47/20; 40/17; 1/50; 23/10
META; english/championship/sunderland-v-sheffield-wednesday; 2018-03-28 08:18:54 GMT+3; 2018-04-02 15:00; e70300-dr003
Sunderland; 6/4; 6/4; 33/20; 6/4; 6/4; 7/5; 7/5; 31/20; 6/4; 6/4; 16/11; 6/4; 7/5; 31/20; 6/4; 16/11; 7/5; 8/5; 
Sheffield Wednesday; 7/4; 9/5; 46/25; 15/8; 7/4; 17/10; 24/13; 9/5; 9/5; 9/5; 7/4; 9/5; 17/10; 24/13; 9/5; 9/5; 9/5; 7/4; 9/5
Draw; 23/10; 23/10; 61/25; 12/5; 23/10; 11/5; 12/5; 23/10; 11/5; 23/10; 9/4; 40/17; 23/10; 40/17; 23/10; 47/20; 40/17; 21/10; 23/10
META; english/championship/sunderland-v-sheffield-wednesday; 2018-03-29 08:18:37 GMT+3; 2018-04-02 15:00; e70300-dr003
Sunderland; 6/4; 6/4; 33/20; 6/4; 6/4; 7/5; 7/5; 29/20; 31/20; 6/4; 6/4; 6/4; 6/4; 7/5; 31/20; 6/4; 6/4; 11/8; 8/5
Sheffield Wednesday; 7/4; 9/5; 46/25; 15/8; 7/4; 17/10; 24/13; 9/5; 9/5; 9/5; 7/4; 9/5; 17/10; 24/13; 9/5; 9/5; 24/13; 7/4; 9/5
Draw; 23/10; 23/10; 61/25; 12/5; 23/10; 11/5; 12/5; 23/10; 9/4; 23/10; 9/4; 40/17; 23/10; 40/17; 23/10; 47/20; 12/5; 21/10; 23/10
META; english/championship/sunderland-v-sheffield-wednesday; 2018-03-31 12:18:59 GMT+3; 2018-04-02 15:00; e70300-dr003
Sunderland; 11/8; 7/5; 6/4; 6/4; 6/4; 6/4; 7/5; 7/5; 7/5; 29/20; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 16/11; 7/5; 31/21; 7/5; 29/20; 6/4; 16/11; 11/8; 7/5
Sheffield Wednesday; 15/8; 19/10; 19/10; 15/8; 39/20; 19/10; 15/8; 9/5; 24/13; 19/10; 9/5; 2; 9/5; 39/20; 15/8; 19/10; 19/10; 24/13; 23/12; 24/13; 2; 37/20; 19/10; 9/5; 19/10
Draw; 12/5; 9/4; 21/10; 11/5; 51/20; 23/10; 23/10; 11/5; 12/5; 21/10; 11/5; 21/10; 23/10; 43/20; 23/10; 23/10; 23/10; 23/10; 40/17; 11/5; 40/17; 2; 5/2; ; 
