META; english/championship/preston-v-middlesbrough; 2017-12-31 12:15:52 GMT+2; 2018-01-01 15:00; e70300-dr003
Preston; 6/4; 7/5; 7/5; 6/4; 36/25; 31/20; 7/5; 7/5; 7/5; 29/20; 8/5; 13/10; 31/20; 29/20; 7/5; 7/5; 7/5; 7/5; 7/5; 13/9; 11/8; 7/5; 6/4; 7/5; 7/5; ; 7/5; 7/5; 7/5
Middlesbrough; 21/10; 19/10; 2; 19/10; 56/25; 21/10; 2; 2; 39/19; 21/10; 7/4; 21/10; 2; 41/20; 21/10; 2; 37/19; 21/10; 37/19; 133/ 67; 2; 85/40; 21/10; 11/5; 21/10; ; 2; 2; 9/4
Draw; 23/10; 23/10; 21/10; 21/10; 58/25; 23/10; 21/10; 21/10; 9/4; 21/10; 11/5; 11/5; 2; 43/20; 11/5; 9/4; 11/5; 28/13; 11/5; 9/4; 11/5; 11/5; 23/10; 11/5; 11/5; ; 21/10; 2; 11/5
