META; english/championship/hull-v-sheffield-wednesday; 2018-04-10 08:18:21 GMT+3; 2018-04-14 15:00; e70300-dr003
Hull; 10/11; 19/20; 10/11; 10/11; 20/21; 5/6; 1; 9/10; 20/21; 10/11; 19/20; 19/20; 9/10; 1; 10/11; 19/20; 5/6; 10/11
Draw; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 23/10; 5/2; 5/2; 5/2; 40/17; 13/5; 28/11; 11/5; 12/5
Sheffield Wednesday; 29/10; 29/10; 11/4; 16/5; 29/10; 3; 11/4; 3; 31/10; 14/5; 29/10; 29/10; 27/10; 3; 29/10; 12/5; 14/5; 
META; english/championship/hull-v-sheffield-wednesday; 2018-04-11 12:55:35 GMT+3; 2018-04-14 15:00; e70300-dr003
Hull; 10/11; 17/20; 17/20; 49/50; 20/23; 9/10; 5/6; 9/10; 9/10; 20/23; 10/11; 10/11; 13/15; 11/13; 9/10; 20/23; 13/15; 5/6; 5/6
Draw; 5/2; 5/2; 12/5; 67/25; 27/10; 5/2; 5/2; 13/5; 13/5; 5/2; 13/5; 5/2; 27/10; 5/2; 28/11; 13/5; 27/10; 5/2; 13/5
Sheffield Wednesday; 29/10; 16/5; 3; 31/10; 16/5; 3; 3; 16/5; 16/5; 3; 41/13; 31/10; 29/10; 16/5; 41/13; 3; ; ; 
META; english/championship/hull-v-sheffield-wednesday; 2018-04-11 20:19:36 GMT+3; 2018-04-14 15:00; e70300-dr003
Hull; 7/10; 5/6; 3/4; 5/6; 79/00; 4/5; 3/4; 8/11; 3/4; 4/5; 3/4; 3/4; 4/5; 3/4; 4/5; 14/19; 7/10; 10/13; 3/4; 3/4; 14/19; 8/11; 8/11; 4/6; 4/5; 8/11
Draw; 11/4; 13/5; 13/5; 13/5; 72/25; 14/5; 11/4; 13/5; 11/4; 27/10; 11/4; 11/4; 27/10; 11/4; 13/5; 14/5; 27/10; 27/10; 27/10; 14/5; 37/13; 13/5; 13/5; 12/5; 14/5; 13/5
Sheffield Wednesday; 15/4; 16/5; 7/2; 16/5; 39/10; 18/5; 7/2; 7/2; 7/2; 7/2; 18/5; 7/2; 17/5; 15/4; 7/2; 37/10; 15/4; 58/19; 7/2; 18/5; 15/4; 7/2; 10/3; 3; 7/2; 7/2
META; english/championship/hull-v-sheffield-wednesday; 2018-04-12 10:46:49 GMT+3; 2018-04-14 15:00; e70300-dr003
Hull; 3/4; 3/4; 3/4; 3/4; 77/00; 3/4; 8/11; 8/11; 3/4; 3/4; 8/11; 3/4; 3/4; 3/4; 8/11; 5/7; 7/10; 5/7; 3/4; 8/11; 5/7; 8/11; 8/11; 4/6; 8/11; 8/11
Draw; 13/5; 11/4; 27/10; 11/4; 59/20; 29/10; 11/4; 11/4; 11/4; 27/10; 11/4; 13/5; 27/10; 11/4; 13/5; 37/13; 27/10; 11/4; 27/10; 14/5; 29/10; 14/5; 13/5; 12/5; 14/5; 11/4
Sheffield Wednesday; 15/4; 18/5; 7/2; 7/2; 79/20; 18/5; 15/4; 10/3; 7/2; 18/5; 18/5; 15/4; 18/5; 15/4; 15/4; 50/13; 15/4; 33/10; 7/2; 15/4; 50/13; 7/2; 7/2; 3; 7/2; 7/2
META; english/championship/hull-v-sheffield-wednesday; 2018-04-13 08:17:43 GMT+3; 2018-04-14 15:00; e70300-dr003
Hull; 3/4; 7/10; 7/10; 3/4; 3/4; 3/4; 7/10; 4/6; 7/10; 7/10; 8/11; 7/10; 81/100; 8/11; 8/11; 8/11; 9/13; 7/10; 7/10; 4/6; 3/4; 9/13; 4/6; 4/6; 4/6; 4/6; 8/11
Draw; 3; 14/5; 11/4; 11/4; 3; 29/10; 14/5; 11/4; 37/13; 14/5; 11/4; 14/5; 14/5; 14/5; 13/5; 14/5; 29/10; 27/10; 14/5; 14/5; 3; 56/19; 14/5; 14/5; 5/2; 5/2; 14/5
Sheffield Wednesday; 4; 19/5; 19/5; 7/2; 4; 15/4; 15/4; 7/2; 4; 19/5; 4; 15/4; 31/10; 19/5; 7/2; 15/4; 4; 15/4; 4; 39/10; 4; 77/19; 15/4; 7/2; 7/2; 7/2; 4
META; english/championship/hull-v-sheffield-wednesday; 2018-04-13 09:16:49 GMT+3; 2018-04-14 15:00; e70300-dr003
Hull; 3/4; 7/10; 7/10; 3/4; 3/4; 3/4; 7/10; 4/6; 7/10; 7/10; 8/11; 7/10; 81/100; 8/11; 8/11; 8/11; 9/13; 7/10; 7/10; 4/6; 3/4; 9/13; 4/6; 4/6; 8/11; 4/6; 8/11
Draw; 3; 14/5; 11/4; 11/4; 3; 29/10; 14/5; 11/4; 37/13; 14/5; 11/4; 14/5; 14/5; 14/5; 13/5; 14/5; 29/10; 27/10; 14/5; 14/5; 3; 56/19; 14/5; 14/5; 14/5; 5/2; 14/5
Sheffield Wednesday; 4; 19/5; 19/5; 7/2; 4; 15/4; 15/4; 7/2; 4; 19/5; 4; 15/4; 31/10; 19/5; 7/2; 15/4; 4; 15/4; 4; 39/10; 4; 77/19; 15/4; 7/2; 4; 7/2; 4
META; english/championship/hull-v-sheffield-wednesday; 2018-04-13 16:18:12 GMT+3; 2018-04-14 15:00; e70300-dr003
Hull; 3/4; 7/10; 7/10; 3/4; 18/25; 3/4; 7/10; 4/6; 7/10; 7/10; 8/11; 8/11; 81/00; 8/11; 4/6; 8/11; 5/7; 7/10; 7/10; 4/6; 3/4; 5/7; 4/6; 4/6; 8/11; 4/6; 8/11
Draw; 3; 14/5; 11/4; 12/5; 61/20; 29/10; 14/5; 11/4; 37/13; 14/5; 11/4; 11/4; 14/5; 14/5; 11/4; 11/4; 37/13; 27/10; 14/5; 14/5; 3; 37/13; 14/5; 14/5; 14/5; 14/5; 14/5
Sheffield Wednesday; 4; 19/5; 19/5; 4; 21/5; 15/4; 4; 7/2; 4; 19/5; 4; 15/4; 31/10; 15/4; 15/4; 4; 19/5; 15/4; 4; 39/10; 4; 50/13; 17/4; 7/2; 4; 21/5; 21/5
META; english/championship/hull-v-sheffield-wednesday; 2018-04-14 12:20:10 GMT+3; 2018-04-14 15:00; e70300-dr003
Hull; 8/11; 8/11; 3/4; 8/11; 77/00; 7/10; 8/11; 4/6; 7/10; 3/4; 8/11; 8/11; 3/4; 3/4; 8/11; 8/11; 5/7; 13/18; 14/19; 4/6; 3/4; 5/7; 8/11; 4/6; 8/11; 8/11; 8/11
Draw; 29/10; 11/4; 14/5; 13/5; 59/20; 3; 14/5; 11/4; 37/13; 29/10; 11/4; 13/5; 14/5; 11/4; 13/5; 11/4; 37/13; 29/10; 37/13; 14/5; 29/10; 37/13; 14/5; 14/5; 14/5; 14/5; 14/5
Sheffield Wednesday; 17/4; 18/5; 15/4; 4; 79/20; 4; 15/4; 7/2; 4; 19/5; 4; 15/4; 7/2; 37/10; 7/2; 4; 75/19; 15/4; 18/5; 39/10; 19/5; 75/19; 15/4; 4; 21/5; 4; 21/5
