META; english/championship/sheffield-utd-v-aston-villa; 2018-01-22 12:16:24 GMT+2; 2018-01-30 19:45; e70300-dr003
Sheffield Utd; 23/20; 5/4; 5/4; ; ; 5/4; 5/4; 6/5; 5/4; 5/4; ; 5/4; ; 13/10; 13/10; 5/4; 5/4; 6/5; 5/4; 13/11; 5/4; 13/10; 5/4; 5/4; 6/5; ; 6/5; 
Aston Villa; 5/2; 23/10; 23/10; ; ; 23/10; 23/10; 23/10; 21/10; 23/10; ; 23/10; ; 47/20; 9/4; 12/5; 21/10; 9/4; 21/10; 2; 39/19; 12/5; 12/5; 23/10; 9/4; ; 2; 
Draw; 11/5; 11/5; 21/10; ; ; 23/10; 11/5; 23/10; 5/2; 21/10; ; 11/5; ; 43/20; 9/4; 11/5; 9/4; 28/13; 9/4; 9/4; 27/11; 9/4; 9/4; 11/5; 11/5; ; 15/8; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-23 02:15:55 GMT+2; 2018-01-30 19:45; e70300-dr003
Sheffield Utd; 23/20; 5/4; 5/4; 5/4; 33/25; 6/5; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; ; 5/4; 13/10; 5/4; 5/4; 6/5; 5/4; 13/11; 5/4; 13/10; 5/4; 5/4; 6/5; 21/20; 23/20; 
Draw; 11/5; 11/5; 21/10; 11/5; 57/25; 9/4; 11/5; 11/5; 5/2; 21/10; 11/5; 11/5; ; 43/20; 9/4; 11/5; 9/4; 28/13; 9/4; 9/4; 27/11; 9/4; 9/4; 11/5; 28/13; 9/5; 15/8; 
Aston Villa; 5/2; 23/10; 23/10; 23/10; 63/25; 5/2; 23/10; 12/5; 21/10; 23/10; 23/10; 23/10; ; 47/20; 9/4; 12/5; 21/10; 23/10; 21/10; 2; 39/19; 12/5; 12/5; 23/10; 40/17; 19/10; 21/10; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-23 17:22:30 GMT+2; 2018-01-30 19:45; e70300-dr003
Sheffield Utd; 23/20; 6/5; 5/4; 5/4; 33/25; 6/5; 5/4; 6/5; 5/4; 5/4; 6/5; 5/4; ; 5/4; 13/10; 6/5; 5/4; 6/5; 5/4; 13/11; 5/4; 13/10; 5/4; 5/4; 6/5; 5/6; 23/20; 
Draw; 11/5; 11/5; 21/10; 11/5; 57/25; 9/4; 11/5; 11/5; 5/2; 21/10; 11/5; 11/5; ; 43/20; 9/4; 11/5; 9/4; 28/13; 9/4; 9/4; 27/11; 9/4; 9/4; 11/5; 28/13; 19/10; 15/8; 
Aston Villa; 5/2; 12/5; 23/10; 23/10; 63/25; 5/2; 23/10; 12/5; 21/10; 23/10; 23/10; 23/10; ; 12/5; 9/4; 12/5; 21/10; 23/10; 21/10; 2; 39/19; 12/5; 12/5; 23/10; 40/17; 13/8; 21/10; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-24 12:17:58 GMT+2; 2018-01-30 19:45; e70300-dr003
Sheffield Utd; 23/20; 13/10; 5/4; 5/4; 27/20; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 13/11; 5/4; 13/10; 5/4; 13/10; 6/5; ; 9/10; 23/20; 
Draw; 11/5; 21/10; 21/10; 11/5; 9/4; 23/10; 21/10; ; 28/13; 21/10; 11/5; 21/10; ; 43/20; 21/10; 21/10; 9/4; 21/10; 9/4; 9/4; 21/10; 11/5; 9/4; 21/10; 21/10; ; 9/5; 15/8; 
Aston Villa; 5/2; 23/10; 23/10; 23/10; 62/25; 12/5; 23/10; ; 12/5; 23/10; 23/10; 12/5; ; 12/5; 5/2; 12/5; 21/10; 40/17; 21/10; 2; 40/17; 12/5; 12/5; 47/20; 40/17; ; 13/8; 11/5; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-30 12:18:46 GMT+2; 2018-01-30 19:45; e70300-dr003
Sheffield Utd; 6/4; 13/10; 6/4; 13/10; 153/ 100; 6/4; ; ; 11/8; 29/20; 7/5; 29/20; 11/8; 29/20; 7/5; 7/5; 23/17; 16/11; 23/17; 17/12; 23/17; 7/5; 6/4; 6/4; 16/11; ; 7/5; 7/5; 7/5
Draw; 21/10; 21/10; 2; 21/10; 85/40; 21/10; ; ; 28/13; 2; 9/4; 15/8; 2; 2; 21/10; 2; 2; 2; 2; 2; 21/10; 2; 85/40; 2; 2; ; 2; 2; 21/10
Aston Villa; 23/10; 23/10; 23/10; 23/10; 57/25; 23/10; ; ; 11/5; 9/4; 9/4; 9/4; 9/4; 11/5; 12/5; 9/4; 11/5; 11/5; 11/5; 9/4; 28/13; 23/10; 23/10; 9/4; 11/5; ; 9/4; 9/4; 12/5
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-30 12:35:13 GMT+2; 2018-01-30 19:45; e70300-dr003
Sheffield Utd; 6/4; 13/10; 6/4; 13/10; 38/25; 6/4; ; ; 11/8; 29/20; 7/5; 29/20; 11/8; 29/20; 7/5; 7/5; 23/17; 16/11; 23/17; 17/12; 23/17; 7/5; 6/4; 6/4; 16/11; ; 7/5; 7/5; 7/5
Draw; 21/10; 21/10; 2; 21/10; 54/25; 21/10; ; ; 28/13; 2; 9/4; 15/8; 2; 2; 21/10; 2; 2; 2; 2; 2; 21/10; 2; 85/40; 2; 39/19; ; 2; 2; 21/10
Aston Villa; 23/10; 23/10; 23/10; 23/10; 113/ 50; 23/10; ; ; 11/5; 9/4; 9/4; 9/4; 9/4; 11/5; 12/5; 9/4; 11/5; 11/5; 11/5; 9/4; 28/13; 23/10; 9/4; 9/4; 11/5; ; 9/4; 9/4; 12/5
