META; english/championship/nottingham-forest-v-barnsley; 2018-03-26 12:18:16 GMT+3; 2018-04-02 15:00; e70300-dr003
Nottingham Forest; 10/11; 10/11; 49/50; 10/11; 11/13; 9/10; 10/11; 10/11; 13/15; 9/10; 11/13; 10/11; 10/11
Draw; 12/5; 12/5; 129/50; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 27/11; 12/5; 49/20
Barnsley; 3; 13/4; 3; 13/4; 16/5; 3; 58/19; 3; 16/5; 33/10; 3; ; 
META; english/championship/nottingham-forest-v-barnsley; 2018-03-27 08:18:02 GMT+3; 2018-04-02 15:00; e70300-dr003
Nottingham Forest; 10/11; 10/11; 49/50; 10/11; 10/11; 5/6; 11/13; 9/10; 10/11; 10/11; 10/11; 10/11; 9/10; 11/13; 9/10; 10/11; 10/11; 1/50; 20/21
Draw; 12/5; 5/2; 129/50; 5/2; 12/5; 23/10; 5/2; 12/5; 12/5; 5/2; 12/5; 27/11; 12/5; 27/11; 5/2; 49/20; 27/11; 1/50; 5/2
Barnsley; 3; 13/4; 16/5; 3; 13/4; 3; 3; 31/10; 3; 16/5; 16/5; 3; 31/10; 1/50; 3; ; ; ; 
META; english/championship/nottingham-forest-v-barnsley; 2018-03-28 08:18:49 GMT+3; 2018-04-02 15:00; e70300-dr003
Nottingham Forest; 10/11; 10/11; 49/50; 10/11; 10/11; 5/6; 11/13; 9/10; 10/11; 10/11; 10/11; 10/11; 9/10; 11/13; 9/10; 10/11; 10/11; 5/6; 20/21
Draw; 12/5; 5/2; 129/50; 5/2; 12/5; 23/10; 5/2; 12/5; 12/5; 5/2; 12/5; 27/11; 12/5; 27/11; 5/2; 49/20; 27/11; 9/4; 5/2
Barnsley; 3; 13/4; 16/5; 3; 13/4; 3; 16/5; 3; 31/10; 3; 16/5; 16/5; 3; 31/10; 14/5; 3; ; ; 
META; english/championship/nottingham-forest-v-barnsley; 2018-03-29 08:18:31 GMT+3; 2018-04-02 15:00; e70300-dr003
Nottingham Forest; 10/11; 10/11; 49/50; 10/11; 10/11; 5/6; 11/13; 9/10; 10/11; 10/11; 10/11; 10/11; 9/10; 11/13; 9/10; 10/11; 10/11; 5/6; 20/21
Draw; 12/5; 5/2; 129/50; 5/2; 12/5; 23/10; 5/2; 12/5; 12/5; 5/2; 12/5; 27/11; 12/5; 27/11; 5/2; 49/20; 5/2; 9/4; 5/2
Barnsley; 3; 13/4; 16/5; 3; 13/4; 3; 16/5; 3; 41/13; 3; 16/5; 16/5; 3; 41/13; 14/5; 3; ; ; 
META; english/championship/nottingham-forest-v-barnsley; 2018-03-31 12:18:52 GMT+3; 2018-04-02 15:00; e70300-dr003
Nottingham Forest; 21/20; 1; 1; 27/25; 1; 21/20; 10/11; 9/10; 1; 9/10; 21/20; 10/11; 21/20; 1; 21/20; 1; 21/20; 19/20; 9/10; 1; 1; 20/21; 21/20; ; 
Draw; 12/5; 23/10; 9/4; 12/5; 51/20; 12/5; 12/5; 23/10; 5/2; 9/4; 12/5; 9/4; 5/2; 23/10; 5/2; 12/5; 12/5; 23/10; 5/2; 27/11; 5/2; 47/20; 27/11; 21/10; 9/4
Barnsley; 13/5; 11/4; 14/5; 14/5; 72/25; 29/10; 11/4; 11/4; 3; 11/4; 16/5; 14/5; 3; 11/4; 11/4; 14/5; 37/13; 13/5; 3; 56/19; 11/4; 11/4; 37/13; 27/10; 5/2
META; english/championship/nottingham-forest-v-barnsley; 2018-04-23 10:16:33 GMT+3; 2018-04-24 19:45; e70300-dr003
Barnsley; 6/4; 7/5; 29/20; 7/5; 7/5; 6/4; 29/20; 29/20; 29/20; 13/10; 6/4; 7/5; 7/5; 16/11; 16/11; 25/18; 16/11; 6/4; 16/11; 6/4; 6/4; 11/8; 6/4; 6/4
Nottingham Forest; 2; 19/10; 9/5; 9/5; 41/20; 24/13; 9/5; 15/8; 15/8; 2; 9/5; 17/10; 15/8; 24/13; 24/13; 19/10; 9/5; 19/10; 24/13; 15/8; 9/5; 13/8; 15/8; 9/5
Draw; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; 23/10; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 11/5; 27/11; 12/5; 12/5; 27/11; 5/2; 23/10; 19/10; 5/2; 12/5
META; english/championship/nottingham-forest-v-barnsley; 2018-04-24 08:16:34 GMT+3; 2018-04-24 19:45; e70300-dr003
Barnsley; 13/8; 6/4; 8/5; 6/4; 44/25; 8/5; 8/5; 6/4; 8/5; 13/8; 8/5; 13/8; 13/8; 17/10; 6/4; 8/5; 8/5; 17/11; 13/8; 17/11; 13/8; 8/5; 13/8; 13/8; 7/5; 7/5; 13/8
Nottingham Forest; 9/5; 13/8; 8/5; 7/4; 163/00; 9/5; 17/10; 17/10; 7/4; 13/8; 7/4; 13/8; 13/8; 17/10; 13/8; 8/5; 17/10; 7/4; 13/8; 17/10; 7/4; 17/10; 13/8; 17/10; 6/4; 6/4; 17/10
Draw; 5/2; 12/5; 23/10; 12/5; 123/0; 12/5; 12/5; 12/5; 5/2; 12/5; 12/5; 23/10; 12/5; 49/20; 23/10; 12/5; 12/5; 11/5; 27/11; 12/5; 5/2; 12/5; 12/5; 12/5; 21/10; 5/2; 5/2
