META; english/championship/burton-v-hull; 2018-04-09 10:25:54 GMT+3; 2018-04-10 19:45; e70300-dr003
Hull; 21/20; 1; 11/10; 53/50; 11/10; 21/20; 1; 21/20; 1; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 42/41; 42/41; 21/20; 21/20; 1; 21/20; 11/10; 21/20; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 5/2; 12/5; 23/10; 9/4; 40/17; 9/4; 23/10; 23/10; 11/5; 9/4; 11/5; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 9/4; 23/10; 12/5; 23/10
Burton; 13/5; 29/10; 29/10; 13/5; 3; 27/10; 11/4; 5/2; 14/5; 29/10; 11/4; 14/5; 5/2; 29/10; 11/4; 11/4; 11/4; 27/10; 14/5; 11/4; 31/10; 11/4; 14/5; 11/4; 3; 14/5
META; english/championship/burton-v-hull; 2018-04-09 16:13:23 GMT+3; 2018-04-10 19:45; e70300-dr003
Hull; 21/20; 1; 21/20; 53/50; 11/10; 1; 21/20; 1; 21/20; 1; 21/20; 19/20; 21/20; 1; 21/20; 42/41; 21/20; 21/20; 1; 21/20; 11/10; 21/20; ; ; ; ; 
Draw; 23/10; 23/10; 11/5; 11/5; 5/2; 12/5; 23/10; 23/10; 40/17; 9/4; 23/10; 23/10; 11/5; 9/4; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 9/4; 11/5; 23/10; 12/5; 23/10
Burton; 13/5; 29/10; 29/10; 14/5; 3; 27/10; 11/4; 13/5; 14/5; 29/10; 11/4; 14/5; 5/2; 29/10; 11/4; 14/5; 14/5; 27/10; 27/10; 11/4; 31/10; 14/5; 14/5; 3; 3; ; 
META; english/championship/burton-v-hull; 2018-04-10 08:17:40 GMT+3; 2018-04-10 19:45; e70300-dr003
Hull; 1; 19/20; 1; 101/100; 11/10; 1; 42/41; 1; 1; 21/20; 19/20; 19/20; 19/20; 1; 39/40; 21/20; 1; 19/20; 1; 20/21; 1; ; ; ; ; 
Draw; 12/5; 9/4; 11/5; 9/4; 62/25; 12/5; 12/5; 23/10; 40/17; 9/4; 23/10; 11/5; 12/5; 9/4; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5
Burton; 10/3; 29/10; 3; 29/10; 13/4; 27/10; 3; 13/5; 56/19; 3; 3; 14/5; 3; 11/4; 3; 27/10; 37/13; 29/10; 16/5; 3; 3; 3; 10/3; ; ; 
