META; english/championship/leeds-v-wolves; 2018-03-05 20:18:18 GMT+2; 2018-03-07 19:45; e70300-dr003
Wolves; 21/20; 21/20; 21/20; 1; 27/25; 21/20; 21/20; 10/11; 1; 1; 11/10; 21/20; 1; 1; 21/20; 21/20; 28/29; 21/20; 1; 20/21; 1; 21/20; ; ; 
Draw; 5/2; 23/10; 11/5; 11/5; 63/25; 12/5; 23/10; 9/4; 12/5; 9/4; 23/10; 9/4; 23/10; 5/2; 23/10; 23/10; 5/2; 11/5; 40/17; 23/10; 23/10; 40/17; 9/4; 9/4; 12/5
Leeds; 3; 11/4; 14/5; 3; 73/25; 16/5; 11/4; 3; 56/19; 3; 14/5; 12/5; 29/10; 14/5; 14/5; 27/10; 12/5; 3; 29/10; 29/10; 29/10; 27/10; 14/5; 14/5; 14/5
META; english/championship/leeds-v-wolves; 2018-03-06 10:11:28 GMT+2; 2018-03-07 19:45; e70300-dr003
Wolves; 21/20; 21/20; 21/20; 1; 27/25; 21/20; 1; 10/11; 1; 21/20; 1; 11/10; 11/10; 1; 1; 11/10; 42/41; 28/29; 21/20; 1; 1; 21/20; ; ; ; 
Draw; 5/2; 12/5; 11/5; 11/5; 63/25; 12/5; 23/10; 9/4; 12/5; 9/4; 23/10; 23/10; 9/4; 23/10; 5/2; 23/10; 23/10; 23/10; 23/10; 40/17; 5/2; 23/10; 40/17; 9/4; 23/10; 12/5
Leeds; 3; 29/10; 14/5; 3; 73/25; 16/5; 11/4; 3; 56/19; 29/10; 3; 14/5; 12/5; 29/10; 14/5; 14/5; 45/17; 12/5; 56/19; 29/10; 3; 29/10; 27/10; 14/5; 14/5; 14/5
META; english/championship/leeds-v-wolves; 2018-03-06 15:04:18 GMT+2; 2018-03-07 19:45; e70300-dr003
Wolves; 21/20; 1; 1; 27/25; 21/20; 1; 10/11; 1; 1; 11/10; 21/20; 1; 1; 13/12; 28/29; 1; 1; 21/20; 21/20; ; ; ; ; ; 
Draw; 5/2; 12/5; 11/5; 11/5; 63/25; 12/5; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 9/4; 23/10; 5/2; 23/10; 23/10; 23/10; 12/5; 40/17; 23/10; 40/17; 23/10; 12/5; 12/5
Leeds; 3; 29/10; 3; 73/25; 16/5; 11/4; 3; 56/19; 14/5; 16/5; 12/5; 3; 14/5; 14/5; 27/10; 11/4; 45/17; 29/10; 59/20; 27/10; 14/5; 3; 14/5; ; 
META; english/championship/leeds-v-wolves; 2018-03-07 12:13:00 GMT+2; 2018-03-07 19:45; e70300-dr003
Wolves; 1; 21/20; 21/20; 1; 21/20; 1; 10/11; 1; 1; 1; 21/20; 21/20; 1; 21/20; 1; 28/29; 21/20; 1; 20/21; 1; ; ; ; ; ; 
Draw; 12/5; 23/10; 23/10; 9/4; 121/50; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; 40/17; 12/5; 12/5; 40/17; 12/5; 9/4; 40/17; 23/10; 12/5; 23/10
Leeds; 10/3; 3; 16/5; 3; 63/20; 10/3; 29/10; 3; 56/19; 3; 16/5; 14/5; 14/5; 31/10; 3; 16/5; 56/19; 11/4; 29/10; 29/10; 16/5; 16/5; 3; 3; ; 
META; english/championship/leeds-v-wolves; 2018-03-07 17:05:17 GMT+2; 2018-03-07 19:45; e70300-dr003
Wolves; 1; 1; 21/20; 19/20; 1; 1; 1; 1; 1; 1; 21/20; 28/29; 28/29; 1; 1; 1; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 23/10; 9/4; 12/5; 5/2; 23/10; 11/5; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 9/4; 27/11; 40/17; 9/4; 40/17; 23/10; 12/5; 12/5
Leeds; 10/3; 29/10; 16/5; 3; 16/5; 17/5; 3; 56/19; 13/4; 3; 14/5; 14/5; 16/5; 16/5; 16/5; 29/10; 29/10; 56/19; 29/10; 10/3; 16/5; 56/19; 3; 10/3; 
META; english/championship/leeds-v-wolves; 2018-03-07 20:02:24 GMT+2; 2018-03-07 19:45; e70300-dr003
Wolves; 1; 1; 1; 1; 10/11; 1; 1; 20/21; 1; 19/20; 21/20; 1; 19/20; 66/67; 28/29; 1; 1; 20/21; 1; 1; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 23/10; 9/4; 49/20; 5/2; 12/5; 23/10; 40/17; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 40/17; 23/10; 12/5; 9/4; 40/17; 23/10; 12/5; 12/5; 12/5
Leeds; 10/3; 29/10; 16/5; 3; 10/3; 16/5; 3; 3; 16/5; 3; 14/5; 16/5; 3; 3; 13/4; 3; 56/19; 16/5; 16/5; 58/19; 3; 10/3; 10/3; 10/3; ; ; 
