META; english/championship/birmingham-v-ipswich; 2018-03-18 14:18:46 GMT+2; 2018-03-31 15:00; e70300-dr003
Birmingham; 19/20; 5/4; 21/20; 1; 19/20; 23/20; 21/20; 21/20; 21/20; 1; 21/20; 19/20; 1; 8/11; 
Draw; 23/10; 12/5; 9/4; 21/10; 40/17; 23/10; 11/5; 43/20; 23/10; 9/4; 21/10; 23/10; 23/10; 23/10; 17/10
Ipswich; 3; 21/10; 3; 3; 11/4; 14/5; 3; 14/5; 11/4; 12/5; 56/19; 3; 14/5; 2; 
META; english/championship/birmingham-v-ipswich; 2018-03-19 08:17:00 GMT+2; 2018-03-31 15:00; e70300-dr003
Birmingham; 19/20; 1; 11/10; 21/20; 21/20; 1; 19/20; 21/20; 1; 21/20; 11/10; 21/20; 11/10; 1; 19/20; 21/20; 19/20; 1; 21/20; 1; 8/11
Draw; 23/10; 9/4; 21/10; 121/50; 9/4; 21/10; 40/17; 21/10; 9/4; 11/5; 23/10; 43/20; 12/5; 9/4; 9/4; 21/10; 23/10; 23/10; 11/5; 23/10; 7/4
Ipswich; 3; 14/5; 63/20; 3; 3; 11/4; 3; 14/5; 11/4; 3; 14/5; 45/17; 3; 12/5; 56/19; 3; 29/10; 27/10; 23/10; ; 
META; english/championship/birmingham-v-ipswich; 2018-03-20 08:17:54 GMT+2; 2018-03-31 15:00; e70300-dr003
Birmingham; 19/20; 21/20; 21/20; 21/20; 26/25; 13/10; 5/4; 21/20; 1; 20/21; 11/10; 11/10; 21/20; 1; 19/20; 66/67; 21/20; 1; 1; ; ; 
Draw; 23/10; 9/4; 21/10; 21/10; 59/25; 9/4; 21/10; 9/4; 21/10; 11/5; 23/10; 23/10; 43/20; 12/5; 11/5; 9/4; 28/13; 11/5; 23/10; 9/4; 11/5; 21/10
Ipswich; 3; 14/5; 29/10; 3; 33/10; 9/4; 11/5; 37/13; 29/10; 3; 11/4; 29/10; 3; 11/4; 3; 28/11; 14/5; 31/10; 3; 14/5; 27/10; 
META; english/championship/birmingham-v-ipswich; 2018-03-21 14:18:47 GMT+2; 2018-03-31 15:00; e70300-dr003
Birmingham; 19/20; 21/20; 21/20; 21/20; 53/50; 6/5; 1; 11/10; 21/20; 21/20; 21/20; 1; 11/10; 21/20; 1; 19/20; 66/67; 21/20; 1; 1; 1; ; 
Draw; 23/10; 9/4; 21/10; 21/10; 59/25; 9/4; 11/5; 21/10; 9/4; 21/10; 21/10; 11/5; 43/20; 12/5; 11/5; 9/4; 28/13; 11/5; 23/10; 9/4; 11/5; 21/10; 21/10
Ipswich; 3; 14/5; 29/10; 3; 16/5; 5/2; 29/10; 12/5; 37/13; 14/5; 3; 29/10; 3; 37/13; 3; 28/11; 14/5; 3; 29/10; 27/10; 9/4; ; 
META; english/championship/birmingham-v-ipswich; 2018-03-22 12:37:42 GMT+2; 2018-03-31 15:00; e70300-dr003
Birmingham; 19/20; 21/20; 21/20; 21/20; 109/100; 6/5; 21/20; 11/10; 21/20; 21/20; 11/10; 1; 11/10; 21/20; 1; 19/20; 1; 21/20; 21/20; 1; 1; ; 
Draw; 23/10; 9/4; 21/10; 21/10; 59/25; 9/4; 11/5; 21/10; 9/4; 21/10; 21/10; 11/5; 43/20; 12/5; 11/5; 9/4; 28/13; 11/5; 9/4; 9/4; 11/5; 21/10; 21/10
Ipswich; 3; 14/5; 14/5; 3; 31/10; 5/2; 29/10; 12/5; 37/13; 14/5; 11/4; 3; 29/10; 3; 14/5; 3; 5/2; 14/5; 29/10; 3; 37/13; 27/10; 9/4
META; english/championship/birmingham-v-ipswich; 2018-03-23 14:44:25 GMT+2; 2018-03-31 15:00; e70300-dr003
Birmingham; 19/20; 21/20; 21/20; 21/20; 109/00; 5/4; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 1; 19/20; 1; 21/20; 21/20; 21/20; 1; 1; 
Draw; 23/10; 9/4; 21/10; 21/10; 59/25; 11/5; 11/5; 2; 9/4; 21/10; 11/5; 11/5; 43/20; 12/5; 11/5; 9/4; 28/13; 11/5; 9/4; 11/5; 11/5; 21/10; 21/10
Ipswich; 3; 14/5; 14/5; 3; 31/10; 5/2; 29/10; 23/10; 37/13; 14/5; 11/4; 14/5; 29/10; 3; 14/5; 3; 5/2; 14/5; 29/10; 29/10; 37/13; 27/10; 9/4
META; english/championship/birmingham-v-ipswich; 2018-03-26 12:17:58 GMT+3; 2018-03-31 15:00; e70300-dr003
Birmingham; 21/20; 1; 21/20; 21/20; 111/100; 5/4; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 1; 19/20; 1; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 21/20
Draw; 11/5; 11/5; 21/10; 9/4; 57/25; 11/5; 11/5; 2; 9/4; 21/10; 11/5; 11/5; 23/10; 43/20; 11/5; 21/10; 11/5; 9/4; 28/13; 11/5; 9/4; 11/5; 11/5; 21/10; 9/4; 23/10
Ipswich; 11/4; 29/10; 29/10; 11/4; 63/20; 5/2; 29/10; 23/10; 37/13; 14/5; 11/4; 14/5; 11/4; 3; 11/4; 14/5; 29/10; 3; 5/2; 14/5; 29/10; 3; 56/19; 9/4; 3; 
META; english/championship/birmingham-v-ipswich; 2018-03-27 08:17:44 GMT+3; 2018-03-31 15:00; e70300-dr003
Birmingham; 21/20; 1; 21/20; 21/20; 111/100; 11/10; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 19/20; 11/10; 1; 21/20; 21/20; 19/20; 68/67; 21/20; 21/20; 1; 21/20; 21/20; 1; 21/20; 11/10
Draw; 11/5; 11/5; 21/10; 9/4; 57/25; 9/4; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 9/4; 43/20; 11/5; 21/10; 11/5; 9/4; 21/10; 11/5; 9/4; 11/5; 9/4; 21/10; 21/10; 9/4; 23/10
Ipswich; 11/4; 29/10; 29/10; 11/4; 63/20; 11/4; 29/10; 13/5; 37/13; 29/10; 11/4; 14/5; 31/10; 3; 11/4; 14/5; 29/10; 3; 28/11; 14/5; 29/10; 3; 56/19; 1/50; 23/10; 3; 
META; english/championship/birmingham-v-ipswich; 2018-03-28 08:18:31 GMT+3; 2018-03-31 15:00; e70300-dr003
Birmingham; 1; 21/20; 21/20; 11/10; 11/10; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 19/20; 21/20; 1; 1; 68/67; 21/20; 21/20; 1; 21/20; 1; 21/20; 11/10; ; ; 
Draw; 11/5; 9/4; 21/10; 9/4; 23/10; 9/4; 11/5; 21/10; 9/4; 21/10; 11/5; 21/10; 9/4; 43/20; 11/5; 21/10; 9/4; 9/4; 21/10; 11/5; 9/4; 11/5; 9/4; 21/10; 9/4; 23/10
