META; english/championship/ipswich-v-birmingham; 2017-06-26 14:25:05 GMT+3; 2017-08-05 15:00; e70300-dr003
Ipswich; 6/4; 6/4; ; 7/5; ; 6/4; 31/20; 7/5; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 13/8; ; 16/11; 6/4; 6/4; 16/11; 13/8; ; 6/4; ; 6/4; ; 4/7; ; 
Birmingham; 7/4; 9/5; ; 7/4; ; 17/10; 9/5; 8/5; 9/5; 8/5; 8/5; 17/10; 7/4; 8/5; 7/4; ; 7/4; 7/4; 9/5; 7/4; 197/100; ; 9/5; ; 9/5; ; 13/10; ; 
Draw; 23/10; 23/10; ; 11/5; ; 23/10; 23/10; 11/5; 23/10; 9/4; 9/4; 5/2; 47/20; 11/5; 9/4; ; 9/4; 9/4; 9/4; 9/4; 23/10; ; 9/4; ; 23/10; ; 21/10; ; 
META; english/championship/ipswich-v-birmingham; 2017-07-21 16:28:23 GMT+3; 2017-08-05 15:00; e70300-dr003
Ipswich; 13/10; 13/10; ; 23/20; ; 6/4; 11/8; 13/10; 5/4; 13/10; 5/4; 11/8; 11/8; 7/5; 13/10; 5/4; 5/4; 5/4; 5/4; 7/5; ; 5/4; ; 7/5; ; ; 1/20; ; 
Birmingham; 21/10; 21/10; ; 11/5; ; 17/10; 21/10; 21/10; 11/5; 2; 2; 11/5; 2; 11/5; 11/5; 39/19; 11/5; 21/10; 21/10; 23/10; ; 28/13; ; 85/40; ; ; 1/14; ; 
Draw; 23/10; 11/5; ; 11/5; ; 23/10; 23/10; 11/5; 23/10; 23/10; 9/4; 11/5; 9/4; 23/10; 23/10; 28/13; 11/5; 9/4; 28/13; 58/25; ; 9/4; ; 23/10; ; ; 21/10; ; 
META; english/championship/ipswich-v-birmingham; 2017-07-24 13:30:52 GMT+3; 2017-08-05 15:00; e70300-dr003
Ipswich; 13/10; 13/10; ; 23/20; ; 11/8; 11/8; 13/10; 5/4; 13/10; 5/4; 11/8; 11/8; 7/5; 13/10; 5/4; 5/4; 5/4; 5/4; 7/5; ; 5/4; ; 7/5; ; ; 23/20; ; 
Birmingham; 21/10; 21/10; ; 11/5; ; 43/20; 85/40; 21/10; 11/5; 21/10; 2; 11/5; 2; 11/5; 11/5; 39/19; 11/5; 21/10; 21/10; 23/10; ; 28/13; ; 85/40; ; ; 13/8; ; 
Draw; 23/10; 11/5; ; 11/5; ; 23/10; 23/10; 11/5; 23/10; 23/10; 9/4; 11/5; 9/4; 23/10; 23/10; 28/13; 11/5; 9/4; 11/5; 58/25; ; 9/4; ; 23/10; ; ; 21/10; ; 
META; english/championship/ipswich-v-birmingham; 2017-07-27 14:45:22 GMT+3; 2017-08-05 15:00; e70300-dr003
Ipswich; 13/10; 13/10; ; 23/20; ; 11/8; 11/8; 13/10; 13/10; 6/5; 6/5; 11/8; 27/20; 7/5; 13/10; 6/5; 5/4; 5/4; 5/4; 7/5; ; 23/18; ; 13/10; ; ; 6/5; ; 
Birmingham; 21/10; 21/10; ; 11/5; ; 43/20; 21/10; 21/10; 9/4; 11/5; 21/10; 11/5; 21/10; 11/5; 11/5; 39/19; 11/5; 11/5; 21/10; 23/10; ; 11/5; ; 11/5; ; ; 7/4; ; 
Draw; 23/10; 11/5; ; 11/5; ; 23/10; 23/10; 11/5; 9/4; 23/10; 9/4; 11/5; 9/4; 23/10; 23/10; 11/5; 11/5; 11/5; 11/5; 58/25; ; 11/5; ; 23/10; ; ; 21/10; ; 
META; english/championship/ipswich-v-birmingham; 2017-07-31 12:01:16 GMT+3; 2017-08-05 15:00; e70300-dr003
Ipswich; 13/10; 13/10; ; 23/20; ; 11/8; 11/8; 13/10; 13/10; 6/5; 6/5; 11/8; 27/20; 7/5; 13/10; 6/5; 5/4; 5/4; 13/10; 36/25; ; 23/18; ; 13/10; ; ; 5/4; ; 
Birmingham; 21/10; 21/10; ; 11/5; ; 43/20; 21/10; 21/10; 9/4; 11/5; 21/10; 11/5; 21/10; 11/5; 11/5; 39/19; 11/5; 11/5; 28/13; 9/4; ; 11/5; ; 11/5; ; ; 2; ; 
Draw; 23/10; 11/5; ; 11/5; ; 23/10; 23/10; 11/5; 9/4; 23/10; 9/4; 11/5; 9/4; 23/10; 23/10; 11/5; 11/5; 11/5; 11/5; 23/10; ; 11/5; ; 23/10; ; ; 21/10; ; 
