META; english/championship/nottingham-forest-v-sunderland; 2017-12-26 12:48:03 GMT+2; 2017-12-30 15:00; e70300-dr003
Nottingham Forest; 21/20; 10/11; ; ; 101/ 100; 1; 1; 10/11; 9/10; ; 1; 1; ; 21/20; 21/20; 21/20; 9/10; 21/20; 9/10; 19/20; 9/10; 21/20; 21/20; 1; 21/20; ; ; ; 
Draw; 5/2; 5/2; ; ; 131/ 50; 13/5; 5/2; 5/2; 5/2; ; 13/5; 13/5; ; 5/2; 5/2; 13/5; 12/5; 27/11; 12/5; 13/5; 27/11; 13/5; 13/5; 51/20; 27/11; ; ; ; 
Sunderland; 12/5; 14/5; ; ; 61/20; 3; 13/5; 11/4; 3; ; 11/4; 5/2; ; 5/2; 13/5; 13/5; 3; 28/11; 3; 28/11; 56/19; 13/5; 5/2; 51/20; 28/11; ; ; ; 
