META; english/championship/sunderland-v-ipswich; 2018-01-30 12:19:16 GMT+2; 2018-02-03 15:00; e70300-dr003
Sunderland; 11/10; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; ; 11/10; 5/4; 6/5; ; ; 13/10; 5/4; 6/5; 11/10; 6/5; 11/10; 17/14; 11/10; 5/4; 5/4; 6/5; 6/5; ; 10/9; ; 
Draw; 12/5; 23/10; 21/10; 11/5; 58/25; 23/10; 11/5; ; 12/5; 11/5; 23/10; ; ; 43/20; 11/5; 23/10; 23/10; 11/5; 23/10; 9/4; 40/17; 9/4; 23/10; 11/5; 9/4; ; 9/5; ; 
Ipswich; 12/5; 9/4; 23/10; 23/10; 63/25; 12/5; 23/10; ; 12/5; 23/10; 23/10; ; ; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 11/5; 40/17; 12/5; 23/10; 12/5; 40/17; ; 9/4; ; 
