META; english/championship/ipswich-v-aston-villa; 2018-04-16 20:40:03 GMT+3; 2018-04-21 15:00; e70300-dr003
Aston Villa; 3/4; 8/11; 8/11; 3/4; 77/00; 7/10; 7/10; 8/13; 11/17; 7/10; 7/10; 7/10; 8/11; 7/10; 8/11; 14/19; 4/6; 5/7; 11/17; 7/10; 14/19; 4/6; 8/13; 4/7; 8/11; 8/11
Draw; 13/5; 13/5; 13/5; 13/5; 143/0; 11/4; 11/4; 13/5; 29/10; 13/5; 11/4; 13/5; 13/5; 14/5; 13/5; 11/4; 27/10; 27/10; 37/13; 14/5; 14/5; 14/5; 5/2; 21/10; 14/5; 14/5
Ipswich; 15/4; 4; 19/5; 15/4; 41/10; 4; 15/4; 7/2; 39/10; 19/5; 4; 4; 4; 50/13; 4; 38/11; 39/10; 4; 50/13; 15/4; 7/2; 10/3; 7/2; 7/2; ; 
META; english/championship/ipswich-v-aston-villa; 2018-04-17 20:42:21 GMT+3; 2018-04-21 15:00; e70300-dr003
Aston Villa; 3/4; 3/4; 3/4; 3/4; 8/11; 7/10; 4/6; 7/10; 8/11; 7/10; 7/10; 3/4; 8/11; 8/11; 5/7; 4/6; 5/7; 13/19; 8/11; 5/7; 4/6; 4/6; 4/7; 8/11; 8/11
Draw; 13/5; 13/5; 13/5; 59/20; 14/5; 11/4; 13/5; 29/10; 27/10; 11/4; 13/5; 27/10; 13/5; 13/5; 11/4; 27/10; 27/10; 14/5; 14/5; 14/5; 14/5; 5/2; 11/5; 14/5; 14/5
Ipswich; 15/4; 19/5; 19/5; 15/4; 41/10; 4; 15/4; 7/2; 4; 19/5; 19/5; 4; 19/5; 7/2; 15/4; 39/10; 4; 38/11; 19/5; 19/5; 39/10; 15/4; 7/2; 3; 4
META; english/championship/ipswich-v-aston-villa; 2018-04-19 08:17:45 GMT+3; 2018-04-21 15:00; e70300-dr003
Aston Villa; 3/4; 8/11; 3/4; 3/4; 3/4; 7/10; 4/6; 7/10; 8/11; 8/11; 3/4; 3/4; 3/4; 8/11; 8/11; 5/7; 4/6; 8/11; 13/19; 7/10; 5/7; 4/6; 4/6; 4/6; 8/11; 8/11
Draw; 13/5; 13/5; 13/5; 59/20; 14/5; 11/4; 13/5; 29/10; 13/5; 11/4; 5/2; 14/5; 13/5; 13/5; 13/5; 11/4; 27/10; 11/4; 14/5; 14/5; 14/5; 14/5; 13/5; 12/5; 14/5; 14/5
Ipswich; 15/4; 19/5; 19/5; 15/4; 41/10; 15/4; 15/4; 7/2; 4; 18/5; 4; 67/20; 4; 7/2; 15/4; 39/10; 4; 50/13; 19/5; 4; 75/19; 15/4; 7/2; 7/2; 4; 
META; english/championship/ipswich-v-aston-villa; 2018-04-20 10:27:10 GMT+3; 2018-04-21 15:00; e70300-dr003
Aston Villa; 3/4; 8/11; 4/6; 7/10; 71/00; 3/4; 4/6; 4/6; 7/10; 4/6; 8/11; 7/10; 7/10; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 13/19; 8/11; 9/13; 4/6; 4/6; 4/6; 4/6; 4/6
Draw; 11/4; 13/5; 27/10; 13/5; 3; 14/5; 11/4; 13/5; 56/19; 27/10; 11/4; 13/5; 11/4; 27/10; 13/5; 13/5; 14/5; 27/10; 14/5; 37/13; 14/5; 37/13; 14/5; 27/10; 12/5; 3; 14/5
Ipswich; 17/4; 19/5; 21/5; 4; 15/4; 17/4; 4; 21/5; 4; 4; 4; 21/5; 4; 21/5; 19/5; 22/5; 17/4; 17/4; 4; 7/2; 9/2; 9/2; ; ; ; ; 
META; english/championship/ipswich-v-aston-villa; 2018-04-21 14:19:14 GMT+3; 2018-04-21 15:00; e70300-dr003
Aston Villa; 8/11; 8/11; 8/11; 7/10; 37/50; 3/4; 8/11; 4/6; 13/18; 8/11; 8/11; 7/10; 8/11; 8/11; 7/10; 5/7; 4/6; 8/11; 5/7; 3/4; 5/7; 4/6; 8/11; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 71/25; 14/5; 11/4; 13/5; 11/4; 13/5; 14/5; 11/4; 13/5; 13/5; 13/5; 27/10; 27/10; 11/4; 45/17; 14/5; 11/4; 14/5; 14/5; 11/4; 14/5; 27/10
Ipswich; 9/2; 4; 4; 22/5; 15/4; 17/4; 4; 4; 21/5; 15/4; 15/4; 4; 7/2; 4; 41/10; 4; 50/13; 19/5; 17/4; 41/10; 17/4; 4; 21/5; 21/5; 22/5; 
