META; english/championship/nottingham-forest-v-ipswich; 2018-04-10 08:18:30 GMT+3; 2018-04-14 15:00; e70300-dr003
Nottingham Forest; 17/20; 17/20; 5/6; 9/10; 20/23; 5/6; 9/10; 20/23; 10/11; 17/20; 10/11; 11/13; 9/10; 17/20; 10/11; 4/5; 5/6; 
Draw; 23/10; 12/5; 9/4; 12/5; 23/10; 23/10; 23/10; 12/5; 12/5; 23/10; 12/5; 40/17; 9/4; 23/10; 12/5; 40/17; 9/5; 12/5
Ipswich; 7/2; 7/2; 16/5; 7/2; 7/2; 10/3; 13/4; 16/5; 31/10; 7/2; 38/11; 7/2; 16/5; 18/5; 38/11; 23/10; 10/3; 
META; english/championship/nottingham-forest-v-ipswich; 2018-04-11 12:55:45 GMT+3; 2018-04-14 15:00; e70300-dr003
Nottingham Forest; 17/20; 17/20; 5/6; 23/25; 9/10; 20/23; 5/6; 9/10; 9/10; 20/23; 10/11; 17/20; 10/11; 11/13; 9/10; 17/20; 10/11; 5/6; 9/10
Draw; 23/10; 12/5; 9/4; 123/50; 12/5; 23/10; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; 40/17; 9/4; 23/10; 12/5; 40/17; 21/10; 12/5
Ipswich; 7/2; 7/2; 16/5; 15/4; 7/2; 7/2; 10/3; 13/4; 18/5; 16/5; 100/30; 7/2; 38/11; 7/2; 16/5; 18/5; 38/11; 3; 7/2
META; english/championship/nottingham-forest-v-ipswich; 2018-04-11 20:19:46 GMT+3; 2018-04-14 15:00; e70300-dr003
Nottingham Forest; 17/20; 10/11; 20/23; 10/11; 23/25; 10/11; 20/23; 5/6; 9/10; 10/11; 17/20; 20/23; 9/10; 10/11; 10/11; 10/11; 9/10; 8/9; 9/10; 20/23; 10/11; 5/6; 5/6; 4/5; 9/10; 9/10
Draw; 23/10; 12/5; 23/10; 12/5; 127/0; 12/5; 12/5; 23/10; 23/10; 23/10; 12/5; 9/4; 12/5; 5/2; 12/5; 27/11; 9/4; 12/5; 23/10; 5/2; 27/11; 12/5; 9/4; 23/10; 5/2; 5/2
Ipswich; 7/2; 16/5; 13/4; 3; 18/5; 10/3; 16/5; 16/5; 13/4; 10/3; 10/3; 7/2; 17/5; 100/0; 10/3; 57/17; 13/4; 37/13; 16/5; 10/3; 57/17; 3; 27/10; 10/3; 7/2; 
META; english/championship/nottingham-forest-v-ipswich; 2018-04-12 10:46:58 GMT+3; 2018-04-14 15:00; e70300-dr003
Nottingham Forest; 17/20; 17/20; 17/20; 10/11; 22/25; 20/23; 5/6; 4/5; 9/10; 17/20; 5/6; 5/6; 17/20; 5/6; 17/20; 5/6; 11/13; 5/6; 9/10; 17/20; 13/15; 4/5; 5/6; 4/5; 5/6; 5/6
Draw; 5/2; 12/5; 12/5; 23/10; 13/5; 5/2; 12/5; 12/5; 23/10; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 9/4; 12/5; 23/10; 5/2; 5/2; 5/2; 23/10; 23/10; 13/5; 12/5
Ipswich; 16/5; 7/2; 17/5; 10/3; 15/4; 18/5; 10/3; 10/3; 13/4; 7/2; 10/3; 7/2; 7/2; 15/4; 7/2; 7/2; 7/2; 31/10; 16/5; 7/2; 7/2; 7/2; 3; 27/10; 7/2; 7/2
META; english/championship/nottingham-forest-v-ipswich; 2018-04-13 08:17:51 GMT+3; 2018-04-14 15:00; e70300-dr003
Nottingham Forest; 10/11; 17/20; 5/6; 5/6; 89/100; 20/23; 5/6; 4/5; 4/5; 5/6; 9/10; 5/6; 9/10; 17/20; 10/11; 17/20; 11/13; 5/6; 7/9; 20/23; 5/6; 5/6; 5/6; 8/11; 4/5; 9/10
Draw; 13/5; 5/2; 12/5; 12/5; 131/50; 5/2; 5/2; 12/5; 28/11; 12/5; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 9/4; 27/11; 5/2; 13/5; 28/11; 5/2; 12/5; 9/4; 9/4; 12/5
Ipswich; 7/2; 10/3; 7/2; 7/2; 73/20; 18/5; 10/3; 10/3; 37/10; 18/5; 10/3; 7/2; 3; 7/2; 7/2; 10/3; 38/11; 7/2; 18/5; 18/5; 15/4; 7/2; 7/2; 3; 3; 7/2
META; english/championship/nottingham-forest-v-ipswich; 2018-04-13 09:16:58 GMT+3; 2018-04-14 15:00; e70300-dr003
Nottingham Forest; 10/11; 17/20; 5/6; 5/6; 89/100; 20/23; 5/6; 4/5; 4/5; 5/6; 9/10; 5/6; 9/10; 17/20; 10/11; 17/20; 11/13; 5/6; 7/9; 20/23; 5/6; 5/6; 5/6; 8/11; 4/5; 9/10
Draw; 13/5; 5/2; 12/5; 12/5; 131/50; 5/2; 5/2; 12/5; 28/11; 12/5; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 9/4; 27/11; 5/2; 13/5; 28/11; 5/2; 12/5; 9/4; 9/4; 12/5
Ipswich; 7/2; 10/3; 7/2; 7/2; 73/20; 18/5; 10/3; 10/3; 37/10; 18/5; 10/3; 7/2; 3; 7/2; 7/2; 10/3; 38/11; 7/2; 18/5; 18/5; 15/4; 7/2; 7/2; 3; 3; 7/2
META; english/championship/nottingham-forest-v-ipswich; 2018-04-13 16:18:22 GMT+3; 2018-04-14 15:00; e70300-dr003
Nottingham Forest; 10/11; 17/20; 4/5; 17/20; 5/6; 20/23; 4/5; 4/5; 4/5; 4/5; 9/10; 4/5; 9/10; 17/20; 5/6; 17/20; 13/15; 11/13; 5/6; 7/9; 17/20; 10/11; 4/5; 5/6; 5/6; 4/5; 9/10
Draw; 13/5; 5/2; 12/5; 9/4; 11/4; 5/2; 5/2; 12/5; 28/11; 5/2; 5/2; 5/2; 5/2; 49/20; 13/5; 5/2; 5/2; 9/4; 28/11; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 27/10; 5/2
Ipswich; 7/2; 10/3; 18/5; 18/5; 19/5; 18/5; 7/2; 10/3; 37/10; 18/5; 10/3; 7/2; 3; 7/2; 15/4; 7/2; 33/10; 7/2; 7/2; 18/5; 19/5; 33/10; 15/4; 7/2; 7/2; 7/2; 7/2
META; english/championship/nottingham-forest-v-ipswich; 2018-04-14 12:20:23 GMT+3; 2018-04-14 15:00; e70300-dr003
Nottingham Forest; 5/6; 4/5; 17/20; 5/6; 87/00; 17/20; 5/6; 4/5; 4/5; 17/20; 17/20; 4/5; 5/6; 5/6; 17/20; 5/6; 5/6; 11/13; 16/19; 7/9; 17/20; 13/15; 5/6; 5/6; 5/6; 5/6; 5/6
Draw; 27/10; 5/2; 13/5; 12/5; 14/5; 13/5; 13/5; 5/2; 28/11; 13/5; 5/2; 5/2; 13/5; 5/2; 14/5; 5/2; 28/11; 5/2; 13/5; 5/2; 13/5; 13/5; 14/5; 5/2; 13/5; 13/5; 13/5
Ipswich; 15/4; 18/5; 7/2; 7/2; 7/2; 18/5; 10/3; 7/2; 37/10; 18/5; 7/2; 7/2; 10/3; 7/2; 100/0; 7/2; 17/5; 7/2; 57/17; 18/5; 19/5; 17/5; 10/3; 7/2; 7/2; 7/2; 7/2
