META; english/championship/bristol-city-v-barnsley; 2017-06-26 14:24:57 GMT+3; 2017-08-05 15:00; e70300-dr003
Bristol City; 5/6; 10/11; ; 1; ; 5/6; 20/23; 5/6; 9/10; 10/11; 10/11; 20/21; 10/11; 5/6; 10/11; ; 5/6; 5/6; 5/6; 5/6; 20/21; ; 11/13; ; 11/13; ; 4/6; ; 
Draw; 5/2; 5/2; ; 23/10; ; 5/2; 5/2; 23/10; 5/2; 9/4; 9/4; 23/10; 49/20; 23/10; 5/2; ; 27/11; 12/5; 12/5; 27/11; 51/20; ; 27/11; ; 5/2; ; 11/5; ; 
Barnsley; 10/3; 3; ; 12/5; ; 16/5; 33/10; 11/4; 3; 11/4; 11/4; 3; 3; 11/4; 3; ; 41/13; 10/3; 3; 41/13; 17/5; ; 16/5; ; 13/4; ; 11/8; ; 
META; english/championship/bristol-city-v-barnsley; 2017-07-21 16:28:15 GMT+3; 2017-08-05 15:00; e70300-dr003
Bristol City; 10/11; 17/20; 9/10; 10/11; ; 5/6; 20/23; 5/6; 11/13; 11/13; 17/20; 20/23; 9/10; 17/20; 10/11; 11/13; 5/6; 5/6; 13/15; 10/11; 13/15; 11/13; ; 9/10; 10/11; ; 1/100; ; 
Draw; 5/2; 11/4; 13/5; 5/2; ; 5/2; 11/4; 13/5; 5/2; 5/2; 5/2; 13/5; 13/5; 14/5; 13/5; 5/2; 12/5; 12/5; 28/11; 11/4; 5/2; 27/11; ; 13/5; 12/5; ; 19/10; ; 
Barnsley; 3; 3; 3; 13/5; ; 16/5; 3; 3; 13/4; 29/10; 29/10; 3; 3; 16/5; 3; 14/5; 10/3; 3; 56/19; 10/3; 37/13; 16/5; ; 3; 14/5; ; 13/8; ; 
META; english/championship/bristol-city-v-barnsley; 2017-07-24 13:30:42 GMT+3; 2017-08-05 15:00; e70300-dr003
Bristol City; 17/20; 17/20; 17/20; 10/11; ; 17/20; 5/6; 5/6; 11/13; 5/6; 5/6; 5/6; 17/20; 4/5; 5/6; 5/6; 5/6; 5/6; 4/5; 10/11; 5/6; 11/13; ; 9/10; 10/11; ; 4/5; ; 
Draw; 13/5; 11/4; 27/10; 5/2; ; 27/10; 11/4; 13/5; 5/2; 27/10; 13/5; 13/5; 13/5; 13/5; 11/4; 13/5; 12/5; 12/5; 13/5; 11/4; 5/2; 27/11; ; 11/4; 12/5; ; 5/2; ; 
Barnsley; 3; 3; 16/5; 13/5; ; 16/5; 16/5; 3; 13/4; 11/4; 14/5; 16/5; 16/5; 3; 16/5; 14/5; 10/3; 3; 31/10; 10/3; 3; 16/5; ; 3; 14/5; ; 5/2; ; 
META; english/championship/bristol-city-v-barnsley; 2017-07-27 14:45:15 GMT+3; 2017-08-05 15:00; e70300-dr003
Bristol City; 17/20; 4/5; 17/20; 10/11; ; 17/20; 17/20; 5/6; 5/6; 5/6; 5/6; 20/23; 17/20; 4/5; 5/6; 5/6; 5/6; 5/6; 4/5; 10/11; 5/6; 5/6; ; 9/10; 20/21; ; 4/5; ; 
Draw; 13/5; 13/5; 27/10; 5/2; ; 11/4; 13/5; 13/5; 27/10; 13/5; 5/2; 5/2; 13/5; 13/5; 11/4; 5/2; 12/5; 13/5; 13/5; 11/4; 5/2; 45/17; ; 11/4; 12/5; ; 2; ; 
Barnsley; 3; 16/5; 16/5; 13/5; ; 33/10; 10/3; 3; 16/5; 29/10; 3; 16/5; 16/5; 3; 16/5; 29/10; 10/3; 3; 31/10; 10/3; 3; 31/10; ; 3; 29/10; ; 12/5; ; 
META; english/championship/bristol-city-v-barnsley; 2017-07-31 12:01:08 GMT+3; 2017-08-05 15:00; e70300-dr003
Bristol City; 5/6; 4/5; 5/6; 4/5; ; 17/20; 4/5; 4/5; 5/6; 4/5; 3/4; 5/6; 4/5; 3/4; 5/6; 8/11; 4/5; 5/6; 4/5; 17/20; 13/16; 5/6; ; 5/6; 20/21; ; 5/6; ; 
Draw; 13/5; 11/4; 27/10; 5/2; ; 11/4; 11/4; 11/4; 27/10; 11/4; 27/10; 5/2; 27/10; 11/4; 11/4; 13/5; 12/5; 13/5; 45/17; 14/5; 5/2; 45/17; ; 14/5; 12/5; ; 5/2; ; 
Barnsley; 16/5; 16/5; 10/3; 3; ; 33/10; 10/3; 10/3; 16/5; 16/5; 16/5; 10/3; 16/5; 16/5; 16/5; 31/10; 7/2; 3; 13/4; 18/5; 31/10; 31/10; ; 3; 14/5; ; 3; ; 
