META; english/championship/derby-v-fulham; 2018-02-27 18:17:25 GMT+2; 2018-03-03 15:00; e70300-dr003
Derby; 31/20; 6/4; 6/4; 6/4; 31/20; 13/10; 6/4; 5/4; 17/11; 6/4; 6/4; 6/4; ; 6/4; 6/4; 6/4; 16/11; 16/11; 25/18; 17/11; 6/4; 6/4; 16/11; ; 7/5; 11/8; 6/4
Fulham; 9/5; 7/4; 7/4; 9/5; 39/20; 21/10; 9/5; 2; 9/5; 9/5; 9/5; 9/5; ; 9/5; 9/5; 9/5; 7/4; 24/13; 11/7; 7/4; 9/5; 9/5; 9/5; ; 9/5; 7/4; 19/10
Draw; 11/5; 12/5; 23/10; 23/10; 123/50; 5/2; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; ; 47/20; 12/5; 23/10; 9/4; 9/4; 12/5; 9/4; 12/5; 23/10; 9/4; ; 23/10; 12/5; 12/5
META; english/championship/derby-v-fulham; 2018-03-01 15:59:42 GMT+2; ; e70300-dr003
Derby d w d l d d; 31/20; 6/4; 6/4; 6/4; 13/8; 13/10; 6/4; 5/4; 17/11; 31/20; 31/20; 31/20; 31/20; 8/5; 6/4; 6/4; 6/4; 16/11; 32/21; 17/11; 31/20; 8/5; 6/4; 6/4; 6/4; 6/4
Fulham w w d w d w; 9/5; 7/4; 7/4; 9/5; 93/50; 21/10; 9/5; 2; 9/5; 7/4; 7/4; 9/5; 8/5; 7/4; 9/5; 7/4; 7/4; 24/13; 25/14; 7/4; 7/4; 9/5; 7/4; 7/4; 9/5; 15/8
Draw; 11/5; 12/5; 23/10; 23/10; 61/25; 5/2; 9/4; 12/5; 23/10; 23/10; 12/5; 9/4; 5/2; 47/20; 12/5; 23/10; 11/5; 9/4; 12/5; 9/4; 12/5; 23/10; 23/10; 12/5; 12/5; 
META; english/championship/derby-v-fulham; 2018-03-02 01:01:05 GMT+2; 2018-03-03 15:00; e70300-dr003
Derby; 31/20; 6/4; 6/4; 6/4; 8/5; 13/8; 6/4; 6/4; 6/4; 31/20; 31/20; 6/4; 31/20; 31/20; 6/4; 6/4; 6/4; 16/11; 32/21; 16/11; 8/5; 8/5; 6/4; 6/4; 6/4; 6/4
Fulham; 9/5; 7/4; 7/4; 9/5; 15/8; 19/10; 7/4; 9/5; 24/13; 7/4; 7/4; 7/4; 8/5; 7/4; 9/5; 7/4; 7/4; 24/13; 25/14; 9/5; 15/8; 9/5; 7/4; 9/5; 7/4; 9/5
Draw; 11/5; 12/5; 23/10; 23/10; 62/25; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 12/5; 5/2; 47/20; 12/5; 23/10; 11/5; 9/4; 12/5; 40/17; 12/5; 23/10; 9/4; 21/10; 12/5; 
META; english/championship/derby-v-fulham; 2018-03-02 03:01:06 GMT+2; 2018-03-03 15:00; e70300-dr003
Derby; 31/20; 6/4; 6/4; 6/4; 8/5; 13/8; 6/4; 6/4; 6/4; 31/20; 31/20; 6/4; 31/20; 31/20; 6/4; 6/4; 6/4; 16/11; 32/21; 16/11; 8/5; 6/4; 6/4; 6/4; 6/4
Fulham; 9/5; 7/4; 7/4; 9/5; 15/8; 19/10; 7/4; 9/5; 24/13; 7/4; 7/4; 7/4; 8/5; 7/4; 9/5; 7/4; 7/4; 24/13; 25/14; 9/5; 15/8; 7/4; 9/5; 7/4; 9/5
Draw; 11/5; 12/5; 23/10; 23/10; 62/25; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 12/5; 5/2; 47/20; 12/5; 23/10; 11/5; 9/4; 12/5; 40/17; 12/5; 9/4; 21/10; 12/5; 
META; english/championship/derby-v-fulham; 2018-03-02 04:01:06 GMT+2; 2018-03-03 15:00; e70300-dr003
Derby; 31/20; 6/4; 6/4; 6/4; 8/5; 13/8; 6/4; 6/4; 6/4; 31/20; 31/20; 31/20; 31/20; 31/20; 6/4; 6/4; 6/4; 16/11; 32/21; 16/11; 8/5; 8/5; 6/4; 6/4; 6/4; 6/4
Fulham; 9/5; 7/4; 7/4; 9/5; 15/8; 19/10; 9/5; 9/5; 24/13; 7/4; 7/4; 7/4; 8/5; 7/4; 9/5; 7/4; 7/4; 24/13; 25/14; 9/5; 15/8; 9/5; 7/4; 9/5; 7/4; 9/5
Draw; 11/5; 12/5; 23/10; 23/10; 62/25; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; 5/2; 47/20; 12/5; 23/10; 11/5; 9/4; 12/5; 40/17; 12/5; 23/10; 23/10; 11/5; 12/5; 
META; english/championship/derby-v-fulham; 2018-03-02 05:01:07 GMT+2; 2018-03-03 15:00; e70300-dr003
Derby; 31/20; 6/4; 6/4; 6/4; 8/5; 13/8; 6/4; 6/4; 6/4; 31/20; 31/20; 31/20; 31/20; 31/20; 6/4; 6/4; 6/4; 16/11; 32/21; 16/11; 8/5; 8/5; 6/4; 6/4; 6/4; 6/4
Fulham; 9/5; 7/4; 7/4; 9/5; 15/8; 19/10; 7/4; 9/5; 24/13; 7/4; 7/4; 7/4; 8/5; 7/4; 9/5; 7/4; 7/4; 24/13; 25/14; 9/5; 15/8; 9/5; 7/4; 9/5; 7/4; 9/5
Draw; 11/5; 12/5; 23/10; 23/10; 62/25; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; 5/2; 47/20; 12/5; 23/10; 11/5; 9/4; 12/5; 40/17; 12/5; 23/10; 23/10; 11/5; 12/5; 
META; english/championship/derby-v-fulham; 2018-03-02 07:01:06 GMT+2; 2018-03-03 15:00; e70300-dr003
Derby; 13/8; 6/4; 6/4; 6/4; 8/5; 13/8; 6/4; 6/4; 6/4; 31/20; 31/20; 31/20; 31/20; 31/20; 6/4; 6/4; 6/4; 16/11; 32/21; 16/11; 8/5; 8/5; 6/4; 6/4; 6/4; 6/4
Fulham; 15/8; 7/4; 7/4; 9/5; 93/50; 19/10; 7/4; 9/5; 24/13; 7/4; 7/4; 7/4; 8/5; 7/4; 9/5; 7/4; 7/4; 24/13; 25/14; 9/5; 15/8; 9/5; 7/4; 9/5; 7/4; 9/5
Draw; 12/5; 12/5; 23/10; 23/10; 5/2; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; 5/2; 47/20; 12/5; 23/10; 9/4; 9/4; 12/5; 40/17; 12/5; 23/10; 23/10; 11/5; 12/5; 
META; english/championship/derby-v-fulham; 2018-03-02 08:20:54 GMT+2; 2018-03-03 15:00; e70300-dr003
Derby; 13/8; 6/4; 6/4; 6/4; 8/5; 13/8; 6/4; 6/4; 6/4; 31/20; 31/20; 6/4; 31/20; 31/20; 6/4; 6/4; 6/4; 16/11; 32/21; 16/11; 8/5; 8/5; 6/4; 6/4; 6/4; 6/4
Fulham; 15/8; 7/4; 7/4; 9/5; 93/50; 19/10; 7/4; 9/5; 24/13; 7/4; 7/4; 7/4; 8/5; 7/4; 9/5; 7/4; 7/4; 24/13; 25/14; 9/5; 15/8; 9/5; 7/4; 9/5; 7/4; 9/5
Draw; 12/5; 12/5; 23/10; 23/10; 5/2; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 12/5; 5/2; 47/20; 12/5; 12/5; 9/4; 9/4; 12/5; 40/17; 12/5; 23/10; 23/10; 11/5; 12/5; 
META; english/championship/derby-v-fulham; 2018-03-02 09:01:06 GMT+2; 2018-03-03 15:00; e70300-dr003
Derby; 13/8; 6/4; 6/4; 6/4; 8/5; 13/8; 6/4; 6/4; 6/4; 31/20; 31/20; 31/20; 31/20; 31/20; 6/4; 6/4; 6/4; 16/11; 32/21; 16/11; 8/5; 8/5; 6/4; 6/4; 6/4; 6/4
Fulham; 15/8; 7/4; 7/4; 9/5; 93/50; 19/10; 7/4; 9/5; 24/13; 7/4; 7/4; 7/4; 8/5; 7/4; 9/5; 7/4; 7/4; 24/13; 25/14; 9/5; 15/8; 9/5; 7/4; 9/5; 7/4; 9/5
Draw; 12/5; 12/5; 23/10; 23/10; 5/2; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; 5/2; 47/20; 12/5; 23/10; 9/4; 9/4; 12/5; 40/17; 12/5; 23/10; 23/10; 11/5; 12/5; 
META; english/championship/derby-v-fulham; 2018-03-02 14:00:04 GMT+2; 2018-03-03 15:00; e70300-dr003
Derby; 13/8; 6/4; 6/4; 13/8; 161/100; 8/5; 6/4; 6/4; 6/4; 6/4; 31/20; 31/20; 31/20; 31/20; 6/4; 6/4; 16/11; 16/11; 32/21; 16/11; 8/5; 8/5; 6/4; 8/5; 13/8; 6/4
Fulham; 15/8; 7/4; 7/4; 7/4; 46/25; 15/8; 7/4; 7/4; 24/13; 7/4; 7/4; 7/4; 8/5; 7/4; 9/5; 7/4; 17/10; 24/13; 25/14; 9/5; 19/10; 9/5; 7/4; 7/4; 9/5; 9/5
Draw; 12/5; 12/5; 23/10; 11/5; 5/2; 5/2; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; 5/2; 47/20; 12/5; 23/10; 23/10; 9/4; 12/5; 40/17; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10
META; english/championship/derby-v-fulham; 2018-03-02 16:19:41 GMT+2; 2018-03-03 15:00; e70300-dr003
Derby; 13/8; 6/4; 6/4; 13/8; 8/5; 8/5; 6/4; 6/4; 6/4; 6/4; 31/20; 31/20; 31/20; 31/20; 6/4; 6/4; 6/4; 16/11; 32/21; 16/11; 8/5; 8/5; 6/4; 6/4; 13/8; 7/5
Fulham; 15/8; 7/4; 7/4; 7/4; 191/100; 15/8; 7/4; 7/4; 24/13; 9/5; 7/4; 7/4; 8/5; 7/4; 9/5; 7/4; 7/4; 24/13; 19/10; 9/5; 19/10; 9/5; 7/4; 9/5; 9/5; 7/4
Draw; 12/5; 12/5; 23/10; 11/5; 121/50; 5/2; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; 5/2; 47/20; 12/5; 23/10; 9/4; 9/4; 11/5; 40/17; 12/5; 23/10; 9/4; 23/10; 12/5; 23/10
META; english/championship/derby-v-fulham; 2018-03-02 18:52:43 GMT+2; 2018-03-03 15:00; e70300-dr003
Derby; 13/8; 6/4; 6/4; 13/8; 8/5; 8/5; 6/4; 6/4; 6/4; 6/4; 31/20; 31/20; 31/20; 31/20; 6/4; 6/4; 6/4; 16/11; 32/21; 16/11; 8/5; 8/5; 6/4; 6/4; 13/8; 7/5
Fulham; 15/8; 7/4; 7/4; 7/4; 191/100; 15/8; 7/4; 7/4; 24/13; 9/5; 7/4; 7/4; 8/5; 7/4; 9/5; 7/4; 17/10; 24/13; 19/10; 9/5; 19/10; 9/5; 7/4; 9/5; 9/5; 7/4
Draw; 12/5; 12/5; 23/10; 11/5; 121/50; 5/2; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; 5/2; 47/20; 12/5; 23/10; 9/4; 9/4; 11/5; 40/17; 12/5; 23/10; 9/4; 23/10; 12/5; 23/10
META; english/championship/derby-v-fulham; 2018-03-03 12:19:14 GMT+2; 2018-03-03 15:00; e70300-dr003
Derby; 13/8; 6/4; 31/20; 13/8; 163/100; 8/5; 8/5; 6/4; 6/4; 8/5; 31/20; 6/4; 6/4; 31/20; 6/4; 6/4; 17/11; 16/11; 17/11; 16/11; 13/8; 8/5; 17/11; 8/5; 13/8; 7/5
Fulham; 15/8; 7/4; 9/5; 7/4; 15/8; 15/8; 9/5; 7/4; 24/13; 9/5; 7/4; 17/10; 7/4; 7/4; 9/5; 7/4; 7/4; 24/13; 7/4; 9/5; 9/5; 9/5; 9/5; 7/4; 9/5; 15/8
Draw; 12/5; 12/5; 12/5; 11/5; 121/50; 5/2; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 47/20; 12/5; 23/10; 40/17; 9/4; 12/5; 40/17; 12/5; 23/10; 40/17; 23/10; 12/5; 11/5
META; english/championship/derby-v-fulham; 2018-05-07 10:33:05 GMT+3; 2018-05-11 19:45; e70300-dr003
Fulham; 31/20; 6/4; 13/8; 163/00; 8/5; 6/4; 8/5; 6/4; 31/20; 13/8; 6/4; 17/11; 17/11; 23/15; 8/5; 31/20; 8/5; 7/5; 6/4
Derby; 13/8; 7/4; 6/4; 37/20; 7/4; 17/10; 8/5; 17/10; 9/5; 7/4; 17/10; 7/4; 8/5; 6/4; 8/5; 7/4; 9/5; 13/8; 9/5
Draw; 12/5; 12/5; 11/5; 49/20; 23/10; 9/4; 12/5; 12/5; 11/5; 23/10; 12/5; 40/17; 23/10; 23/10; 40/17; 12/5; 40/17; 9/4; 12/5
META; english/championship/derby-v-fulham; 2018-05-08 08:12:34 GMT+3; 2018-05-11 19:45; e70300-dr003
Fulham; 7/5; 7/5; 7/5; 6/4; 153/00; 6/4; 6/4; 7/5; 16/11; 7/5; 29/20; 29/20; 7/5; 29/20; 6/4; 7/5; 16/11; 17/11; 22/15; 10/7; 29/20; 16/11; 7/5; 6/4
Derby; 9/5; 19/10; 9/5; 9/5; 39/20; 19/10; 9/5; 9/5; 24/13; 9/5; 15/8; 15/8; 15/8; 39/20; 15/8; 15/8; 19/10; 8/5; 19/10; 9/5; 15/8; 19/10; 19/10; 19/10
Draw; 12/5; 23/10; 11/5; 23/10; 5/2; 23/10; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 23/10; 23/10; 40/17; 23/10; 23/10; 40/17; 12/5; 40/17; 9/4; 23/10
META; english/championship/derby-v-fulham; 2018-05-09 10:12:39 GMT+3; 2018-05-11 19:45; e70300-dr003
Fulham; 7/5; 7/5; 7/5; 6/4; 77/50; 6/4; 6/4; 7/5; 16/11; 7/5; 29/20; 29/20; 7/5; 29/20; 6/4; 7/5; 16/11; 16/11; 22/15; 10/7; 29/20; 6/4; 6/4; 5/4; 6/4
Derby; 15/8; 19/10; 9/5; 9/5; 49/25; 19/10; 15/8; 9/5; 24/13; 9/5; 15/8; 15/8; 15/8; 39/20; 15/8; 15/8; 19/10; 7/4; 19/10; 9/5; 15/8; 19/10; 19/10; 17/10; 2
Draw; 23/10; 12/5; 11/5; 23/10; 123/0; 23/10; 9/4; 9/4; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 23/10; 23/10; 23/10; 9/4; 23/10; 40/17; 12/5; 23/10; 9/4; 9/5; 23/10
META; english/championship/derby-v-fulham; 2018-05-10 12:12:32 GMT+3; 2018-05-11 19:45; e70300-dr003
Fulham; 6/4; 7/5; 7/5; 6/4; 6/4; 6/4; 7/5; 7/5; 16/11; 29/20; 29/20; 29/20; 7/5; 29/20; 6/4; 7/5; 16/11; 7/5; 6/4; 10/7; 6/4; 16/11; 7/5; 7/5; 6/4; 6/4; 6/4
Derby; 2; 19/10; 9/5; 51/25; 19/10; 19/10; 9/5; 24/13; 19/10; 19/10; 19/10; 15/8; 39/20; 15/8; 19/10; 37/19; 2; 24/13; 9/5; 2; 2; 19/10; 2; 2; ; ; 
Draw; 12/5; 23/10; 9/4; 23/10; 61/25; 23/10; 9/4; 9/4; 12/5; 23/10; 23/10; 11/5; 11/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 40/17; 12/5; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10
META; english/championship/derby-v-fulham; 2018-05-11 13:01:37 GMT+3; 2018-05-11 19:45; e70300-dr003
Fulham; 6/4; 6/4; 29/20; 7/5; 6/4; 29/20; 7/5; 7/5; 6/4; 7/5; 7/5; 29/20; 6/4; 29/20; 7/5; 7/5; 7/5; 7/5; 15/11; 31/21; 6/4; 16/11; 7/5; 7/5; 6/4; 6/4; 6/4
Derby; 2; 2; 19/10; 21/10; 2; 15/8; 19/10; 2; 2; 2; 2; 2; 39/19; 15/8; 2; 21/10; 2; 21/10; 21/10; 21/10; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 12/5; 23/10; 47/20; 23/10; 9/4; 9/4; 9/4; 23/10; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 9/4; 23/10; 40/17; 11/5; 12/5; 23/10; 9/4; 9/4; 23/10; 23/10; 23/10
