Draw; 5/2; 23/10; 12/5; 12/5; 5/2; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 13/5; 12/5; 12/5; 23/10; 23/10; 9/4; 23/10; ; 12/5; 9/4; 12/5; 9/4; ; 23/10; 2; 12/5
Yeovil; 3; 29/10; 31/10; 14/5; 11/4; 13/5; 29/10; 13/5; 14/5; 14/5; 14/5; 14/5; 59/20; 27/10; 11/4; 14/5; 29/10; 13/5; 14/5; 29/10; ; 9/4; 56/19; 3; 56/19; ; 14/5; 5/2; 3
META; english/league-2/barnet-v-yeovil; 2017-03-14 11:46:25 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 21/20; 1; 21/20; 1; 1; 10/11; 20/21; 1; 1; 20/21; 1; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; ; 1; 39/40; 1; 39/40; ; 1; 10/11; 1
Draw; 5/2; 23/10; 12/5; 12/5; 5/2; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 13/5; 12/5; 5/2; 23/10; 23/10; 9/4; 23/10; ; 12/5; 9/4; 12/5; 9/4; ; 23/10; 2; 12/5
Yeovil; 3; 29/10; 31/10; 14/5; 11/4; 13/5; 29/10; 13/5; 14/5; 14/5; 14/5; 14/5; 59/20; 27/10; 11/4; 3; 29/10; 13/5; 14/5; 29/10; ; 9/4; 56/19; 3; 56/19; ; 14/5; 5/2; 3
META; english/league-2/barnet-v-yeovil; 2017-03-14 12:23:08 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 21/20; 1; 21/20; 1; 1; 10/11; 20/21; 1; 1; 20/21; 1; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; ; 1; 39/40; 1; 39/40; ; 1; 10/11; 1
Draw; 5/2; 23/10; 12/5; 12/5; 5/2; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 13/5; 12/5; 5/2; 23/10; 23/10; 9/4; 23/10; ; 12/5; 9/4; 12/5; 9/4; ; 23/10; 2; 12/5
Yeovil; 3; 29/10; 31/10; 14/5; 11/4; 13/5; 29/10; 13/5; 14/5; 14/5; 14/5; 14/5; 59/20; 27/10; 11/4; 3; 29/10; 13/5; 14/5; 29/10; ; 9/4; 56/19; 3; 56/19; ; 14/5; 5/2; 3
META; english/league-2/barnet-v-yeovil; 2017-03-14 12:55:49 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 21/20; 1; 21/20; 1; 1; 10/11; 20/21; 1; 1; 20/21; 1; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; ; 1; 39/40; 1; 39/40; ; 1; 10/11; 1
Draw; 5/2; 23/10; 12/5; 12/5; 5/2; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 13/5; 12/5; 5/2; 23/10; 23/10; 9/4; 23/10; ; 12/5; 9/4; 12/5; 9/4; ; 23/10; 2; 12/5
Yeovil; 3; 29/10; 31/10; 14/5; 11/4; 13/5; 29/10; 13/5; 14/5; 14/5; 14/5; 14/5; 59/20; 27/10; 11/4; 3; 29/10; 13/5; 14/5; 29/10; ; 9/4; 56/19; 3; 56/19; ; 14/5; 5/2; 3
META; english/league-2/barnet-v-yeovil; 2017-03-14 13:47:02 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 21/20; 1; 21/20; 1; 1; 10/11; 20/21; 1; 1; 20/21; 1; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; ; ; 1; 39/40; 1; 39/40; ; 20/21; 10/11; 1
Draw; 5/2; 23/10; 12/5; 12/5; 5/2; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 13/5; 12/5; 5/2; 23/10; 23/10; 9/4; ; ; 12/5; 9/4; 12/5; 9/4; ; 23/10; 2; 12/5
Yeovil; 3; 29/10; 31/10; 14/5; 11/4; 13/5; 29/10; 13/5; 14/5; 14/5; 14/5; 14/5; 59/20; 27/10; 11/4; 3; 29/10; 13/5; 14/5; ; ; 9/4; 56/19; 3; 56/19; ; 14/5; 5/2; 3
META; english/league-2/barnet-v-yeovil; 2017-03-14 15:46:19 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 21/20; 1; 21/20; 1; 1; 10/11; 20/21; 1; 1; 20/21; 1; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; 21/20; 1; 39/40; 1; 39/40; ; 20/21; 10/11; 1
Draw; 5/2; 23/10; 12/5; 12/5; 5/2; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 13/5; 12/5; 5/2; 23/10; 23/10; 9/4; 23/10; 5/2; 12/5; 9/4; 12/5; 9/4; ; 23/10; 2; 12/5
Yeovil; 3; 29/10; 31/10; 14/5; 11/4; 13/5; 29/10; 13/5; 14/5; 14/5; 14/5; 14/5; 59/20; 27/10; 11/4; 3; 29/10; 13/5; 14/5; 29/10; 74/25; 9/4; 56/19; 3; 56/19; ; 14/5; 5/2; 3
META; english/league-2/barnet-v-yeovil; 2017-03-14 16:22:14 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 21/20; 1; 21/20; 1; 1; 10/11; 1; 1; 1; 20/21; 1; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; 21/20; 1; 39/40; 1; 39/40; ; 20/21; 10/11; 1
Draw; 5/2; 23/10; 12/5; 12/5; 5/2; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 13/5; 12/5; 5/2; 23/10; 23/10; 9/4; 23/10; 5/2; 12/5; 9/4; 12/5; 9/4; ; 23/10; 2; 12/5
Yeovil; 3; 29/10; 31/10; 14/5; 11/4; 13/5; 3; 13/5; 14/5; 14/5; 14/5; 14/5; 59/20; 27/10; 11/4; 3; 29/10; 13/5; 14/5; 29/10; 74/25; 9/4; 56/19; 3; 56/19; ; 14/5; 5/2; 3
META; english/league-2/barnet-v-yeovil; 2017-03-14 17:46:20 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 21/20; 1; 21/20; 1; 21/20; 10/11; 1; 1; 1; 20/21; 1; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; 21/20; 1; 39/40; 1; 39/40; ; 20/21; 10/11; 1
Draw; 5/2; 23/10; 12/5; 12/5; 5/2; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 13/5; 12/5; 5/2; 23/10; 23/10; 9/4; 23/10; 5/2; 12/5; 9/4; 12/5; 9/4; ; 23/10; 2; 12/5
Yeovil; 3; 29/10; 31/10; 14/5; 11/4; 13/5; 3; 13/5; 14/5; 14/5; 14/5; 14/5; 59/20; 27/10; 11/4; 3; 29/10; 13/5; 14/5; 29/10; 74/25; 9/4; 56/19; 3; 56/19; ; 14/5; 5/2; 3
META; english/league-2/barnet-v-yeovil; 2017-03-14 18:31:37 GMT+2; 2017-03-15 20:00; e70300-dr003
Barnet; 21/20; 1; 21/20; 1; 21/20; 10/11; 1; 1; 1; 20/21; 1; 1; 19/20; 11/10; 1; 1; 1; 21/20; 20/21; 1; 21/20; 1; 39/40; 1; 39/40; ; 1; 10/11; 1
Draw; 5/2; 23/10; 12/5; 12/5; 5/2; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 49/20; 13/5; 12/5; 5/2; 23/10; 23/10; 9/4; 23/10; 5/2; 12/5; 9/4; 12/5; 9/4; ; 23/10; 2; 12/5
Yeovil; 3; 29/10; 31/10; 14/5; 11/4; 13/5; 3; 13/5; 14/5; 14/5; 14/5; 14/5; 59/20; 27/10; 11/4; 3; 29/10; 13/5; 14/5; 29/10; 74/25; 9/4; 56/19; 3; 56/19; ; 14/5; 5/2; 3
