META; english/league-2/yeovil-v-cambridge; 2017-02-12 00:23:28 GMT+2; 2017-02-14 19:45; e70300-dr003
Cambridge; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; 
Yeovil; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 
META; english/league-2/yeovil-v-cambridge; 2017-02-12 04:22:40 GMT+2; 2017-02-14 19:45; e70300-dr003
Cambridge; ; ; ; ; ; ; ; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; 
Yeovil; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 
META; english/league-2/yeovil-v-cambridge; 2017-02-12 08:22:28 GMT+2; 2017-02-14 19:45; e70300-dr003
Cambridge; ; ; ; ; ; ; ; ; ; ; ; 31/20; ; ; ; ; 8/5; ; 8/5; 8/5; ; ; 8/5; 8/5; ; ; ; 
Yeovil; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; 8/5; ; 13/8; 8/5; ; ; 28/17; 8/5; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; 40/17; ; 23/10; 40/17; ; ; 40/17; 12/5; ; ; ; 
META; english/league-2/yeovil-v-cambridge; 2017-02-12 12:23:53 GMT+2; 2017-02-14 19:45; e70300-dr003
Yeovil; ; ; ; ; ; 8/5; ; ; ; ; ; 8/5; ; ; ; ; 8/5; ; 13/8; 8/5; 17/10; ; 28/17; 8/5; ; ; ; 
Cambridge; ; ; ; ; ; 31/20; ; ; ; ; ; 31/20; ; ; ; ; 8/5; ; 8/5; 8/5; 177/100; ; 8/5; 8/5; ; ; ; 
Draw; ; ; ; ; ; 12/5; ; ; ; ; ; 5/2; ; ; ; ; 40/17; ; 23/10; 40/17; 12/5; ; 40/17; 12/5; ; ; ; 
META; english/league-2/yeovil-v-cambridge; 2017-02-12 16:24:26 GMT+2; 2017-02-14 19:45; e70300-dr003
Yeovil; ; ; ; ; ; 31/20; ; ; ; 13/8; ; 7/4; 33/20; ; ; ; 28/17; ; 13/8; 28/17; 87/50; ; 28/17; 8/5; ; ; 13/8; 
Cambridge; ; ; ; ; ; 31/20; ; ; ; 13/8; ; 13/8; 13/8; ; ; ; 8/5; ; 8/5; 8/5; 9/5; ; 8/5; 8/5; ; ; 13/8; 
Draw; ; ; ; ; ; 43/20; ; ; ; 9/4; ; 21/10; 9/4; ; ; ; 40/17; ; 23/10; 40/17; 12/5; ; 40/17; 12/5; ; ; 21/10; 
META; english/league-2/yeovil-v-cambridge; 2017-02-12 20:24:03 GMT+2; 2017-02-14 19:45; e70300-dr003
Cambridge; ; ; ; ; ; 11/8; ; 7/5; ; 7/5; ; 6/4; 29/20; ; ; ; 6/4; ; 8/5; 6/4; 31/20; 23/17; 8/5; 7/5; ; ; 7/5; 
Yeovil; ; ; ; ; ; 17/10; ; 6/4; ; 15/8; ; 19/10; 37/20; ; ; ; 7/4; ; 13/8; 7/4; 39/20; 19/11; 28/17; 15/8; ; ; 9/5; 
